Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ST-100 for uke 33 kl. 08:15",2015-08-12,08:15,2015-08-12,10:00,"Haslerud Gjermund","CK B1 007 aud"
".ORG200 for ",2015-08-17,09:15,2015-08-17,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-08-17,11:15,2015-08-17,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ST-100 gr",2015-08-18,16:15,2015-08-18,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-08-19,09:15,2015-08-19,11:00,"Haslerud Gjermund","CK B1 007 aud"
".JU-300/JU-207 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG200 for ",2015-08-24,09:15,2015-08-24,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-08-24,11:15,2015-08-24,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ST-100 gr",2015-08-25,16:15,2015-08-25,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-08-26,09:15,2015-08-26,11:00,"Haslerud Gjermund","CK B1 007 aud"
".JU-300/JU-207 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-27,12:15,2015-08-27,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG200 for ",2015-08-31,09:15,2015-08-31,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-08-31,11:15,2015-08-31,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ST-100 gr",2015-09-01,16:15,2015-09-01,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".JU-300/JU-207 for ",2015-09-03,09:15,2015-09-03,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-03,12:15,2015-09-03,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG200 for ",2015-09-07,09:15,2015-09-07,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-09-07,11:15,2015-09-07,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ST-100 gr",2015-09-08,16:15,2015-09-08,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for uke 37",2015-09-09,09:15,2015-09-09,11:00,"Haslerud Gjermund","CK B1 001 aud"
".JU-300/JU-207 for ",2015-09-10,09:15,2015-09-10,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-10,12:15,2015-09-10,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG200 for ",2015-09-14,09:15,2015-09-14,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-09-14,11:15,2015-09-14,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ST-100 gr",2015-09-15,16:15,2015-09-15,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-09-16,09:15,2015-09-16,11:00,"Haslerud Gjermund","CK B1 007 aud"
".JU-300/JU-207 for ",2015-09-17,09:15,2015-09-17,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-09-17,12:15,2015-09-17,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG200 for ",2015-09-21,09:15,2015-09-21,11:00,"Pinheiro Romulo","CK HK 007 sem"
".ORG200 gr ",2015-09-21,11:15,2015-09-21,13:00,"Pinheiro Romulo","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
