Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ST-100 for uke 33 kl. 08:15",2015-08-12,08:15,2015-08-12,10:00,"Haslerud Gjermund","CK B1 007 aud"
".ST-100 gr",2015-08-18,16:15,2015-08-18,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-08-19,09:15,2015-08-19,11:00,"Haslerud Gjermund","CK B1 007 aud"
".SV-212-1 for",2015-08-20,12:15,2015-08-20,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-08-20,15:15,2015-08-20,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-08-20,16:15,2015-08-20,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-100 gr",2015-08-25,16:15,2015-08-25,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-08-26,09:15,2015-08-26,11:00,"Haslerud Gjermund","CK B1 007 aud"
".SV-212-1 for",2015-08-27,12:15,2015-08-27,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-08-27,15:15,2015-08-27,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-08-27,16:15,2015-08-27,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-200 for ",2015-09-01,08:15,2015-09-01,12:00,"Torjesen Dag O","CK B2 002 aud"
".ST-100 gr",2015-09-01,16:15,2015-09-01,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for uke 36 STREAM kl. 08:15",2015-09-02,08:15,2015-09-02,10:00,"Haslerud Gjermund","CK B2 004 aud, CK B3 008 aud"
".ST-200 gr",2015-09-02,16:15,2015-09-02,18:00,"Torjesen Dag O","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-212-1 for",2015-09-03,12:15,2015-09-03,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-09-03,15:15,2015-09-03,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-09-03,16:15,2015-09-03,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-200 for ",2015-09-08,08:15,2015-09-08,12:00,"Torjesen Dag O","CK B2 002 aud"
".ST-100 gr",2015-09-08,16:15,2015-09-08,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for uke 37",2015-09-09,09:15,2015-09-09,11:00,"Haslerud Gjermund","CK B1 001 aud"
".ST-200 gr",2015-09-09,16:15,2015-09-09,18:00,"Torjesen Dag O","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-212-1 for",2015-09-10,12:15,2015-09-10,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-09-10,15:15,2015-09-10,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-09-10,16:15,2015-09-10,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-200 for ",2015-09-15,08:15,2015-09-15,12:00,"Torjesen Dag O","CK B2 002 aud"
".ST-100 gr",2015-09-15,16:15,2015-09-15,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for uke 38 kl. 08:15",2015-09-16,08:15,2015-09-16,10:00,"Haslerud Gjermund","CK B1 006 aud"
".ST-200 gr",2015-09-16,16:15,2015-09-16,18:00,"Torjesen Dag O","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-212-1 for",2015-09-17,12:15,2015-09-17,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-09-17,15:15,2015-09-17,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-09-17,16:15,2015-09-17,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-200 for ",2015-09-22,08:15,2015-09-22,12:00,"Torjesen Dag O","CK B2 002 aud"
".ST-100 gr",2015-09-22,16:15,2015-09-22,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-09-23,09:15,2015-09-23,11:00,"Haslerud Gjermund","CK B1 007 aud"
".ST-200 gr",2015-09-23,16:15,2015-09-23,18:00,"Torjesen Dag O","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-212-1 for",2015-09-24,12:15,2015-09-24,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-09-24,15:15,2015-09-24,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-09-24,16:15,2015-09-24,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".ST-200 for ",2015-09-29,08:15,2015-09-29,12:00,"Torjesen Dag O","CK B2 002 aud"
".ST-100 gr",2015-09-29,16:15,2015-09-29,18:00,"Haslerud Gjermund","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 116f, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 142, CK 50 144, CK 50 145, CK 50 148, CK 50 149, CK 50 150, CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g, CK 50 114c "
".ST-100 for",2015-09-30,09:15,2015-09-30,11:00,"Haslerud Gjermund","CK B1 007 aud"
".ST-200 gr",2015-09-30,16:15,2015-09-30,18:00,"Torjesen Dag O","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-212-1 for",2015-10-01,12:15,2015-10-01,15:00,"Tveiten Oddgeir","CK B2 001 aud"
".SV-212-1 sem",2015-10-01,15:15,2015-10-01,16:00,"Tveiten Oddgeir","CK 51 134 sem"
".SV-212-1 gr",2015-10-01,16:15,2015-10-01,18:00,"Tveiten Oddgeir","CK 51 101, CK 51 102, CK 51 103, CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
