Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SE-200 -1 for",2015-08-14,10:15,2015-08-14,12:00,"Theisen Theis","CK IU 001 sem"
".SE-200-1 gr",2015-08-14,12:15,2015-08-14,14:00,"Theisen Theis","CK IK 023, CK IK 028, CK IU 054, CK IU 056, CK IU 057, CK IU 059"
".SE-200-1 sem",2015-08-14,14:15,2015-08-14,15:00,"Theisen Theis","CK IU 001 sem"
".SE-212-1 for",2015-08-19,11:15,2015-08-19,14:00,"Emblem Anne Wenche","CK I1 066 aud"
".SE-212-1 gr",2015-08-19,14:15,2015-08-19,16:00,"Emblem Anne Wenche","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".JU-300/JU-207 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SE-200 -1 for",2015-08-21,10:15,2015-08-21,12:00,"Theisen Theis","CK IU 001 sem"
".SE-200-1 gr",2015-08-21,12:15,2015-08-21,14:00,"Theisen Theis","CK IK 023, CK IK 028, CK IU 054, CK IU 056, CK IU 057, CK IU 059"
".SE-200-1 sem",2015-08-21,14:15,2015-08-21,15:00,"Theisen Theis","CK IU 001 sem"
".SE-212-1 for",2015-08-26,11:15,2015-08-26,14:00,"Emblem Anne Wenche","CK I1 066 aud"
".SE-212-1 gr",2015-08-26,14:15,2015-08-26,16:00,"Emblem Anne Wenche","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
".JU-300/JU-207 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-300/JU-207 gr ",2015-08-27,12:15,2015-08-27,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SE-200 -1 for",2015-08-28,10:15,2015-08-28,12:00,"Theisen Theis","CK IU 001 sem"
".SE-200-1 gr",2015-08-28,12:15,2015-08-28,14:00,"Theisen Theis","CK IK 023, CK IK 028, CK IU 054, CK IU 056, CK IU 057, CK IU 059"
