Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KKK200 felles",2015-08-17,09:15,2015-08-17,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-08-18,09:15,2015-08-18,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-08-20,09:15,2015-08-20,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-08-21,09:15,2015-08-21,13:00,"","CK G1 009"
"KKK200 felles",2015-08-24,09:15,2015-08-24,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-08-25,09:15,2015-08-25,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-08-27,09:15,2015-08-27,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-08-28,09:15,2015-08-28,13:00,"","CK G1 009"
"KKK200 felles",2015-08-31,09:15,2015-08-31,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-09-01,09:15,2015-09-01,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-09-03,09:15,2015-09-03,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-09-04,09:15,2015-09-04,13:00,"","CK G1 009"
"KKK200 felles",2015-09-07,09:15,2015-09-07,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-09-08,09:15,2015-09-08,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-09-10,09:15,2015-09-10,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-09-11,09:15,2015-09-11,13:00,"","CK G1 009"
"KKK200 felles",2015-09-14,09:15,2015-09-14,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-09-15,09:15,2015-09-15,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-09-17,09:15,2015-09-17,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-09-18,09:15,2015-09-18,13:00,"","CK G1 009"
"KKK200 felles",2015-09-21,09:15,2015-09-21,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-09-22,09:15,2015-09-22,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-09-24,09:15,2015-09-24,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-09-25,09:15,2015-09-25,13:00,"","CK G1 009"
"KKK200 felles",2015-09-28,09:15,2015-09-28,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-09-29,09:15,2015-09-29,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-10-01,09:15,2015-10-01,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-10-02,09:15,2015-10-02,13:00,"","CK G1 009"
"KKK200 felles",2015-10-19,09:15,2015-10-19,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-10-20,09:15,2015-10-20,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-10-22,09:15,2015-10-22,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-10-23,09:15,2015-10-23,13:00,"","CK G1 009"
"KKK200 felles",2015-10-26,09:15,2015-10-26,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-10-27,09:15,2015-10-27,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-10-29,09:15,2015-10-29,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-10-30,09:15,2015-10-30,13:00,"","CK G1 009"
"KKK200 felles",2015-11-02,09:15,2015-11-02,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-11-03,09:15,2015-11-03,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-11-05,09:15,2015-11-05,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-11-06,09:15,2015-11-06,13:00,"","CK G1 009"
"KKK200 felles",2015-11-09,12:15,2015-11-09,15:00,"","CK 48 007B sem"
"KKK200 felles",2015-11-10,09:15,2015-11-10,15:00,"","CK 48 007B sem"
"KKK200 Musikk. tors",2015-11-12,09:15,2015-11-12,13:00,"","CK G1 009"
"KKK200 Musikk. fre",2015-11-13,09:15,2015-11-13,13:00,"","CK G1 009"
