Subject,Start Date,Start Time,End Date,End Time,Description,Location
"STM100-G/Forelesning/ 13.08",2015-08-13,10:15,2015-08-13,12:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"KKK100-G/Forelesning/01 14.08 Oppstart",2015-08-14,09:15,2015-08-14,15:00,"","CG C2 020 sem DANS"
"KKK100-G/Forelesning/01 Musikk gr. A",2015-08-17,09:15,2015-08-17,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/02 Drama gr. B",2015-08-18,09:15,2015-08-18,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/03 Drama gr. A / Musikk gr. B",2015-08-19,09:15,2015-08-19,15:00,"","CG C2 020 sem DANS, CG A2 025 sem, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"STM100-G/Forelesning/01",2015-08-20,08:15,2015-08-20,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"STM100-G/Forelesning/02",2015-08-21,08:15,2015-08-21,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"KKK100-G/Forelesning/01 Musikk gr. A",2015-08-24,09:15,2015-08-24,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/02 Drama gr. B",2015-08-25,09:15,2015-08-25,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/03 Drama gr. A / Musikk gr. B",2015-08-26,09:15,2015-08-26,15:00,"","CG C2 020 sem DANS, CG A2 025 sem, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"STM100-G/Forelesning/01",2015-08-27,08:15,2015-08-27,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"STM100-G/Forelesning/02",2015-08-28,08:15,2015-08-28,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"KKK100-G/Forelesning/05 Ped uke 36 kl. 08:15",2015-08-31,08:15,2015-08-31,13:00,"","CG A2 085 aud"
"STM100-G/Forelesning/01",2015-09-03,08:15,2015-09-03,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"STM100-G/Forelesning/02",2015-09-04,08:15,2015-09-04,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"KKK100-G/Forelesning/04 Forming",2015-09-07,09:15,2015-09-07,11:00,"","CG A3 027 sem (VER)"
"STM100-G/Forelesning/01",2015-09-10,08:15,2015-09-10,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"STM100-G/Forelesning/02",2015-09-11,08:15,2015-09-11,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"KKK100-G/Forelesning/01 Musikk gr. A",2015-09-14,09:15,2015-09-14,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/02 Drama gr. B",2015-09-15,09:15,2015-09-15,15:00,"","CG C2 020 sem DANS, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"KKK100-G/Forelesning/03 Drama gr. A / Musikk gr. B",2015-09-16,09:15,2015-09-16,15:00,"","CG C2 020 sem DANS, CG A2 025 sem, CG C2 022, CG C2 023, CG C2 024, CG C2 025"
"STM100-G/Forelesning/01",2015-09-17,08:15,2015-09-17,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
"STM100-G/Forelesning/02",2015-09-18,08:15,2015-09-18,14:00,"Arnesen Moseid, Elin, Wathne, Unni, Carlsen, Martin, Lyngvi, Marianne S., Melhuus Else Cathrine","CG A2 084 aud"
