Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KH-100/101-G/Forelesning/øving/01 uke 33",2015-08-14,09:15,2015-08-14,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 34",2015-08-17,09:15,2015-08-17,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 34",2015-08-18,09:15,2015-08-18,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 34",2015-08-20,09:15,2015-08-20,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 35",2015-08-25,09:15,2015-08-25,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 35",2015-08-27,09:15,2015-08-27,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 35",2015-08-28,09:15,2015-08-28,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 36",2015-09-01,09:15,2015-09-01,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 36",2015-09-03,09:15,2015-09-03,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-08,09:15,2015-09-08,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-10,09:15,2015-09-10,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-11,09:15,2015-09-11,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-15,09:15,2015-09-15,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-17,09:15,2015-09-17,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-18,09:15,2015-09-18,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-22,09:15,2015-09-22,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-24,09:15,2015-09-24,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-25,09:15,2015-09-25,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-09-29,09:15,2015-09-29,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-01,09:15,2015-10-01,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-02,09:15,2015-10-02,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-20,09:15,2015-10-20,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-22,09:15,2015-10-22,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-23,09:15,2015-10-23,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-27,09:15,2015-10-27,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-29,09:15,2015-10-29,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-10-30,09:15,2015-10-30,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-03,09:15,2015-11-03,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-05,09:15,2015-11-05,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-06,09:15,2015-11-06,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 46",2015-11-10,09:15,2015-11-10,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 46",2015-11-12,09:15,2015-11-12,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 46",2015-11-13,09:15,2015-11-13,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-17,09:15,2015-11-17,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-19,09:15,2015-11-19,15:00,"","CG C3 084 lab D/T"
"KH-100/101-G/Forelesning/øving/01 uke 37-47",2015-11-20,09:15,2015-11-20,15:00,"","CG C3 084 lab D/T"
"KH-100-G/Forelesning/01* INGEN undervisning",2015-11-21,21:15,2015-11-21,23:00,"",""
