Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-ERN123",2015-08-12,08:15,2015-08-12,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN123 14.08",2015-08-14,08:15,2015-08-14,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123 14.08",2015-08-14,10:15,2015-08-14,13:00,"Tønnessen Mona Linge","CK I1 002 sem"
"-ERN123",2015-08-19,08:15,2015-08-19,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-08-19,11:15,2015-08-19,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-08-21,08:15,2015-08-21,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-08-26,08:15,2015-08-26,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-08-26,11:15,2015-08-26,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-08-28,08:15,2015-08-28,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-09-02,08:15,2015-09-02,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-09-02,11:15,2015-09-02,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-09-04,08:15,2015-09-04,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-09-09,08:15,2015-09-09,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-09-09,11:15,2015-09-09,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-09-11,08:15,2015-09-11,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-09-16,08:15,2015-09-16,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-09-16,11:15,2015-09-16,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-09-18,08:15,2015-09-18,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123 21.09",2015-09-21,08:15,2015-09-21,15:00,"Tønnessen Mona Linge","CK HU 023 sem"
"-ERN123 uke 39 Må ha TO skjermer!",2015-09-23,08:15,2015-09-23,15:00,"Tønnessen Mona Linge","CK B2 001 aud"
"-ERN123",2015-10-21,08:15,2015-10-21,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-10-21,11:15,2015-10-21,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123 uke 43",2015-10-23,08:15,2015-10-23,10:00,"Tønnessen Mona Linge","CK I1 002 sem"
"-ERN123",2015-10-28,08:15,2015-10-28,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-10-28,11:15,2015-10-28,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-10-30,08:15,2015-10-30,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-11-04,08:15,2015-11-04,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-11-04,11:15,2015-11-04,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-11-06,08:15,2015-11-06,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-11-11,08:15,2015-11-11,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-11-11,11:15,2015-11-11,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-11-13,08:15,2015-11-13,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
"-ERN123",2015-11-18,08:15,2015-11-18,10:00,"Tønnessen Mona Linge","CK D3 054 sem"
"-ERN124",2015-11-18,11:15,2015-11-18,14:00,"Helland Sissel H.","CK 46 137 sem"
"-ERN123",2015-11-20,08:15,2015-11-20,10:00,"Tønnessen Mona Linge","CK IU 001 sem"
