Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SRE200",2015-08-13,09:15,2015-08-13,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-08-17,12:15,2015-08-17,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-08-18,09:15,2015-08-18,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-08-19,09:15,2015-08-19,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-08-20,09:15,2015-08-20,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-08-24,12:15,2015-08-24,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-08-25,09:15,2015-08-25,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-08-31,12:15,2015-08-31,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-09-01,09:15,2015-09-01,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-09-02,09:15,2015-09-02,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-09-03,09:15,2015-09-03,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE200",2015-09-09,09:15,2015-09-09,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-09-10,09:15,2015-09-10,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-09-14,12:15,2015-09-14,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-09-15,09:15,2015-09-15,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-09-16,09:15,2015-09-16,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-09-17,09:15,2015-09-17,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-09-21,12:15,2015-09-21,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-09-22,09:15,2015-09-22,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-09-23,09:15,2015-09-23,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-09-24,09:15,2015-09-24,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-09-28,12:15,2015-09-28,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-09-29,09:15,2015-09-29,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-09-30,09:15,2015-09-30,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-10-01,09:15,2015-10-01,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-10-19,12:15,2015-10-19,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-10-20,09:15,2015-10-20,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-10-21,09:15,2015-10-21,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-10-22,09:15,2015-10-22,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-10-26,12:15,2015-10-26,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-10-27,09:15,2015-10-27,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-10-28,09:15,2015-10-28,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-10-29,09:15,2015-10-29,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-11-02,12:15,2015-11-02,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-11-03,09:15,2015-11-03,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-11-04,09:15,2015-11-04,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-11-05,09:15,2015-11-05,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-11-09,12:15,2015-11-09,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-11-10,09:15,2015-11-10,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-11-11,09:15,2015-11-11,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-11-12,09:15,2015-11-12,13:00,"Horrigmo Kirsten ","CK F1 004"
"-SRE201",2015-11-16,12:15,2015-11-16,16:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE201",2015-11-17,09:15,2015-11-17,13:00,"Haltorp Peter, Sødal Helje Kringlebotn","CK 46 211 sem"
"-SRE200",2015-11-18,09:15,2015-11-18,13:00,"Horrigmo Kirsten ","CK 46 211 sem"
"-SRE200",2015-11-19,09:15,2015-11-19,13:00,"Horrigmo Kirsten ","CK F1 004"
