Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SV-125 forel uke 33. 34. 45. 46. 47",2015-08-12,12:15,2015-08-12,15:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"SV-125 forel",2015-08-17,10:15,2015-08-17,13:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"ML-306 forel uke 34-37",2015-08-18,10:15,2015-08-18,12:00,"Olsen Yngvar Asbjørn","CK 48 013 sem"
"SV-125 forel uke 33. 34. 45. 46. 47",2015-08-19,12:15,2015-08-19,15:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"Oblig infomøte 2.år bioing",2015-08-20,11:15,2015-08-20,12:00,"Landsverk Vigdis","CK B3 008 aud"
"ML-306 forel uke 34",2015-08-20,12:15,2015-08-20,14:00,"Neslein Inger-Lise","CK 48 106 sem"
"ML-306 forel uke 34",2015-08-21,12:15,2015-08-21,14:00,"Neslein Inger-Lise","CK 48 113 sem"
"ML-306 forel uke 35",2015-08-24,08:15,2015-08-24,10:00,"Neslein Inger-Lise","CK 48 115 sem"
"SV-125 forel",2015-08-24,10:15,2015-08-24,13:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"ML-208 forel tirs",2015-08-25,08:15,2015-08-25,10:00,"Slettan Audun","CK D3 018 sem"
"ML-306 forel uke 34-37",2015-08-25,10:15,2015-08-25,12:00,"Olsen Yngvar Asbjørn","CK 48 013 sem"
"ML-306 lab gr 1 uke 35",2015-08-25,12:15,2015-08-25,15:00,"Olsen Yngvar Asbjørn","CK J1 003 bio"
"ML-208 forel ons",2015-08-26,08:15,2015-08-26,10:00,"Slettan Audun","CK J1 064 aud"
"ML-306 lab gr 2 uke 35",2015-08-26,12:15,2015-08-26,15:00,"Olsen Yngvar Asbjørn","CK J1 003 bio"
"SV-125 forel uke 35",2015-08-27,09:15,2015-08-27,12:00,"Høigilt Anne Margrethe","CK D3 054 sem"
"SV-125 forel",2015-08-31,10:15,2015-08-31,13:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"ML-306 forel uke 34-37",2015-09-01,10:15,2015-09-01,12:00,"Olsen Yngvar Asbjørn","CK 48 013 sem"
"SV-125 forel uke 36",2015-09-02,09:15,2015-09-02,12:00,"Høigilt Anne Margrethe",""
"SV-125 forel",2015-09-07,10:15,2015-09-07,13:00,"Hidle Kari-Mette Walmann ","CK 48 115 sem"
"ML-208 forel tirs",2015-09-08,08:15,2015-09-08,10:00,"Slettan Audun","CK D3 018 sem"
"ML-306 forel uke 34-37",2015-09-08,10:15,2015-09-08,12:00,"Olsen Yngvar Asbjørn","CK 48 013 sem"
"ML-306 lab gr 1 uke 37",2015-09-08,12:15,2015-09-08,15:00,"Olsen Yngvar Asbjørn","CK J1 003 bio"
"SV-125 forel uke 37",2015-09-08,15:15,2015-09-08,18:00,"Høigilt Anne Margrethe","CK 46 207 sem"
"ML-208 forel ons",2015-09-09,08:15,2015-09-09,10:00,"Slettan Audun","CK J1 064 aud"
