Subject,Start Date,Start Time,End Date,End Time,Description,Location
"BIO112 forel uke 33",2015-08-12,10:15,2015-08-12,12:00,"Olsen Yngvar Asbjørn","CK 48 114 sem"
"BIO111 forel fre",2015-08-14,08:15,2015-08-14,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel man",2015-08-17,08:15,2015-08-17,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-08-17,10:15,2015-08-17,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO112 lab gr 1 uke 34",2015-08-17,12:15,2015-08-17,14:00,"Olsen Yngvar Asbjørn","CK J1 001 bio"
"BIO104/ML-112 forel",2015-08-18,09:15,2015-08-18,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO112 lab gr 2 uke 34",2015-08-18,12:15,2015-08-18,14:00,"Olsen Yngvar Asbjørn","CK J1 001 bio"
"BIO112 forel uke 34 ons",2015-08-19,12:15,2015-08-19,14:00,"Svendsen Lian Monica","CK 48 114 sem"
"BIO112 forel uke 34. 36 tors",2015-08-20,08:15,2015-08-20,10:00,"Svendsen Lian Monica","CK 48 013 sem"
"BIO111 forel fre",2015-08-21,08:15,2015-08-21,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO112 forel fre uke 34",2015-08-21,10:15,2015-08-21,12:00,"Svendsen Lian Monica","CK 48 114 sem"
"BIO112 forel uke 35",2015-08-24,08:15,2015-08-24,10:00,"Olsen Yngvar Asbjørn","CK 48 106 sem"
"BIO104/ML-112 forel man",2015-08-24,10:15,2015-08-24,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO112 forel uke 35",2015-08-27,08:15,2015-08-27,10:00,"Olsen Yngvar Asbjørn","CK 48 106 sem"
"BIO112 lab gr 1 uke 35",2015-08-27,10:15,2015-08-27,12:00,"Svendsen Lian Monica","CK JK 018 kjemi"
"BIO111 forel uke 35. 37. 41. 47",2015-08-27,14:15,2015-08-27,16:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel fre",2015-08-28,08:15,2015-08-28,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO112 lab gr 2 uke 35",2015-08-28,14:15,2015-08-28,16:00,"Svendsen Lian Monica","CK JK 018 kjemi"
"BIO111 forel man",2015-08-31,08:15,2015-08-31,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-08-31,10:15,2015-08-31,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104 lab gr 2 uke 36",2015-08-31,12:15,2015-08-31,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104 forel",2015-09-01,09:15,2015-09-01,11:00,"Kjelland Vivian","CK 46 215 sem"
"BIO104 lab gr 1",2015-09-01,12:15,2015-09-01,16:00,"Kjelland Vivian","CK J1 003 bio"
"HMS-kurs forel",2015-09-02,08:15,2015-09-02,10:00,"Milan Margarita, Svendsen Lian Monica","CK B1 006 aud"
"HMS-kurs lab",2015-09-02,09:15,2015-09-02,14:00,"Milan Margarita, Svendsen Lian Monica","CK JK 018 kjemi"
"HMS-kurs forel",2015-09-02,14:15,2015-09-02,17:00,"Milan Margarita, Svendsen Lian Monica","CK B1 006 aud"
"BIO112 forel uke 34. 36 tors",2015-09-03,08:15,2015-09-03,10:00,"Svendsen Lian Monica","CK 48 013 sem"
"BIO104/ML-112 forel tors uke 36",2015-09-03,10:15,2015-09-03,12:00,"Kjelland Vivian","CK B2 006 aud"
"BIO104 lab gr 3",2015-09-03,12:15,2015-09-03,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 forel fre",2015-09-04,08:15,2015-09-04,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104 lab gr 4",2015-09-04,12:15,2015-09-04,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104/ML-112 forel man",2015-09-07,10:15,2015-09-07,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104 forel",2015-09-08,09:15,2015-09-08,11:00,"Kjelland Vivian","CK 46 215 sem"
"BIO104/ML-112 gr ons",2015-09-09,09:15,2015-09-09,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO104/ML-112 forel tors uke 37",2015-09-10,08:15,2015-09-10,10:00,"Kjelland Vivian","CK B3 001 aud"
"BIO111 forel uke 35. 37. 41. 47",2015-09-10,14:15,2015-09-10,16:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel fre",2015-09-11,08:15,2015-09-11,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel man",2015-09-14,08:15,2015-09-14,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 lab gr 1",2015-09-15,12:15,2015-09-15,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104 lab gr 1",2015-09-15,12:15,2015-09-15,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104/ML-112 gr ons",2015-09-16,09:15,2015-09-16,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO111 lab gr 2",2015-09-16,12:15,2015-09-16,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104 lab gr 2 uke 38",2015-09-16,12:15,2015-09-16,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO112 forel uke 38",2015-09-17,08:15,2015-09-17,10:00,"Klausen Finn Erik","CK 48 013 sem"
"BIO112 datalab uke 38. 41",2015-09-17,10:15,2015-09-17,12:00,"Hansen Nils Kristian","CK JK 007 lab"
"BIO111 lab gr 3",2015-09-17,12:15,2015-09-17,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104 lab gr 3",2015-09-17,12:15,2015-09-17,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 forel fre",2015-09-18,08:15,2015-09-18,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 lab gr 4",2015-09-18,12:15,2015-09-18,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104 lab gr 4",2015-09-18,12:15,2015-09-18,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104/ML-112 forel man",2015-09-21,10:15,2015-09-21,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 forel",2015-09-22,09:15,2015-09-22,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO112 forel uke 39",2015-09-22,12:15,2015-09-22,14:00,"Korslund Lars","CK 51 134 sem"
"BIO111 forel uke 39",2015-09-23,10:15,2015-09-23,12:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO112 forel uke 39",2015-09-23,12:15,2015-09-23,14:00,"Korslund Lars","CK 51 134 sem"
"BIO111 forel fre",2015-09-25,08:15,2015-09-25,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 lab gr 1",2015-09-29,12:15,2015-09-29,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO111 lab gr 2",2015-09-30,12:15,2015-09-30,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO111 lab gr 3",2015-10-01,12:15,2015-10-01,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO111 lab gr 4",2015-10-02,12:15,2015-10-02,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO112 forel uke 41",2015-10-05,08:15,2015-10-05,10:00,"Korslund Lars","CK 48 013 sem"
"BIO104/ML-112 forel man",2015-10-05,10:15,2015-10-05,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 forel",2015-10-06,09:15,2015-10-06,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 gr ons",2015-10-07,09:15,2015-10-07,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO112 datalab uke 38. 41",2015-10-08,10:15,2015-10-08,12:00,"Hansen Nils Kristian","CK JK 007 lab"
"BIO111 forel uke 35. 37. 41. 47",2015-10-08,14:15,2015-10-08,16:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel fre",2015-10-09,08:15,2015-10-09,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel man",2015-10-12,08:15,2015-10-12,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-10-12,10:15,2015-10-12,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO112 seminar",2015-10-13,10:15,2015-10-13,12:00,"Olsen Yngvar Asbjørn","CK 48 114 sem"
"BIO111 lab gr 1",2015-10-13,12:15,2015-10-13,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 1",2015-10-13,12:15,2015-10-13,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 lab gr 2",2015-10-14,12:15,2015-10-14,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 2",2015-10-14,12:15,2015-10-14,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO112 datalab uke 42",2015-10-15,08:15,2015-10-15,10:00,"Augland Tord","CK JK 007 lab"
"BIO111 lab gr 3",2015-10-15,12:15,2015-10-15,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 3",2015-10-15,12:15,2015-10-15,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 lab gr 4",2015-10-16,12:15,2015-10-16,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 4 ",2015-10-16,12:15,2015-10-16,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 forel man",2015-10-19,08:15,2015-10-19,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-10-19,10:15,2015-10-19,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 forel",2015-10-20,09:15,2015-10-20,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 gr ons",2015-10-21,09:15,2015-10-21,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO112 forel uke 43. 44 tirs",2015-10-22,08:15,2015-10-22,10:00,"Synstad, Bjørnar","CK 48 106 sem"
"BIO111 forel fre",2015-10-23,08:15,2015-10-23,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO112 forel uke 43. 44 fre",2015-10-23,10:15,2015-10-23,12:00,"Synstad, Bjørnar","CK 48 106 sem"
"BIO104/ML-112 forel man",2015-10-26,10:15,2015-10-26,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO111 forel man uke 44 OBS! Tid",2015-10-26,12:15,2015-10-26,14:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 lab gr 1",2015-10-27,12:15,2015-10-27,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 1",2015-10-27,12:15,2015-10-27,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104/ML-112 gr ons",2015-10-28,09:15,2015-10-28,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO111 lab gr 2",2015-10-28,12:15,2015-10-28,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 2",2015-10-28,12:15,2015-10-28,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO112 forel uke 43. 44 tirs",2015-10-29,08:15,2015-10-29,10:00,"Synstad, Bjørnar","CK 48 106 sem"
"BIO111 lab gr 3",2015-10-29,12:15,2015-10-29,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 3",2015-10-29,12:15,2015-10-29,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 forel fre",2015-10-30,08:15,2015-10-30,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO112 forel uke 43. 44 fre",2015-10-30,10:15,2015-10-30,12:00,"Synstad, Bjørnar","CK 48 106 sem"
"BIO111 lab gr 4",2015-10-30,12:15,2015-10-30,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 lab gr 4 ",2015-10-30,12:15,2015-10-30,16:00,"Kjelland Vivian","CK J1 003 bio"
"BIO111 forel man",2015-11-02,08:15,2015-11-02,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-11-02,10:15,2015-11-02,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 lab gr 1 uke 45",2015-11-04,08:15,2015-11-04,11:00,"Kjelland Vivian","CK J1 001 bio"
"BIO104/ML-112 lab gr 3 uke 45",2015-11-04,08:15,2015-11-04,11:00,"Kjelland Vivian","CK J1 003 bio"
"BIO104/ML-112 lab gr 2 uke 45",2015-11-04,12:15,2015-11-04,15:00,"Kjelland Vivian","CK J1 001 bio"
"BIO104/ML-112 lab gr 4 uke 45",2015-11-04,12:15,2015-11-04,15:00,"Kjelland Vivian","CK J1 003 bio"
"BIO112 forel uke 45",2015-11-05,08:15,2015-11-05,11:00,"Klausen Finn Erik","CK 48 013 sem"
"BIO111 forel fre",2015-11-06,08:15,2015-11-06,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO104/ML-112 forel man",2015-11-09,10:15,2015-11-09,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 forel",2015-11-10,09:15,2015-11-10,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO111 lab gr 1",2015-11-10,12:15,2015-11-10,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 gr ons",2015-11-11,09:15,2015-11-11,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO111 lab gr 2",2015-11-11,12:15,2015-11-11,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO111 forel tors uke 46 OBS! Dag/tid/rom",2015-11-12,10:15,2015-11-12,12:00,"Synstad, Bjørnar","CK JU 071 aud"
"BIO111 lab gr 3",2015-11-12,12:15,2015-11-12,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO111 forel fre",2015-11-13,08:15,2015-11-13,10:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 lab gr 4",2015-11-13,12:15,2015-11-13,16:00,"Synstad, Bjørnar","CK J1 001 bio"
"BIO104/ML-112 forel man",2015-11-16,10:15,2015-11-16,12:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 forel",2015-11-17,09:15,2015-11-17,11:00,"Kjelland Vivian","CK J1 064 aud"
"BIO104/ML-112 gr ons",2015-11-18,09:15,2015-11-18,11:00,"Kjelland Vivian","CK 50 110, CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 114c "
"BIO111 forel uke 35. 37. 41. 47",2015-11-19,14:15,2015-11-19,16:00,"Synstad, Bjørnar","CK J1 064 aud"
"BIO111 forel fre",2015-11-20,08:15,2015-11-20,10:00,"Synstad, Bjørnar","CK J1 064 aud"
