Subject,Start Date,Start Time,End Date,End Time,Description,Location
"IND422-G/Forelesning/01",2015-08-12,10:15,2015-08-12,16:00,"Lassen, Tom",""
"BYG403-G/Lab/01",2015-08-18,13:15,2015-08-18,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-08-19,10:15,2015-08-19,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-08-19,10:15,2015-08-19,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 34-35  RTT",2015-08-20,12:15,2015-08-20,16:00,"Thorstensen, Rein Terje","CG A3 023 sem"
"BYG403-G/Forelesning/01",2015-08-21,08:15,2015-08-21,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG405-G/Forel/øv/uke 34-35  RTT",2015-08-21,11:15,2015-08-21,15:00,"Thorstensen, Rein Terje","CG A3 023 sem"
"BYG403-G/Lab/01",2015-08-25,13:15,2015-08-25,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-08-26,10:15,2015-08-26,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-08-26,10:15,2015-08-26,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 34-35  RTT",2015-08-27,12:15,2015-08-27,16:00,"Thorstensen, Rein Terje","CG A3 023 sem"
"BYG403-G/Forelesning/01",2015-08-28,08:15,2015-08-28,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG405-G/Forel/øv/uke 34-35  RTT",2015-08-28,11:15,2015-08-28,15:00,"Thorstensen, Rein Terje","CG A3 023 sem"
"BYG403-G/Lab/01",2015-09-01,13:15,2015-09-01,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND422-G/Forelesning/01",2015-09-02,10:15,2015-09-02,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 36 RTT",2015-09-03,08:15,2015-09-03,10:00,"Thorstensen, Rein Terje","CG A2 123 sem"
"BYG405-G/Forel/øv/uke 36 RA",2015-09-03,10:15,2015-09-03,16:00,"Andreassen, Reidar (tl)","CG A2 123 sem"
"BYG403-G/Forelesning/01",2015-09-04,08:15,2015-09-04,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG403-G/Lab/01",2015-09-08,13:15,2015-09-08,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-09-09,10:15,2015-09-09,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-09-09,10:15,2015-09-09,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 37 RA",2015-09-10,08:15,2015-09-10,12:00,"Andreassen, Reidar (tl)","CG A2 123 sem"
"BYG403-G/Forelesning/01",2015-09-11,08:15,2015-09-11,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG405-G/Forel/øv/uke 37 RA",2015-09-11,11:15,2015-09-11,15:00,"Andreassen, Reidar (tl)","CG A2 123 sem"
"BYG404-G/Forelesning/øving/01",2015-09-14,13:15,2015-09-14,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-09-15,10:15,2015-09-15,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-09-15,13:15,2015-09-15,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-09-16,10:15,2015-09-16,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-09-16,10:15,2015-09-16,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 38 NN1",2015-09-17,11:15,2015-09-17,15:00,"NN1, Master bygg","CG A2 123 sem"
"BYG403-G/Forelesning/01",2015-09-18,08:15,2015-09-18,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG405-G/Forel/øv/uke 38 RA",2015-09-18,11:15,2015-09-18,15:00,"Andersen, Reidar","CG A2 123 sem"
"BYG404-G/Forelesning/øving/01",2015-09-21,13:15,2015-09-21,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-09-22,10:15,2015-09-22,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-09-22,13:15,2015-09-22,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-09-23,10:15,2015-09-23,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-09-23,10:15,2015-09-23,16:00,"Lassen, Tom",""
"BYG405-G/Forel/øv/uke 39 NN",2015-09-24,12:15,2015-09-24,16:00,"NN1, Master bygg","CG A2 123 sem"
"BYG403-G/Forelesning/01",2015-09-25,08:15,2015-09-25,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG405-G/Forel/øv/uke 39 NN",2015-09-25,11:15,2015-09-25,15:00,"NN1, Master bygg","CG A2 123 sem"
"BYG403-G/Lab/01",2015-09-29,13:15,2015-09-29,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"BYG403-G/Forelesning/01",2015-10-02,08:15,2015-10-02,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG403-G/Lab/01",2015-10-06,13:15,2015-10-06,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-10-07,10:15,2015-10-07,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-10-07,10:15,2015-10-07,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-10-09,08:15,2015-10-09,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG404-G/Forelesning/øving/01",2015-10-12,13:15,2015-10-12,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-10-13,10:15,2015-10-13,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-10-13,13:15,2015-10-13,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-10-14,10:15,2015-10-14,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-10-14,10:15,2015-10-14,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-10-16,08:15,2015-10-16,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG404-G/Forelesning/øving/01",2015-10-19,13:15,2015-10-19,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-10-20,10:15,2015-10-20,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-10-20,13:15,2015-10-20,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-10-21,10:15,2015-10-21,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-10-21,10:15,2015-10-21,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-10-23,08:15,2015-10-23,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG404-G/Forelesning/øving/01",2015-10-26,13:15,2015-10-26,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-10-27,10:15,2015-10-27,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-10-27,13:15,2015-10-27,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-10-28,10:15,2015-10-28,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-10-28,10:15,2015-10-28,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-10-30,08:15,2015-10-30,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG403-G/Lab/01",2015-11-03,13:15,2015-11-03,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-11-04,10:15,2015-11-04,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-11-04,10:15,2015-11-04,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-11-06,08:15,2015-11-06,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG403-G/Lab/01",2015-11-10,13:15,2015-11-10,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-11-11,10:15,2015-11-11,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-11-11,10:15,2015-11-11,16:00,"Lassen, Tom",""
"BYG403-G/Forelesning/01",2015-11-13,08:15,2015-11-13,11:00,"Ding, Songxiong, Vertes, Katalin","CG C4 092 sem"
"BYG404-G/Forelesning/øving/01",2015-11-16,13:15,2015-11-16,16:00,"O'Born, Reyn","CG A3 020 sem"
"BYG404-G/Forelesning/øving/02",2015-11-17,10:15,2015-11-17,13:00,"O'Born, Reyn","CG F 203 sem"
"BYG403-G/Lab/01",2015-11-17,13:15,2015-11-17,16:00,"Ding, Songxiong, Vertes, Katalin","CG A3 120 pclab BYG"
"IND506-G/Forelesning/01",2015-11-18,10:15,2015-11-18,16:00,"Lassen, Tom","CG D3 053 sem"
"IND422-G/Forelesning/01",2015-11-18,10:15,2015-11-18,16:00,"Lassen, Tom",""
