Subject,Start Date,Start Time,End Date,End Time,Description,Location
".UT-203-1 for",2015-08-17,09:15,2015-08-17,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-17,11:15,2015-08-17,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-08-17,14:15,2015-08-17,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-112-1 gr",2015-08-19,14:15,2015-08-19,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-08-24,09:15,2015-08-24,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-24,11:15,2015-08-24,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-08-24,14:15,2015-08-24,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-112-1 gr",2015-08-26,14:15,2015-08-26,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-08-31,09:15,2015-08-31,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-08-31,11:15,2015-08-31,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-08-31,14:15,2015-08-31,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-01,10:15,2015-09-01,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-02,14:15,2015-09-02,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-09-07,09:15,2015-09-07,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-07,11:15,2015-09-07,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-09-07,14:15,2015-09-07,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-08,10:15,2015-09-08,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-09,14:15,2015-09-09,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-09-14,09:15,2015-09-14,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-14,11:15,2015-09-14,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-09-14,14:15,2015-09-14,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-15,10:15,2015-09-15,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-16,14:15,2015-09-16,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-09-21,09:15,2015-09-21,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-21,11:15,2015-09-21,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-09-21,14:15,2015-09-21,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-22,10:15,2015-09-22,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-23,14:15,2015-09-23,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-09-28,09:15,2015-09-28,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 for 28.09 EKSTRA TIME",2015-09-28,11:15,2015-09-28,12:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-09-28,11:15,2015-09-28,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-09-28,14:15,2015-09-28,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-09-29,10:15,2015-09-29,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-09-30,14:15,2015-09-30,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-10-05,09:15,2015-10-05,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-05,11:15,2015-10-05,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-10-05,14:15,2015-10-05,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-10-06,10:15,2015-10-06,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-10-07,14:15,2015-10-07,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-10-12,09:15,2015-10-12,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-12,11:15,2015-10-12,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-112-1 for",2015-10-12,14:15,2015-10-12,17:00,"Leer-Helgesen Arnhild","CK B2 006 aud"
".UT-204 for",2015-10-13,10:15,2015-10-13,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-112-1 gr",2015-10-14,14:15,2015-10-14,16:00,"Leer-Helgesen Arnhild","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".UT-203-1 for",2015-10-19,09:15,2015-10-19,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
".UT-203-1 gr",2015-10-19,11:15,2015-10-19,13:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110"
".UT-204 for",2015-10-20,10:15,2015-10-20,12:00,"Wasstrøm Mikaela, Webersik Christian","CK B3 004 sem "
".UT-203-1 for",2015-10-26,09:15,2015-10-26,11:00,"Havnevik Kjell, Haaland Hanne Sortevik, Madland Ragnhild","CK H1 058 aud"
