Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DR-127/DR-120 forel man",2015-08-10,13:15,2015-08-10,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-08-12,08:15,2015-08-12,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-08-13,08:15,2015-08-13,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-08-17,08:15,2015-08-17,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-08-17,13:15,2015-08-17,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-08-18,12:15,2015-08-18,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-08-19,08:15,2015-08-19,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127/DR-120 ons",2015-08-19,12:15,2015-08-19,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-08-20,08:15,2015-08-20,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-08-24,08:15,2015-08-24,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-08-24,13:15,2015-08-24,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-08-25,12:15,2015-08-25,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-08-26,08:15,2015-08-26,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127/DR-120 ons",2015-08-26,12:15,2015-08-26,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-08-27,08:15,2015-08-27,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-08-31,08:15,2015-08-31,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-08-31,13:15,2015-08-31,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-09-01,12:15,2015-09-01,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-09-02,12:15,2015-09-02,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-09-03,08:15,2015-09-03,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-09-07,08:15,2015-09-07,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-09-07,13:15,2015-09-07,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-09-08,12:15,2015-09-08,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-09-09,12:15,2015-09-09,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-09-10,08:15,2015-09-10,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-09-14,08:15,2015-09-14,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-09-14,13:15,2015-09-14,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-09-15,12:15,2015-09-15,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-09-16,12:15,2015-09-16,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-09-17,08:15,2015-09-17,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-09-21,08:15,2015-09-21,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-09-21,13:15,2015-09-21,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-09-22,12:15,2015-09-22,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-09-23,08:15,2015-09-23,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127/DR-120 ons",2015-09-23,12:15,2015-09-23,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-09-24,08:15,2015-09-24,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-10-05,08:15,2015-10-05,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-10-05,13:15,2015-10-05,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-10-06,12:15,2015-10-06,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-10-07,12:15,2015-10-07,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-10-08,08:15,2015-10-08,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-10-12,08:15,2015-10-12,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-10-12,13:15,2015-10-12,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-10-13,12:15,2015-10-13,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-10-14,12:15,2015-10-14,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-10-15,08:15,2015-10-15,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-10-19,08:15,2015-10-19,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-10-19,13:15,2015-10-19,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-10-21,08:15,2015-10-21,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-10-22,08:15,2015-10-22,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-10-26,08:15,2015-10-26,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-10-26,13:15,2015-10-26,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-10-27,12:15,2015-10-27,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-10-28,12:15,2015-10-28,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 36.37.38.41.42.44.46",2015-10-29,08:15,2015-10-29,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-126/DR-122 forel fre uke 44",2015-10-30,08:15,2015-10-30,16:00,"Landvik Tordis, Wergeland Yates Marit","CK 51 131 sem"
"DR-127 man",2015-11-02,08:15,2015-11-02,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-11-02,13:15,2015-11-02,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-11-03,12:15,2015-11-03,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 ons. uke 33.34.35.39.43.45.47",2015-11-04,08:15,2015-11-04,12:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 012"
"DR-127/DR-120 ons",2015-11-04,12:15,2015-11-04,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 tors. uke 33.34.35.39.43.45.47",2015-11-05,08:15,2015-11-05,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 man",2015-11-09,08:15,2015-11-09,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 forel man",2015-11-09,13:15,2015-11-09,16:00,"Landvik Tordis, Wergeland Yates Marit","CK G1 051 aud (fg)"
"DR-127 tirs",2015-11-10,12:15,2015-11-10,16:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127/DR-120 ons",2015-11-11,12:15,2015-11-11,16:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-127 man",2015-11-16,08:15,2015-11-16,12:00,"Landvik Tordis","CK GU 048 dramasal"
"DR-127 tirs",2015-11-17,12:15,2015-11-17,16:00,"Landvik Tordis","CK GU 048 dramasal"
