Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EN-104 for",2015-08-13,12:15,2015-08-13,13:00,"Dougherty Stephen, Prince Michael","CK B1 006 aud"
"-EN-104 for",2015-08-17,11:15,2015-08-17,13:00,"Dougherty Stephen, Prince Michael","CK B1 006 aud"
"-EN-104 sem gr A",2015-08-17,14:15,2015-08-17,15:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr C",2015-08-17,14:15,2015-08-17,15:00,"Wetterlin Allison Louise","CK 48 106 sem"
"-EN-145 sem gr D",2015-08-17,14:15,2015-08-17,15:00,"Henriksen Arild Høye","CK 48 013 sem"
"-EN-104 sem gr B",2015-08-17,15:15,2015-08-17,16:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr D",2015-08-17,15:15,2015-08-17,16:00,"Wetterlin Allison Louise","CK 48 106 sem"
"-EN-145 sem gr C",2015-08-17,15:15,2015-08-17,16:00,"Henriksen Arild Høye","CK 48 013 sem"
"-EN-145 for",2015-08-18,11:15,2015-08-18,13:00,"Henriksen Arild Høye","CK B1 006 aud"
"-EN-122 for",2015-08-18,14:15,2015-08-18,16:00,"Wetterlin Allison Louise","CK B1 006 aud"
"-EN-104 for",2015-08-20,12:15,2015-08-20,13:00,"Dougherty Stephen, Prince Michael","CK B1 006 aud"
"-EN-104 sem gr C",2015-08-20,14:15,2015-08-20,15:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr A",2015-08-20,14:15,2015-08-20,15:00,"Wetterlin Allison Louise","CK 48 108 sem"
"-EN-145 sem gr B",2015-08-20,14:15,2015-08-20,15:00,"Henriksen Arild Høye","CK 48 013 sem"
"-EN-104 sem gr D",2015-08-20,15:15,2015-08-20,16:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr B",2015-08-20,15:15,2015-08-20,16:00,"Wetterlin Allison Louise","CK 48 108 sem"
"-EN-145 sem gr A",2015-08-20,15:15,2015-08-20,16:00,"Henriksen Arild Høye","CK 48 013 sem"
"-EN-104 for",2015-08-24,11:15,2015-08-24,13:00,"Dougherty Stephen, Prince Michael","CK B1 006 aud"
"-EN-104 sem gr A",2015-08-24,14:15,2015-08-24,15:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr C",2015-08-24,14:15,2015-08-24,15:00,"Wetterlin Allison Louise","CK 48 106 sem"
"-EN-145 sem gr D",2015-08-24,14:15,2015-08-24,15:00,"Henriksen Arild Høye","CK 48 013 sem"
"-EN-104 sem gr B",2015-08-24,15:15,2015-08-24,16:00,"Dougherty Stephen, Prince Michael","CK 48 115 sem"
"-EN-122 sem gr D",2015-08-24,15:15,2015-08-24,16:00,"Wetterlin Allison Louise","CK 48 106 sem"
"-EN-145 sem gr C",2015-08-24,15:15,2015-08-24,16:00,"Henriksen Arild Høye","CK 48 013 sem"
