Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-ERN100 for 12.08",2015-08-12,09:15,2015-08-12,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-08-17,09:15,2015-08-17,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-08-19,08:15,2015-08-19,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-08-24,09:15,2015-08-24,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-08-26,08:15,2015-08-26,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-08-31,09:15,2015-08-31,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-09-02,08:15,2015-09-02,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-09-07,09:15,2015-09-07,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for 09.09",2015-09-09,08:15,2015-09-09,10:00,"Stea Tonje Holte","CK I1 066 aud"
"-ERN100 for",2015-09-21,09:15,2015-09-21,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-10-05,09:15,2015-10-05,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-10-07,08:15,2015-10-07,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-10-14,08:15,2015-10-14,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-10-19,09:15,2015-10-19,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-10-21,08:15,2015-10-21,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-11-02,09:15,2015-11-02,11:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
"-ERN100 for",2015-11-04,08:15,2015-11-04,10:00,"Stea Tonje Holte","CK x IU 071 aud idr-"
