Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-ERN203 for",2015-08-12,10:15,2015-08-12,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-08-19,10:15,2015-08-19,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-08-26,10:15,2015-08-26,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-09-02,10:15,2015-09-02,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-09-09,10:15,2015-09-09,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN204/HEL205 SPSS felleskurs uke 38",2015-09-14,08:15,2015-09-14,16:00,"","CK D3 016 lab"
"-ERN204/HEL205 SPSS felleskurs uke 38",2015-09-15,08:15,2015-09-15,16:00,"","CK D3 016 lab"
"-ERN203 for",2015-09-16,10:15,2015-09-16,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-09-23,10:15,2015-09-23,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN204/HEL205 SPSS felleskurs uke 39",2015-09-24,08:15,2015-09-24,16:00,"","CK D3 014 lab"
"-ERN204/HEL205 SPSS felleskurs uke 39",2015-09-25,08:15,2015-09-25,16:00,"","CK D3 014 lab"
"-ERN203 for",2015-09-30,10:15,2015-09-30,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-10-07,10:15,2015-10-07,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-10-14,10:15,2015-10-14,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for uke 43 NB! ROM",2015-10-21,10:15,2015-10-21,14:00,"Bere Elling, Hernes Sigrunn","CK H1 023 sem"
"-ERN203 for",2015-10-28,10:15,2015-10-28,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-11-04,10:15,2015-11-04,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-11-11,10:15,2015-11-11,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
"-ERN203 for",2015-11-18,10:15,2015-11-18,14:00,"Bere Elling, Hernes Sigrunn","CK IU 001 sem"
