Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MU-152 Komp.arr.(2fk) man",2015-08-17,13:15,2015-08-17,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-08-24,13:15,2015-08-24,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-08-31,13:15,2015-08-31,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-09-07,13:15,2015-09-07,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-09-14,13:15,2015-09-14,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-09-21,13:15,2015-09-21,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-09-28,13:15,2015-09-28,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-10-05,13:15,2015-10-05,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-10-12,13:15,2015-10-12,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-10-19,13:15,2015-10-19,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-10-26,13:15,2015-10-26,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-11-02,13:15,2015-11-02,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-11-09,13:15,2015-11-09,15:00,"Øhrn Konrad","CK G1 020"
"MU-152 Komp.arr.(2fk) man",2015-11-16,13:15,2015-11-16,15:00,"Øhrn Konrad","CK G1 020"
