Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DR-110 forel ons",2015-08-12,08:15,2015-08-12,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-08-13,08:15,2015-08-13,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors",2015-08-13,12:15,2015-08-13,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel ons",2015-08-19,08:15,2015-08-19,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-08-20,08:15,2015-08-20,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors",2015-08-20,12:15,2015-08-20,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel ons",2015-08-26,08:15,2015-08-26,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-08-27,08:15,2015-08-27,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors",2015-08-27,12:15,2015-08-27,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 seminar ons uke 36.37.41.42.44",2015-09-02,08:15,2015-09-02,12:00,"Landvik Tordis","CK 48 114 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-09-02,12:15,2015-09-02,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors",2015-09-03,12:15,2015-09-03,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 seminar ons uke 36.37.41.42.44",2015-09-09,08:15,2015-09-09,12:00,"Landvik Tordis","CK 48 114 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-09-09,12:15,2015-09-09,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors. uke 37",2015-09-10,12:15,2015-09-10,16:00,"Landvik Tordis","CK H1 023 sem"
"DR-118 seminar ons uke 38.46",2015-09-16,08:15,2015-09-16,12:00,"Landvik Tordis","CK 48 113 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-09-16,12:15,2015-09-16,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors",2015-09-17,12:15,2015-09-17,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel ons",2015-09-23,08:15,2015-09-23,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-09-24,08:15,2015-09-24,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors",2015-09-24,12:15,2015-09-24,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel tors",2015-10-01,12:15,2015-10-01,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 seminar ons uke 36.37.41.42.44",2015-10-07,08:15,2015-10-07,12:00,"Landvik Tordis","CK 48 114 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-10-07,12:15,2015-10-07,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors",2015-10-08,12:15,2015-10-08,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 seminar ons uke 36.37.41.42.44",2015-10-14,08:15,2015-10-14,12:00,"Landvik Tordis","CK 48 114 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-10-14,12:15,2015-10-14,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors",2015-10-15,12:15,2015-10-15,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 tors",2015-10-22,08:15,2015-10-22,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors uke 43.47",2015-10-22,12:15,2015-10-22,16:00,"Landvik Tordis","CK 48 007A sem "
"DR-118 seminar ons uke 36.37.41.42.44",2015-10-28,08:15,2015-10-28,12:00,"Landvik Tordis","CK 48 114 sem"
"DR-110 forel ons. uke 36.37.38.41.42.44",2015-10-28,12:15,2015-10-28,14:00,"Landvik Tordis","CK 48 007A sem "
"DR-110 forel tors",2015-10-29,12:15,2015-10-29,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel ons",2015-11-04,08:15,2015-11-04,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-11-05,08:15,2015-11-05,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors",2015-11-05,12:15,2015-11-05,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-118 seminar ons uke 38.46",2015-11-11,08:15,2015-11-11,12:00,"Landvik Tordis","CK 48 113 sem"
"DR-110 forel ons. uke 46",2015-11-11,12:15,2015-11-11,14:00,"Landvik Tordis","CK 48 106 sem"
"DR-110 forel tors",2015-11-12,12:15,2015-11-12,16:00,"Landvik Tordis","CK 46 135 sem"
"DR-110 forel ons",2015-11-18,08:15,2015-11-18,10:00,"Landvik Tordis","CK GU 043 teatersal"
"DR-118 tors",2015-11-19,08:15,2015-11-19,12:00,"Landvik Tordis","CK GU 043 teatersal, CK GU 048 dramasal"
"DR-110 forel tors uke 43.47",2015-11-19,12:15,2015-11-19,16:00,"Landvik Tordis","CK 48 007A sem "
