Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DR-123 forel ons ",2015-08-12,08:15,2015-08-12,10:00,"","CK 48 114 sem"
"DR-123 ons uke 33.34.35.39.43.45.47",2015-08-12,10:15,2015-08-12,12:00,"","CK GU 043 teatersal"
"PED-134-1 forel. man",2015-08-17,09:15,2015-08-17,12:00,"Bjørkvik,Anne","CK G1 051 aud (fg)"
"DR-123 forel man",2015-08-17,13:15,2015-08-17,16:00,"","CK 51 134 sem"
"DR-123 tirs",2015-08-18,08:15,2015-08-18,12:00,"","CK GU 043 teatersal"
"DR-123 forel ons ",2015-08-19,08:15,2015-08-19,10:00,"","CK 48 114 sem"
"DR-123 ons uke 33.34.35.39.43.45.47",2015-08-19,10:15,2015-08-19,12:00,"","CK GU 043 teatersal"
"DR-123 fre",2015-08-21,08:15,2015-08-21,12:00,"","CK G1 051 aud (fg)"
"DR-123 fre uke 34.35.39.43.45.47",2015-08-21,08:15,2015-08-21,12:00,"","CK GU 043 teatersal"
"PED-134-1 forel. man",2015-08-24,09:15,2015-08-24,12:00,"Bjørkvik,Anne","CK G1 051 aud (fg)"
"DR-123 forel man",2015-08-24,13:15,2015-08-24,16:00,"","CK 51 134 sem"
"DR-123 tirs",2015-08-25,08:15,2015-08-25,12:00,"","CK GU 043 teatersal"
"DR-123 forel ons ",2015-08-26,08:15,2015-08-26,10:00,"","CK 48 114 sem"
"DR-123 ons uke 33.34.35.39.43.45.47",2015-08-26,10:15,2015-08-26,12:00,"","CK GU 043 teatersal"
"DR-123 fre",2015-08-28,08:15,2015-08-28,12:00,"","CK G1 051 aud (fg)"
"DR-123 fre uke 34.35.39.43.45.47",2015-08-28,08:15,2015-08-28,12:00,"","CK GU 043 teatersal"
"PED-134-1 forel. man",2015-08-31,09:15,2015-08-31,12:00,"Bjørkvik,Anne","CK G1 051 aud (fg)"
"DR-123 forel man. uke 36",2015-08-31,13:15,2015-08-31,16:00,"","CK 48 114 sem"
"DR-123 tirs (36.37.38.42. 47)",2015-09-01,08:15,2015-09-01,10:00,"Böhnisch Siemke","CK GK 001 sem"
"DR-123 tirs",2015-09-01,08:15,2015-09-01,12:00,"","CK GU 043 teatersal"
"DR-123 seminar ons",2015-09-02,08:15,2015-09-02,12:00,"","CK 48 013 sem"
"DR-123 seminar tors uke 36.37.38",2015-09-03,08:15,2015-09-03,12:00,"","CK 48 108 sem"
"DR-123 fre",2015-09-04,08:15,2015-09-04,12:00,"","CK G1 051 aud (fg)"
"DR-123 seminar fre ",2015-09-04,08:15,2015-09-04,12:00,"","CK 48 113 sem"
"PED-134-1 forel. man",2015-09-07,09:15,2015-09-07,12:00,"Bjørkvik,Anne","CK G1 051 aud (fg)"
"DR-123 forel man",2015-09-07,13:15,2015-09-07,16:00,"","CK 51 134 sem"
"DR-123 tirs (36.37.38.42. 47)",2015-09-08,08:15,2015-09-08,10:00,"Böhnisch Siemke","CK GK 001 sem"
"DR-123 tirs",2015-09-08,08:15,2015-09-08,12:00,"","CK GU 043 teatersal"
"DR-123 seminar ons",2015-09-09,08:15,2015-09-09,12:00,"","CK 48 013 sem"
"DR-123 ons (37.42)",2015-09-09,10:15,2015-09-09,12:00,"Böhnisch Siemke","CK 48 114 sem"
"DR-123 seminar tors uke 36.37.38",2015-09-10,08:15,2015-09-10,12:00,"","CK 48 108 sem"
"DR-123 fre",2015-09-11,08:15,2015-09-11,12:00,"","CK G1 051 aud (fg)"
"DR-123 seminar fre ",2015-09-11,08:15,2015-09-11,12:00,"","CK 48 113 sem"
"PED-134-1 forel. man",2015-09-14,09:15,2015-09-14,12:00,"Bjørkvik,Anne","CK G1 051 aud (fg)"
"DR-123 forel man",2015-09-14,13:15,2015-09-14,16:00,"","CK 51 134 sem"
"DR-123 tirs (36.37.38.42. 47)",2015-09-15,08:15,2015-09-15,10:00,"Böhnisch Siemke","CK GK 001 sem"
