Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-LFT103 Se egen plan for LFT103",2015-08-12,09:15,2015-08-12,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-13,09:15,2015-08-13,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-17,09:15,2015-08-17,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-18,09:15,2015-08-18,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-19,09:15,2015-08-19,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-20,09:15,2015-08-20,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-21,09:15,2015-08-21,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-24,09:15,2015-08-24,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-25,09:15,2015-08-25,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-26,09:15,2015-08-26,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-27,09:15,2015-08-27,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-28,09:15,2015-08-28,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-08-31,09:15,2015-08-31,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-09-01,09:15,2015-09-01,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-09-02,09:15,2015-09-02,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-09-03,09:15,2015-09-03,14:00,"Dancus Margareta","CK x D4 026-"
"-LFT103 Se egen plan for LFT103",2015-09-04,09:15,2015-09-04,14:00,"Dancus Margareta","CK x D4 026-"
