Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-FIL100 NB! ROM uke 33",2015-08-12,12:15,2015-08-12,15:00,"Vaags Ralph Henk","CK B2 014 sem"
"-FIL104",2015-08-17,09:15,2015-08-17,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL100",2015-08-19,12:15,2015-08-19,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-08-20,12:15,2015-08-20,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-08-21,12:15,2015-08-21,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-08-24,09:15,2015-08-24,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-08-24,12:15,2015-08-24,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-FIL100",2015-08-26,12:15,2015-08-26,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-08-27,12:15,2015-08-27,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-08-28,12:15,2015-08-28,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-08-31,09:15,2015-08-31,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL100",2015-09-02,12:15,2015-09-02,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-09-03,12:15,2015-09-03,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-09-04,12:15,2015-09-04,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-09-07,09:15,2015-09-07,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-09-07,12:15,2015-09-07,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-FIL103 for",2015-09-10,12:15,2015-09-10,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-09-11,12:15,2015-09-11,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-09-14,09:15,2015-09-14,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL100",2015-09-16,12:15,2015-09-16,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-09-17,12:15,2015-09-17,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-09-18,12:15,2015-09-18,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-09-21,09:15,2015-09-21,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-09-21,12:15,2015-09-21,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-FIL100",2015-09-23,12:15,2015-09-23,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-09-24,12:15,2015-09-24,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-09-25,12:15,2015-09-25,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-09-28,09:15,2015-09-28,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL100",2015-09-30,12:15,2015-09-30,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL104",2015-10-05,09:15,2015-10-05,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-10-05,12:15,2015-10-05,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-FIL100",2015-10-07,12:15,2015-10-07,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-10-08,12:15,2015-10-08,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-10-09,12:15,2015-10-09,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-10-12,09:15,2015-10-12,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-10-12,12:15,2015-10-12,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
"-FIL103 for",2015-10-15,12:15,2015-10-15,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-10-19,09:15,2015-10-19,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL100",2015-10-21,12:15,2015-10-21,15:00,"Vaags Ralph Henk","CK B3 001 aud"
"-FIL103 for",2015-10-22,12:15,2015-10-22,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL103 for",2015-10-23,12:15,2015-10-23,14:00,"Løkke Håvard","CK B2 002 aud"
"-FIL104",2015-10-26,09:15,2015-10-26,12:00,"Bøhn Einar Duenger","CK B2 004 aud"
"-FIL104 gr",2015-10-26,12:15,2015-10-26,14:00,"Bøhn Einar Duenger","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024"
