Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HEL409 for tirs uke 34.38",2015-08-18,09:15,2015-08-18,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK I1 002 sem"
"-HEL409 for tors",2015-08-20,10:15,2015-08-20,15:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK IU 001 sem"
"-ME-418 for (CK) man",2015-08-24,12:15,2015-08-24,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 35",2015-08-25,10:15,2015-08-25,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-08-26,10:15,2015-08-26,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-08-27,11:15,2015-08-27,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-HEL409 for man 31.08",2015-08-31,09:15,2015-08-31,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK I1 002 sem"
"-HEL409 for tirs 01.09",2015-09-01,09:15,2015-09-01,16:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK I1 002 sem"
"-HEL409 for tors",2015-09-03,10:15,2015-09-03,15:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK IU 001 sem"
"-HEL409 lab 14.09",2015-09-14,12:15,2015-09-14,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK D3 014 lab"
"-HEL409 for tirs uke 34.38",2015-09-15,09:15,2015-09-15,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK I1 002 sem"
"-HEL409 gjesteforelesning 16.09",2015-09-16,09:15,2015-09-16,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK I1 002 sem"
"-HEL409 for tors",2015-09-17,10:15,2015-09-17,15:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK IU 001 sem"
"-ME-418 for (CK) man",2015-09-21,12:15,2015-09-21,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 39.43",2015-09-22,08:15,2015-09-22,12:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-09-23,10:15,2015-09-23,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-09-24,11:15,2015-09-24,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-HEL409 for tirs uke 42",2015-10-13,09:15,2015-10-13,14:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK H1 023 sem"
"-HEL409 for tors",2015-10-15,10:15,2015-10-15,15:00,"Hillesund Elisabet Rudjord, Kiland, Charlotte","CK IU 001 sem"
"-ME-418 for (CK) man",2015-10-19,12:15,2015-10-19,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 39.43",2015-10-20,08:15,2015-10-20,12:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-10-21,10:15,2015-10-21,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-10-22,11:15,2015-10-22,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK)",2015-10-23,10:15,2015-10-23,14:00,"Johansen Bjørn Tore","CK IU 069 aud"
