Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-FR-123 litt",2015-08-12,09:15,2015-08-12,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-08-13,09:15,2015-08-13,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-08-17,09:15,2015-08-17,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-08-17,12:15,2015-08-17,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-08-18,09:15,2015-08-18,12:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-121 gram",2015-08-18,13:15,2015-08-18,15:00,"Sveberg Tore","CK F2 001 sem"
"-FR-123 litt",2015-08-19,09:15,2015-08-19,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-08-20,09:15,2015-08-20,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-08-24,09:15,2015-08-24,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-08-24,12:15,2015-08-24,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-08-25,09:15,2015-08-25,12:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-121 gram",2015-08-25,13:15,2015-08-25,15:00,"Sveberg Tore","CK F2 001 sem"
"-FR-123 litt",2015-08-26,09:15,2015-08-26,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-08-27,09:15,2015-08-27,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-08-31,09:15,2015-08-31,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-08-31,12:15,2015-08-31,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-09-01,09:15,2015-09-01,12:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-121 gram",2015-09-01,13:15,2015-09-01,15:00,"Sveberg Tore","CK F2 001 sem"
"-FR-123 litt",2015-09-02,09:15,2015-09-02,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-09-03,09:15,2015-09-03,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-09-07,09:15,2015-09-07,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-09-07,12:15,2015-09-07,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-09-08,09:15,2015-09-08,12:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-121 gram",2015-09-08,13:15,2015-09-08,15:00,"Sveberg Tore","CK F2 001 sem"
"-FR-123 litt",2015-09-09,09:15,2015-09-09,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-09-10,09:15,2015-09-10,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-09-14,09:15,2015-09-14,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-09-14,12:15,2015-09-14,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-09-15,09:15,2015-09-15,12:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-121 gram",2015-09-15,13:15,2015-09-15,15:00,"Sveberg Tore","CK F2 001 sem"
"-FR-123 litt",2015-09-16,09:15,2015-09-16,11:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-121 gram",2015-09-17,09:15,2015-09-17,11:00,"Sveberg Tore","CK F2 004 sem"
"-FR-121 pr fransk",2015-09-21,09:15,2015-09-21,11:00,"Girard Francine Alice G.","CK F2 006 sem"
"-FR-123 litt",2015-09-21,12:15,2015-09-21,14:00,"Lyngstad Brit Helene","CK 46 207 sem"
"-FR-123 litt",2015-09-22,09:15,2015-09-22,12:00,"Girard Francine Alice G.","CK F2 006 sem"
