Subject,Start Date,Start Time,End Date,End Time,Description,Location
".UT-404-1/UT-405-1 wk 34",2015-08-17,09:15,2015-08-17,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 34",2015-08-17,09:15,2015-08-17,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 34",2015-08-18,09:15,2015-08-18,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 34",2015-08-18,09:15,2015-08-18,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 34",2015-08-19,09:15,2015-08-19,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 34",2015-08-19,09:15,2015-08-19,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 34",2015-08-20,09:15,2015-08-20,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 34",2015-08-20,09:15,2015-08-20,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 34",2015-08-21,09:15,2015-08-21,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 34",2015-08-21,09:15,2015-08-21,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 35",2015-08-24,09:15,2015-08-24,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 35",2015-08-24,09:15,2015-08-24,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 35",2015-08-25,09:15,2015-08-25,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 35",2015-08-25,09:15,2015-08-25,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 35",2015-08-26,09:15,2015-08-26,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 35",2015-08-26,09:15,2015-08-26,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 35",2015-08-27,09:15,2015-08-27,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 35",2015-08-27,09:15,2015-08-27,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-404-1/UT-405-1 wk 35",2015-08-28,09:15,2015-08-28,17:00,"Sein Maung Kyaw","CK H1 022 sem"
".UT-405-1/UT-404-1 wk 35",2015-08-28,09:15,2015-08-28,17:00,"Sein Maung Kyaw","CK H1 022 sem"
