Subject,Start Date,Start Time,End Date,End Time,Description,Location
"NAT109-G/Lab/02 Prosjekt nat+klima",2015-08-12,08:15,2015-08-12,12:00,"Liltved, Helge","CG C3 100 lab K, CG D2 030 lab NAT"
"NAT109-G/Forelesning/01 Prosjekt",2015-08-12,08:15,2015-08-12,16:00,"Liltved, Helge","CG C2 021"
"NAT109-G/Lab/01 Prosjekt klimalab",2015-08-12,12:15,2015-08-12,16:00,"Liltved, Helge","CG C3 100 lab K"
"NAT109-G/Forelesning/02 Biologi",2015-08-13,08:15,2015-08-13,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT109-G/Forelesning/03",2015-08-14,08:15,2015-08-14,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT110-G/Forelesning/02 Kjemi",2015-08-17,09:15,2015-08-17,16:00,"Liltved, Helge","CG C2 021"
"NAT110-G/Forelesning/01 Fysikk",2015-08-18,08:15,2015-08-18,16:00,"Wold, Margrethe","CG C2 021"
"NAT109-G/Lab/02 Prosjekt nat+klima",2015-08-19,08:15,2015-08-19,12:00,"Liltved, Helge","CG C3 100 lab K, CG D2 030 lab NAT"
"NAT109-G/Forelesning/01 Prosjekt",2015-08-19,08:15,2015-08-19,16:00,"Liltved, Helge","CG C2 021"
"NAT109-G/Lab/01 Prosjekt klimalab",2015-08-19,12:15,2015-08-19,16:00,"Liltved, Helge","CG C3 100 lab K"
"NAT109-G/Forelesning/02 Biologi",2015-08-20,08:15,2015-08-20,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT109-G/Forelesning/03",2015-08-21,08:15,2015-08-21,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT110-G/Forelesning/02 Kjemi",2015-08-24,09:15,2015-08-24,16:00,"Liltved, Helge","CG C2 021"
"NAT110-G/Forelesning/01 Fysikk",2015-08-25,08:15,2015-08-25,16:00,"Wold, Margrethe","CG C2 021"
"NAT109-G/Lab/02 Prosjekt nat+klima",2015-08-26,08:15,2015-08-26,12:00,"Liltved, Helge","CG C3 100 lab K, CG D2 030 lab NAT"
"NAT109-G/Forelesning/01 Prosjekt",2015-08-26,08:15,2015-08-26,16:00,"Liltved, Helge","CG C2 021"
"NAT109-G/Lab/01 Prosjekt klimalab",2015-08-26,12:15,2015-08-26,16:00,"Liltved, Helge","CG C3 100 lab K"
"NAT109-G/Forelesning/02 Biologi",2015-08-27,08:15,2015-08-27,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT109-G/Forelesning/03",2015-08-28,08:15,2015-08-28,16:00,"Boman, Dag (tl)","CG C2 021"
"NAT110-G/Forelesning/02 Kjemi",2015-08-31,09:15,2015-08-31,16:00,"Liltved, Helge","CG C2 021"
"NAT110-G/Forelesning/01 Fysikk",2015-09-01,08:15,2015-09-01,16:00,"Wold, Margrethe","CG C2 021"
