Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EN-140 for (sammen med EN-142)",2015-08-12,09:15,2015-08-12,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-08-13,09:15,2015-08-13,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-08-17,09:15,2015-08-17,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-08-18,09:15,2015-08-18,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-08-19,09:15,2015-08-19,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-08-20,09:15,2015-08-20,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-08-24,09:15,2015-08-24,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-08-25,09:15,2015-08-25,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-08-26,09:15,2015-08-26,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-08-27,09:15,2015-08-27,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-08-31,09:15,2015-08-31,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-01,09:15,2015-09-01,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-09-02,09:15,2015-09-02,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-03,09:15,2015-09-03,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-09-07,09:15,2015-09-07,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-08,09:15,2015-09-08,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-09-09,09:15,2015-09-09,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-10,09:15,2015-09-10,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-09-14,09:15,2015-09-14,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-15,09:15,2015-09-15,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-09-16,09:15,2015-09-16,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-09-17,09:15,2015-09-17,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-09-22,09:15,2015-09-22,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-09-24,09:15,2015-09-24,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-09-29,09:15,2015-09-29,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-10-01,09:15,2015-10-01,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-10-06,09:15,2015-10-06,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-10-08,09:15,2015-10-08,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-10-12,09:15,2015-10-12,12:00,"Armstrong Charles Ivan","CK F2 007 sem"
"-EN-141/143 for/sem",2015-10-13,09:15,2015-10-13,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-140 for (sammen med EN-142)",2015-10-14,09:15,2015-10-14,12:00,"Mustad Jan Erik","CK F2 007 sem"
"-EN-141/143 for/sem",2015-10-15,09:15,2015-10-15,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-11-10,09:15,2015-11-10,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-11-12,09:15,2015-11-12,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
"-EN-141/143 for/sem",2015-11-17,09:15,2015-11-17,12:00,"Hasund Ingrid Kristine","CK 46 308 sem"
