Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-148 for",2015-08-17,09:15,2015-08-17,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-08-18,08:15,2015-08-18,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-08-24,09:15,2015-08-24,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-08-25,08:15,2015-08-25,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-149 for",2015-08-27,12:15,2015-08-27,19:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-149 for",2015-08-28,09:15,2015-08-28,16:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-148 for",2015-08-31,09:15,2015-08-31,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-01,08:15,2015-09-01,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-07,09:15,2015-09-07,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-08,08:15,2015-09-08,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-149 for",2015-09-10,12:15,2015-09-10,19:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-149 for",2015-09-11,09:15,2015-09-11,16:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-148 for",2015-09-14,09:15,2015-09-14,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-15,08:15,2015-09-15,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-21,09:15,2015-09-21,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-22,08:15,2015-09-22,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-149 for",2015-09-24,12:15,2015-09-24,19:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-149 for",2015-09-25,09:15,2015-09-25,16:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-148 for",2015-09-28,09:15,2015-09-28,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-09-29,08:15,2015-09-29,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-10-05,09:15,2015-10-05,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-10-06,08:15,2015-10-06,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-149 for",2015-10-08,12:15,2015-10-08,19:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-149 for",2015-10-09,09:15,2015-10-09,16:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-148 for",2015-10-12,09:15,2015-10-12,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-10-13,08:15,2015-10-13,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-11-09,09:15,2015-11-09,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-11-10,08:15,2015-11-10,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-149 for",2015-11-12,12:15,2015-11-12,19:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-149 for",2015-11-13,09:15,2015-11-13,16:00,"Slettan Svein, Vukovska Boriana","CK F2 007 sem"
"-NO-148 for",2015-11-16,09:15,2015-11-16,13:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
"-NO-148 for",2015-11-17,08:15,2015-11-17,12:00,"Jensen Magnus Thunes, Karsrud Fridunn Tørå, Vollan Magnhild","CK D3 054 sem"
