Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-REL111/110 for",2015-08-12,08:15,2015-08-12,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/111 for",2015-08-12,08:15,2015-08-12,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/REL111 sem",2015-08-13,08:15,2015-08-13,12:00,"Tallaksen Inger Margrethe","CK 46 210 sem"
"-REL111/REL110 sem",2015-08-13,08:15,2015-08-13,12:00,"Tallaksen Inger Margrethe","CK 46 210 sem"
"-REL111/110 for",2015-08-17,08:15,2015-08-17,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/111 for",2015-08-17,08:15,2015-08-17,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL111/110 for",2015-08-19,08:15,2015-08-19,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/111 for",2015-08-19,08:15,2015-08-19,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/REL111 sem",2015-08-20,08:15,2015-08-20,12:00,"Tallaksen Inger Margrethe","CK 46 210 sem"
"-REL111/REL110 sem",2015-08-20,08:15,2015-08-20,12:00,"Tallaksen Inger Margrethe","CK 46 210 sem"
"-REL111/110 for",2015-08-24,08:15,2015-08-24,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/111 for",2015-08-24,08:15,2015-08-24,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL111/110 for",2015-08-26,08:15,2015-08-26,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
"-REL110/111 for",2015-08-26,08:15,2015-08-26,12:00,"Eidhamar Levi Geir, Hägg Henny Solfrid F., Tallaksen Inger Margrethe, Vegge Tor","CK B2 002 aud"
