Subject,Start Date,Start Time,End Date,End Time,Description,Location
"NAT105 forel uke 34-38 ons",2015-08-19,10:15,2015-08-19,12:00,"Korslund Lars","CK J1 064 aud"
"NAT105 forel uke 34.36.37 tors",2015-08-20,09:15,2015-08-20,12:00,"Korslund Lars","CK JU 071 aud"
"NAT105 lab uke 34. 35",2015-08-20,12:15,2015-08-20,17:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"NAT105 forel uke 34.35 fre",2015-08-21,09:15,2015-08-21,12:00,"Lien Anne","CK B3 008 aud"
"NAT105 lab uke 34. 35",2015-08-21,12:15,2015-08-21,17:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"NAT105 forel uke 34-38 ons",2015-08-26,10:15,2015-08-26,12:00,"Korslund Lars","CK J1 064 aud"
"NAT105 forel uke 35 tors",2015-08-27,09:15,2015-08-27,12:00,"Lien Anne","CK JU 071 aud"
"NAT105 lab uke 34. 35",2015-08-27,12:15,2015-08-27,17:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"NAT105 forel uke 34.35 fre",2015-08-28,09:15,2015-08-28,12:00,"Lien Anne","CK B3 008 aud"
"NAT105 lab uke 34. 35",2015-08-28,12:15,2015-08-28,17:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"HMS-kurs forel",2015-09-02,08:15,2015-09-02,10:00,"Milan Margarita, Svendsen Lian Monica","CK B1 006 aud"
"HMS-kurs lab",2015-09-02,09:15,2015-09-02,14:00,"Milan Margarita, Svendsen Lian Monica","CK JK 018 kjemi"
"HMS-kurs forel",2015-09-02,14:15,2015-09-02,17:00,"Milan Margarita, Svendsen Lian Monica","CK B1 006 aud"
"NAT105 forel uke 34.36.37 tors",2015-09-03,09:15,2015-09-03,12:00,"Korslund Lars","CK JU 071 aud"
"NAT105 lab uke 36 OBS! nytt rom",2015-09-03,12:15,2015-09-03,17:00,"Korslund Lars, Lien Anne","CK J1 001 bio"
"NAT105 gr uke 36 fre",2015-09-04,09:15,2015-09-04,12:00,"Korslund Lars, Lien Anne","CK B3 019, CK B3 023, CK B3 026, CK B3 028, CK B3 029, CK B3 008 aud, CK B3 012, CK B3 014, CK B3 017"
"NAT105 lab uke 36 OBS! nytt rom",2015-09-04,12:15,2015-09-04,17:00,"Korslund Lars, Lien Anne","CK J1 001 bio"
"NAT105 forel uke 34-38 ons",2015-09-09,10:15,2015-09-09,12:00,"Korslund Lars","CK J1 064 aud"
"NAT105 forel uke 34.36.37 tors",2015-09-10,09:15,2015-09-10,12:00,"Korslund Lars","CK JU 071 aud"
"NAT105 lab uke 37",2015-09-10,12:15,2015-09-10,16:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"NAT105 forel uke 37 fre",2015-09-11,09:15,2015-09-11,12:00,"Korslund Lars","CK B3 008 aud"
"NAT105 lab uke 37",2015-09-11,12:15,2015-09-11,16:00,"Korslund Lars, Lien Anne","CK J1 004 bio"
"NAT105 forel uke 34-38 ons",2015-09-16,10:15,2015-09-16,12:00,"Korslund Lars","CK J1 064 aud"
"NAT105 forel uke 40 ons",2015-09-30,10:15,2015-09-30,12:00,"Svendsen Lian Monica","CK B3 008 aud"
"NAT105 forel uke 40 tors",2015-10-01,08:15,2015-10-01,11:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 forel uke 40. 43 fre",2015-10-02,08:15,2015-10-02,11:00,"Svendsen Lian Monica","CK D3 018 sem"
"NAT105 forel uke 42-46 tors",2015-10-15,08:15,2015-10-15,10:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 gr uke 42 tors",2015-10-15,10:15,2015-10-15,12:00,"Korslund Lars, Lien Anne","CK B3 019, CK B3 023, CK B3 026, CK B3 028, CK B3 029, CK B3 012, CK B3 014, CK B3 017"
"NAT107 forel uke 43. 44 man",2015-10-19,08:15,2015-10-19,11:00,"Christy, Alfred","CK 48 002 sem"
"NAT107 gr. uke 43. 44",2015-10-19,11:15,2015-10-19,13:00,"Christy, Alfred","CK F1 025, CK F1 026, CK F1 027, CK F1 028"
"NAT107 lab uke 43. 44",2015-10-20,08:15,2015-10-20,13:00,"Christy, Alfred","CK JU 016 kjemi"
"NAT107 forel uke 43. 44 ons",2015-10-21,12:15,2015-10-21,15:00,"Christy, Alfred","CK 46 207 sem"
"NAT105 forel uke 42-46 tors",2015-10-22,08:15,2015-10-22,10:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 lab uke 43-46",2015-10-22,12:15,2015-10-22,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 forel uke 40. 43 fre",2015-10-23,08:15,2015-10-23,11:00,"Svendsen Lian Monica","CK D3 018 sem"
"NAT105 lab uke 43-46",2015-10-23,12:15,2015-10-23,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT107 forel uke 43. 44 man",2015-10-26,08:15,2015-10-26,11:00,"Christy, Alfred","CK 48 002 sem"
"NAT107 gr. uke 43. 44",2015-10-26,11:15,2015-10-26,13:00,"Christy, Alfred","CK F1 025, CK F1 026, CK F1 027, CK F1 028"
"NAT107 lab uke 43. 44",2015-10-27,08:15,2015-10-27,13:00,"Christy, Alfred","CK JU 016 kjemi"
"NAT105 gr. uke 44-46 ons",2015-10-28,10:15,2015-10-28,12:00,"Svendsen Lian Monica","CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"NAT107 forel uke 43. 44 ons",2015-10-28,12:15,2015-10-28,15:00,"Christy, Alfred","CK 46 207 sem"
"NAT105 forel uke 42-46 tors",2015-10-29,08:15,2015-10-29,10:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 lab uke 43-46",2015-10-29,12:15,2015-10-29,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 forel uke 44-46 fre",2015-10-30,08:15,2015-10-30,11:00,"Svendsen Lian Monica","CK F1 022 sem"
"NAT105 lab uke 43-46",2015-10-30,12:15,2015-10-30,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 gr. uke 44-46 ons",2015-11-04,10:15,2015-11-04,12:00,"Svendsen Lian Monica","CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"NAT105 forel uke 42-46 tors",2015-11-05,08:15,2015-11-05,10:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 lab uke 43-46",2015-11-05,12:15,2015-11-05,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 forel uke 44-46 fre",2015-11-06,08:15,2015-11-06,11:00,"Svendsen Lian Monica","CK F1 022 sem"
"NAT105 lab uke 43-46",2015-11-06,12:15,2015-11-06,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 gr. uke 44-46 ons",2015-11-11,10:15,2015-11-11,12:00,"Svendsen Lian Monica","CK J1 031, CK J1 032, CK J1 056, CK J1 057, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"NAT105 forel uke 42-46 tors",2015-11-12,08:15,2015-11-12,10:00,"Svendsen Lian Monica","CK JU 071 aud"
"NAT105 lab uke 43-46",2015-11-12,12:15,2015-11-12,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 forel uke 44-46 fre",2015-11-13,08:15,2015-11-13,11:00,"Svendsen Lian Monica","CK F1 022 sem"
"NAT105 lab uke 43-46",2015-11-13,12:15,2015-11-13,16:00,"Svendsen Lian Monica","CK JU 016 kjemi"
"NAT105 forel uke 47 ons",2015-11-18,10:15,2015-11-18,12:00,"Renstrøm Reidun","CK JU 071 aud"
"NAT105 forel uke 47 tors/fre",2015-11-19,08:15,2015-11-19,11:00,"Renstrøm Reidun","CK JU 071 aud"
"NAT105 forel uke 47 tors/fre",2015-11-20,08:15,2015-11-20,11:00,"Renstrøm Reidun","CK JU 071 aud"
