Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-08-18,12:15,2015-08-18,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-08-25,12:15,2015-08-25,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-09-01,12:15,2015-09-01,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-09-08,12:15,2015-09-08,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-09-15,12:15,2015-09-15,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-09-22,12:15,2015-09-22,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-09-29,12:15,2015-09-29,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-10-06,12:15,2015-10-06,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-10-13,12:15,2015-10-13,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-10-20,12:15,2015-10-20,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-10-27,12:15,2015-10-27,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-11-03,12:15,2015-11-03,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-11-10,12:15,2015-11-10,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-11-17,12:15,2015-11-17,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-11-24,12:15,2015-11-24,16:00,"","CK GU XXX verksted"
"KH-134/KH-125/KH-133/KH-132 tir verks.",2015-12-01,12:15,2015-12-01,16:00,"","CK GU XXX verksted"
