Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-MA-149 Statistikk",2015-08-13,13:15,2015-08-13,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-08-14,09:15,2015-08-14,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-08-14,10:15,2015-08-14,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-08-14,12:15,2015-08-14,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 for",2015-08-17,12:15,2015-08-17,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-08-18,08:15,2015-08-18,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk",2015-08-20,09:15,2015-08-20,12:00,"","CK 46 215 sem"
"-MA-149 Statistikk",2015-08-20,13:15,2015-08-20,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-08-21,09:15,2015-08-21,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-08-21,10:15,2015-08-21,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-08-21,12:15,2015-08-21,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 gr",2015-08-24,09:15,2015-08-24,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
"-MA-148 for",2015-08-24,12:15,2015-08-24,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-08-25,08:15,2015-08-25,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk",2015-08-27,09:15,2015-08-27,12:00,"","CK 46 215 sem"
"-MA-149 Statistikk",2015-08-27,13:15,2015-08-27,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-08-28,09:15,2015-08-28,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-08-28,10:15,2015-08-28,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-08-28,12:15,2015-08-28,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 gr",2015-09-21,09:15,2015-09-21,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
"-MA-148 for",2015-09-21,12:15,2015-09-21,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-09-22,08:15,2015-09-22,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk uke 39 NB! ROM",2015-09-24,09:15,2015-09-24,12:00,"","CK B2 014 sem"
"-MA-149 Statistikk",2015-09-24,13:15,2015-09-24,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-09-25,09:15,2015-09-25,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-09-25,10:15,2015-09-25,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-09-25,12:15,2015-09-25,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-149 Statistikk",2015-10-01,13:15,2015-10-01,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-10-02,09:15,2015-10-02,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-10-02,10:15,2015-10-02,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-10-02,12:15,2015-10-02,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 gr",2015-10-05,09:15,2015-10-05,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
"-MA-148 for",2015-10-05,12:15,2015-10-05,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-10-06,08:15,2015-10-06,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk",2015-10-08,09:15,2015-10-08,12:00,"","CK 46 215 sem"
"-MA-149 Statistikk",2015-10-08,13:15,2015-10-08,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-10-09,09:15,2015-10-09,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-10-09,10:15,2015-10-09,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-10-09,12:15,2015-10-09,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 gr",2015-10-12,09:15,2015-10-12,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
"-MA-148 for",2015-10-12,12:15,2015-10-12,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-10-13,08:15,2015-10-13,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk",2015-10-15,09:15,2015-10-15,12:00,"","CK 46 215 sem"
"-MA-149 Statistikk",2015-10-15,13:15,2015-10-15,16:00,"","CK 46 216 sem"
"-MA-148 gr",2015-10-19,09:15,2015-10-19,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
"-MA-148 for",2015-10-19,12:15,2015-10-19,14:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-148 for",2015-10-20,08:15,2015-10-20,12:00,"Knutson Peder Kristian","CK B3 001 aud"
"-MA-149 Didaktikk",2015-10-22,09:15,2015-10-22,12:00,"","CK 46 215 sem"
"-MA-149 Statistikk",2015-10-22,13:15,2015-10-22,16:00,"","CK 46 216 sem"
"-MA-149 Didaktikk",2015-10-23,09:15,2015-10-23,10:00,"","CK 46 216 sem"
"-MA-149 Statistikk",2015-10-23,10:15,2015-10-23,12:00,"","CK 46 216 sem"
"-MA-149 Statistikk gr",2015-10-23,12:15,2015-10-23,14:00,"","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120"
"-MA-148 gr",2015-10-26,09:15,2015-10-26,12:00,"Knutson Peder Kristian","CK F2 012, CK F2 016, CK F2 017, CK F2 018, CK F2 019, CK F2 021, CK F2 022, CK F2 026, CK F2 023, CK F2 024, CK F1 013"
