Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-139 for",2015-08-13,09:15,2015-08-13,14:00,"Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-14,09:15,2015-08-14,12:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-17,12:15,2015-08-17,16:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-18,08:15,2015-08-18,13:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-20,09:15,2015-08-20,14:00,"Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-21,09:15,2015-08-21,12:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-24,12:15,2015-08-24,16:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-25,08:15,2015-08-25,13:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-27,09:15,2015-08-27,14:00,"Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-08-28,09:15,2015-08-28,12:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-21,12:15,2015-09-21,16:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-22,08:15,2015-09-22,13:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-24,09:15,2015-09-24,14:00,"Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-25,09:15,2015-09-25,12:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-28,12:15,2015-09-28,16:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-09-29,08:15,2015-09-29,13:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-10-01,09:15,2015-10-01,14:00,"Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-10-02,09:15,2015-10-02,12:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-10-05,12:15,2015-10-05,16:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
"-NO-139 for",2015-10-06,08:15,2015-10-06,13:00,"Haslum Vidar, Johannessen Oddbjørn, Nilsen Kaj B., Rambø Gro-Renee","CK 48 108 sem"
