Subject,Start Date,Start Time,End Date,End Time,Description,Location
"ORG211-G/Forel/01",2015-08-17,09:15,2015-08-17,12:00,"Olsen, Torunn S.","CG F 204 sem"
"ORG213-G/Forel/øv/01",2015-08-17,12:15,2015-08-17,14:00,"Svendal, Atle","CG F 204 sem"
"ORG211-G/Øving/01",2015-08-17,14:15,2015-08-17,16:00,"Olsen, Torunn S.","CG A2 058, CG A2 057, CG A2 050, CG A2 051, CG A2 052, CG A2 053, CG A2 140, CG A2 141"
"JU-207-G/Forel/01",2015-08-18,09:15,2015-08-18,12:00,"Lunøe-Nielsen, Kari","CG F 204 sem"
"JU-207-G/Gr/01",2015-08-18,13:15,2015-08-18,15:00,"Lunøe-Nielsen, Kari","CG A2 058, CG A2 057, CG A2 050, CG A2 051, CG A2 052, CG A2 053, CG A2 042"
"ORG212-G/Forel/øv/01",2015-08-19,12:15,2015-08-19,15:00,"Amundsen, Ivar","CG F 204 sem"
"ORG211-G/Forel/01",2015-08-24,09:15,2015-08-24,12:00,"Olsen, Torunn S.","CG F 204 sem"
"ORG213-G/Forel/øv/01",2015-08-24,12:15,2015-08-24,14:00,"Svendal, Atle","CG F 204 sem"
"ORG211-G/Øving/01",2015-08-24,14:15,2015-08-24,16:00,"Olsen, Torunn S.","CG A2 058, CG A2 057, CG A2 050, CG A2 051, CG A2 052, CG A2 053, CG A2 140, CG A2 141"
"JU-207-G/Forel/01",2015-08-25,09:15,2015-08-25,12:00,"Lunøe-Nielsen, Kari","CG F 204 sem"
"JU-207-G/Gr/01",2015-08-25,13:15,2015-08-25,15:00,"Lunøe-Nielsen, Kari","CG A2 058, CG A2 057, CG A2 050, CG A2 051, CG A2 052, CG A2 053, CG A2 042"
"ORG212-G/Forel/øv/01",2015-08-26,12:15,2015-08-26,15:00,"Amundsen, Ivar","CG F 204 sem"
"ORG211-G/Forel/01",2015-08-31,09:15,2015-08-31,12:00,"Olsen, Torunn S.","CG F 204 sem"
"ORG213-G/Forel/øv/01",2015-08-31,12:15,2015-08-31,14:00,"Svendal, Atle","CG F 204 sem"
"ORG211-G/Øving/01",2015-08-31,14:15,2015-08-31,16:00,"Olsen, Torunn S.","CG A2 058, CG A2 057, CG A2 050, CG A2 051, CG A2 052, CG A2 053, CG A2 140, CG A2 141"
