Subject,Start Date,Start Time,End Date,End Time,Description,Location
"HSI412-G 31.08",2015-08-31,10:15,2015-08-31,11:00,"Dale Jan Gunnar","CG C3 072 aud"
"HSI412-G 31.08",2015-08-31,11:15,2015-08-31,13:00,"Fredwall, Terje","CG C3 072 aud"
"HSI413-G 31.08",2015-08-31,13:15,2015-08-31,18:00,"Dale Bjørg","CG C3 072 aud"
"HSI413-G 01.09",2015-09-01,09:15,2015-09-01,15:00,"Sævareid Hans Inge","CG C3 072 aud"
"HSI412-G 02.09 grom",2015-09-02,09:15,2015-09-02,12:00,"Dale Jan Gunnar","CG A2 058, CG A2 057, CG A2 052, CG A2 053, CG A2 071, CG A2 083"
"HSI413-G 02.09",2015-09-02,12:15,2015-09-02,16:00,"Fegran, Liv","CG C3 072 aud"
"HSI412-G 03.09 grom",2015-09-03,09:15,2015-09-03,12:00,"Dale Jan Gunnar","CG A2 058, CG A2 057, CG A2 052, CG A2 053, CG A2 071, CG A2 083"
"HSI413-G 03.09",2015-09-03,12:15,2015-09-03,16:00,"Sævareid Hans Inge","CG C3 072 aud"
"HSI413-G 04.09",2015-09-04,09:15,2015-09-04,12:00,"Sævareid Hans Inge","CG A3 025 sem (VER)"
"HSI412-G 02.11",2015-11-02,11:15,2015-11-02,15:00,"","CG C3 072 aud"
"HSI412-G 02.11",2015-11-02,15:15,2015-11-02,17:00,"Fredwall, Terje","CG C3 072 aud"
"HSI413-G 04.11",2015-11-04,09:15,2015-11-04,17:00,"Sævareid Hans Inge","CG A3 027 sem (VER)"
"HSI413-G 05.11",2015-11-05,09:15,2015-11-05,13:00,"Fegran, Liv","CG A2 123 sem"
"HSI413-G 05.11",2015-11-05,13:15,2015-11-05,15:00,"Fegran, Liv","CG A3 025 sem (VER)"
"HSI412-G 05.11 grom",2015-11-05,15:15,2015-11-05,17:00,"Dale Jan Gunnar","CG A2 058, CG A2 057, CG A2 052, CG A2 053, CG A2 071"
"HSI413-G 06.11",2015-11-06,09:15,2015-11-06,14:00,"Dale Bjørg, Sævareid Hans Inge","CG A3 027 sem (VER)"
"HSI412-G 06.11",2015-11-06,14:15,2015-11-06,15:00,"Dale Jan Gunnar","CG A3 027 sem (VER)"
