Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HI-124 for",2015-08-12,12:15,2015-08-12,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-08-12,12:15,2015-08-12,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-100 foreles",2015-08-17,08:15,2015-08-17,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-08-18,09:15,2015-08-18,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-08-18,13:15,2015-08-18,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-08-19,12:15,2015-08-19,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-08-19,12:15,2015-08-19,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-100 foreles",2015-08-24,08:15,2015-08-24,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-08-25,09:15,2015-08-25,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-08-25,13:15,2015-08-25,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-08-26,12:15,2015-08-26,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-08-26,12:15,2015-08-26,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-100 foreles ekstra uke 35",2015-08-28,12:15,2015-08-28,15:00,"Aase Andreas","CK B1 018 aud"
"-HI-100 foreles",2015-08-31,08:15,2015-08-31,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-09-01,09:15,2015-09-01,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-09-01,13:15,2015-09-01,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-09-02,12:15,2015-09-02,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-09-02,12:15,2015-09-02,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-100 foreles",2015-09-14,08:15,2015-09-14,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-09-15,09:15,2015-09-15,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-09-15,13:15,2015-09-15,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-09-16,12:15,2015-09-16,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-09-16,12:15,2015-09-16,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-124 for",2015-09-16,14:15,2015-09-16,15:00,"Sødal Terje","CK B1 006 aud"
"-HI-100 foreles",2015-09-21,08:15,2015-09-21,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-09-22,09:15,2015-09-22,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-09-22,13:15,2015-09-22,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-09-23,12:15,2015-09-23,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-09-23,12:15,2015-09-23,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-100 foreles",2015-09-28,08:15,2015-09-28,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-09-29,09:15,2015-09-29,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-09-29,13:15,2015-09-29,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-09-30,12:15,2015-09-30,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-09-30,12:15,2015-09-30,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-124 for",2015-09-30,14:15,2015-09-30,15:00,"Sødal Terje","CK B1 006 aud"
"-HI-100 foreles",2015-10-05,08:15,2015-10-05,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-10-06,09:15,2015-10-06,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-10-06,13:15,2015-10-06,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-10-07,12:15,2015-10-07,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-130 for",2015-10-07,12:15,2015-10-07,15:00,"Feddersen Carl Fredrik","CK B2 004 aud"
"-HI-124 for",2015-10-07,14:15,2015-10-07,15:00,"Sødal Terje","CK B1 006 aud"
"-HI-100 foreles",2015-10-12,08:15,2015-10-12,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for",2015-10-13,09:15,2015-10-13,11:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-110 for",2015-10-13,13:15,2015-10-13,15:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-10-14,12:15,2015-10-14,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-100 foreles",2015-11-02,08:15,2015-11-02,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for fra uke 45",2015-11-03,13:15,2015-11-03,15:00,"Feddersen Carl Fredrik","CK 46 118 aula/aud"
"-HI-124 for",2015-11-04,12:15,2015-11-04,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-110 for uke 45.47",2015-11-05,14:15,2015-11-05,16:00,"Feddersen Carl Fredrik","CK 46 118 aula/aud"
"-HI-100 foreles",2015-11-09,08:15,2015-11-09,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for fra uke 45",2015-11-10,13:15,2015-11-10,15:00,"Feddersen Carl Fredrik","CK 46 118 aula/aud"
"-HI-124 for",2015-11-11,12:15,2015-11-11,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-110 for uke 46 NB! ROM",2015-11-12,14:15,2015-11-12,16:00,"Feddersen Carl Fredrik","CK B1 007 aud"
"-HI-100 foreles",2015-11-16,08:15,2015-11-16,12:00,"Aase Andreas","CK 46 118 aula/aud"
"-HI-110 for fra uke 45",2015-11-17,13:15,2015-11-17,15:00,"Feddersen Carl Fredrik","CK 46 118 aula/aud"
"-HI-124 for",2015-11-18,12:15,2015-11-18,14:00,"Sødal Terje","CK B1 006 aud"
"-HI-110 for uke 45.47",2015-11-19,14:15,2015-11-19,16:00,"Feddersen Carl Fredrik","CK 46 118 aula/aud"
"-HI-110 for uke 48 NB!Tid",2015-11-24,14:15,2015-11-24,16:00,"Dørum Knut, Sætra Gustav Grunde","CK 46 118 aula/aud"
"-HI-124 for",2015-11-25,12:15,2015-11-25,14:00,"Sødal Terje","CK B1 006 aud"
