Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DAT101-G/Forel/01",2015-08-18,10:15,2015-08-18,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"DAT103-G/Forel/01",2015-08-19,12:15,2015-08-19,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"DAT103-G/Lab/02",2015-08-20,12:15,2015-08-20,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/04",2015-08-21,08:15,2015-08-21,10:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT101-G/Forel/01",2015-08-25,10:15,2015-08-25,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"DAT103-G/Forel/01",2015-08-26,12:15,2015-08-26,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"DAT103-G/Lab/02",2015-08-27,12:15,2015-08-27,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/04",2015-08-28,08:15,2015-08-28,10:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT101-G/Forel/01",2015-09-01,10:15,2015-09-01,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"DAT103-G/Forel/01",2015-09-02,12:15,2015-09-02,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"DAT103-G/Lab/02",2015-09-03,12:15,2015-09-03,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/04",2015-09-04,08:15,2015-09-04,10:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT101-G/Forel/01",2015-09-08,10:15,2015-09-08,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"DAT103-G/Forel/01",2015-09-09,12:15,2015-09-09,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"DAT103-G/Lab/02",2015-09-10,12:15,2015-09-10,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/04",2015-09-11,08:15,2015-09-11,10:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT101-G/Forel/01",2015-09-15,10:15,2015-09-15,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"DAT103-G/Forel/01",2015-09-16,12:15,2015-09-16,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"DAT103-G/Lab/02",2015-09-17,12:15,2015-09-17,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/04",2015-09-18,08:15,2015-09-18,10:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT101-G/Forel/01",2015-09-22,10:15,2015-09-22,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
