Subject,Start Date,Start Time,End Date,End Time,Description,Location
".IS-200/IS-201/IS-202  Oppstartsseminar 13.08 ",2015-08-13,12:15,2015-08-13,16:00,"Larsen Even Å.","CK D3 018 sem"
".IS-200/IS-201/IS-202  Oppstartsseminar 13.08 ",2015-08-13,12:15,2015-08-13,16:00,"Larsen Even Å.","CK D3 018 sem"
".IS-200/IS-201/IS-202  Oppstartsseminar 13.08 ",2015-08-13,12:15,2015-08-13,16:00,"Larsen Even Å.","CK D3 018 sem"
".IS-200 sem",2015-08-18,09:15,2015-08-18,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-08-18,13:15,2015-08-18,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-08-18,15:15,2015-08-18,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-08-20,12:15,2015-08-20,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-08-25,09:15,2015-08-25,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-08-25,13:15,2015-08-25,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-08-25,15:15,2015-08-25,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-08-27,12:15,2015-08-27,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-09-01,09:15,2015-09-01,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-09-01,13:15,2015-09-01,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-09-01,15:15,2015-09-01,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-09-03,12:15,2015-09-03,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-09-08,09:15,2015-09-08,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-09-08,13:15,2015-09-08,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-09-08,15:15,2015-09-08,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-09-10,12:15,2015-09-10,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-09-15,09:15,2015-09-15,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-09-15,13:15,2015-09-15,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-09-15,15:15,2015-09-15,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-09-17,12:15,2015-09-17,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-09-22,09:15,2015-09-22,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-09-22,13:15,2015-09-22,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-09-22,15:15,2015-09-22,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-09-24,12:15,2015-09-24,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-09-29,09:15,2015-09-29,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-09-29,13:15,2015-09-29,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-09-29,15:15,2015-09-29,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-10-01,12:15,2015-10-01,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-10-06,09:15,2015-10-06,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-10-06,13:15,2015-10-06,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-10-06,15:15,2015-10-06,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-10-08,12:15,2015-10-08,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-10-13,09:15,2015-10-13,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-10-13,13:15,2015-10-13,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-10-13,15:15,2015-10-13,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-10-15,12:15,2015-10-15,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-10-20,09:15,2015-10-20,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-10-20,13:15,2015-10-20,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-10-20,15:15,2015-10-20,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-10-22,12:15,2015-10-22,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-10-27,09:15,2015-10-27,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 014)",2015-10-27,13:15,2015-10-27,15:00,"Garmann-Johnsen Niels Frederik","CK B2 014 sem"
".IS-201 lab",2015-10-27,15:15,2015-10-27,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-10-29,12:15,2015-10-29,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-11-03,09:15,2015-11-03,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-11-03,13:15,2015-11-03,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-11-03,15:15,2015-11-03,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-11-05,12:15,2015-11-05,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-200 sem",2015-11-10,09:15,2015-11-10,13:00,"Omland Hans Olav","CK HK 007 sem"
".IS-201 for (B2 004)",2015-11-10,13:15,2015-11-10,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-11-10,15:15,2015-11-10,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-11-12,12:15,2015-11-12,16:00,"Larsen Even Å.","CK HK 007 sem"
".IS-201 for (B2 004)",2015-11-17,13:15,2015-11-17,15:00,"Garmann-Johnsen Niels Frederik","CK B2 004 aud"
".IS-201 lab",2015-11-17,15:15,2015-11-17,17:00,"Garmann-Johnsen Niels Frederik","CK D3 014 lab"
".IS-202 for",2015-11-19,12:15,2015-11-19,16:00,"Larsen Even Å.","CK HK 007 sem"
