Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-ME-418 for (CK) man",2015-08-24,12:15,2015-08-24,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 35",2015-08-25,10:15,2015-08-25,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-08-26,10:15,2015-08-26,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-08-27,11:15,2015-08-27,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) man",2015-09-21,12:15,2015-09-21,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 39.43",2015-09-22,08:15,2015-09-22,12:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-09-23,10:15,2015-09-23,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-09-24,11:15,2015-09-24,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) man",2015-10-19,12:15,2015-10-19,16:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK) tir uke 39.43",2015-10-20,08:15,2015-10-20,12:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) ons uke 35.39.43",2015-10-21,10:15,2015-10-21,14:00,"Johansen Bjørn Tore","CK B2 006 aud"
"-ME-418 for (CK) tor",2015-10-22,11:15,2015-10-22,15:00,"Johansen Bjørn Tore","CK IU 069 aud"
"-ME-418 for (CK)",2015-10-23,10:15,2015-10-23,14:00,"Johansen Bjørn Tore","CK IU 069 aud"
