Subject,Start Date,Start Time,End Date,End Time,Description,Location
"IND417-G/Forel/01",2015-08-13,09:15,2015-08-13,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-13,12:15,2015-08-13,14:00,"Egge, Steinar","CG A2 025 sem"
"IND415-G/Forelesning/øving/01",2015-08-17,09:15,2015-08-17,15:00,"Bergdal, Inge","CG A3 041 sem"
"IND418-G/Øv/01",2015-08-18,12:15,2015-08-18,16:00,"Kalsaas, Bo Terje",""
"IND417-G/Forel/01",2015-08-20,09:15,2015-08-20,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-20,12:15,2015-08-20,14:00,"Egge, Steinar","CG A2 025 sem"
"IND416-G/Forel/øv/fre uke 34",2015-08-21,09:15,2015-08-21,12:00,"Esnault Michel","CG A2 025 sem"
"IND416-G/Forel/øv/uke 35",2015-08-24,09:15,2015-08-24,15:00,"Esnault Michel","CG A3 041 sem"
"IND418-G/Øv/01",2015-08-25,12:15,2015-08-25,16:00,"Kalsaas, Bo Terje",""
"IND417-G/Forel/01",2015-08-27,09:15,2015-08-27,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-27,12:15,2015-08-27,14:00,"Egge, Steinar","CG A2 025 sem"
"IND416-G/Forel/øv/fre uke 35",2015-08-28,09:15,2015-08-28,12:00,"Esnault Michel","CG A2 025 sem"
"IND415-G/Forelesning/øving/01",2015-08-31,09:15,2015-08-31,15:00,"Bergdal, Inge","CG A3 041 sem"
"IND418-G/Øv/01",2015-09-01,12:15,2015-09-01,16:00,"Kalsaas, Bo Terje",""
"IND416-G/Forel/øv/ons uke 36. 38",2015-09-02,09:15,2015-09-02,12:00,"Ose, Arne","CG A3 041 sem"
"IND417-G/Forel/01",2015-09-03,09:15,2015-09-03,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-03,12:15,2015-09-03,14:00,"Egge, Steinar","CG A2 025 sem"
"IND416-G/Forel/øv/man uke 37",2015-09-07,09:15,2015-09-07,15:00,"Bonnier, Knut","CG A3 041 sem"
"IND418-G/Øv/01",2015-09-08,12:15,2015-09-08,16:00,"Kalsaas, Bo Terje",""
"IND416-G/Forel/øv/ons uke 37",2015-09-09,09:15,2015-09-09,12:00,"Bonnier, Knut","CG A3 041 sem"
"IND417-G/Forel/01",2015-09-10,09:15,2015-09-10,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-10,12:15,2015-09-10,14:00,"Egge, Steinar","CG A2 025 sem"
"IND415-G/Forelesning/øving/01",2015-09-14,09:15,2015-09-14,15:00,"Bergdal, Inge","CG A3 041 sem"
"IND418-G/Øv/01",2015-09-15,12:15,2015-09-15,16:00,"Kalsaas, Bo Terje",""
"IND416-G/Forel/øv/ons uke 36. 38",2015-09-16,09:15,2015-09-16,12:00,"Ose, Arne","CG A3 041 sem"
"IND417-G/Forel/01",2015-09-17,09:15,2015-09-17,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-17,12:15,2015-09-17,14:00,"Egge, Steinar","CG A2 025 sem"
"IND416-G/Forel/øv/man uke 39",2015-09-21,09:15,2015-09-21,15:00,"Ose, Arne","CG A3 041 sem"
"IND418-G/Øv/01",2015-09-22,12:15,2015-09-22,16:00,"Kalsaas, Bo Terje",""
"IND416-G/Forel/øv/ons uke 39. 43",2015-09-23,09:15,2015-09-23,12:00,"NN, IND416","CG A3 041 sem"
"IND417-G/Forel/01",2015-09-24,09:15,2015-09-24,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-24,12:15,2015-09-24,14:00,"Egge, Steinar","CG A2 025 sem"
"IND415-G/Forelesning/øving/01",2015-09-28,09:15,2015-09-28,15:00,"Bergdal, Inge","CG A3 041 sem"
"IND417-G/Forel/01",2015-10-01,09:15,2015-10-01,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-01,12:15,2015-10-01,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-02,10:15,2015-10-02,12:00,"Egge, Steinar","CG F 203 sem"
"IND417-G/Forel/01",2015-10-08,09:15,2015-10-08,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-08,12:15,2015-10-08,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-09,10:15,2015-10-09,12:00,"Egge, Steinar","CG F 203 sem"
"IND417-G/Forel/01",2015-10-15,09:15,2015-10-15,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-15,12:15,2015-10-15,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-16,10:15,2015-10-16,12:00,"Egge, Steinar","CG F 203 sem"
"IND418-G/Øv/01",2015-10-20,12:15,2015-10-20,16:00,"Kalsaas, Bo Terje",""
"IND416-G/Forel/øv/ons uke 39. 43",2015-10-21,09:15,2015-10-21,12:00,"NN, IND416","CG A3 041 sem"
"IND417-G/Forel/01",2015-10-22,09:15,2015-10-22,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-22,12:15,2015-10-22,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-23,10:15,2015-10-23,12:00,"Egge, Steinar","CG F 203 sem"
"IND417-G/Forel/01",2015-10-29,09:15,2015-10-29,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-29,12:15,2015-10-29,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-30,10:15,2015-10-30,12:00,"Egge, Steinar","CG F 203 sem"
"IND415-G/Forelesning/øving/01",2015-11-02,09:15,2015-11-02,15:00,"Bergdal, Inge","CG A3 041 sem"
"IND417-G/Forel/01",2015-11-05,09:15,2015-11-05,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-11-05,12:15,2015-11-05,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-11-06,10:15,2015-11-06,12:00,"Egge, Steinar","CG F 203 sem"
"IND417-G/Forel/01",2015-11-12,09:15,2015-11-12,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-11-12,12:15,2015-11-12,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-11-13,10:15,2015-11-13,12:00,"Egge, Steinar","CG F 203 sem"
"IND417-G/Forel/01",2015-11-19,09:15,2015-11-19,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-11-19,12:15,2015-11-19,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-11-20,10:15,2015-11-20,12:00,"Egge, Steinar","CG F 203 sem"
