Subject,Start Date,Start Time,End Date,End Time,Description,Location
"IKT436-G/Forelesning/01",2015-08-17,08:15,2015-08-17,11:00,"Jiao, Lei","CG C3 094"
"IKT437-G/Forel/01",2015-08-17,08:15,2015-08-17,11:00,"Nytun, Jan Pettersen","CG D3 052 sem"
"IKT437-G/Øving/01",2015-08-17,11:15,2015-08-17,13:00,"Nytun, Jan Pettersen","CG D3 052 sem"
"IKT436-G/Øving/01",2015-08-17,11:15,2015-08-17,14:00,"Jiao, Lei","CG C3 094"
"ORG453-G/Forelesning/01",2015-08-18,10:15,2015-08-18,14:00,"Bergdal, Inge","CG x Seminarrom D2 04-05 Ericsson-bygget"
"IKT440-G/IKT507Forel",2015-08-19,08:15,2015-08-19,11:00,"Granmo, Ole-Christoffer","CG F 204 sem"
"IKT440-G/IKT507øv",2015-08-19,11:15,2015-08-19,15:00,"Granmo, Ole-Christoffer","CG D3 052 sem"
"IKT440-G/Forelesning/øving/01",2015-08-20,08:15,2015-08-20,11:00,"Cenkeramaddi, Linga Reddy, Goodwin, Morten, Jevne, Geir","CG C3 094"
"MA-429-G/Forelesning/01",2015-08-20,12:15,2015-08-20,15:00,"Oleshchuk, Vladimir A.","CG C4 093 sem"
"MA-429-G/Øving/01",2015-08-20,15:15,2015-08-20,16:00,"Oleshchuk, Vladimir A.","CG C4 093 sem"
"IKT431-G/Forelesning/01",2015-08-21,08:15,2015-08-21,11:00,"Isabwe, Ghislain Maurice Norbert","CG D3 052 sem"
"IKT431-G/Øving/01",2015-08-21,12:15,2015-08-21,15:00,"Isabwe, Ghislain Maurice Norbert","CG D3 052 sem"
"IKT436-G/Forelesning/01",2015-08-24,08:15,2015-08-24,11:00,"Jiao, Lei","CG C3 094"
"IKT437-G/Forel/01",2015-08-24,08:15,2015-08-24,11:00,"Nytun, Jan Pettersen","CG D3 052 sem"
"IKT437-G/Øving/01",2015-08-24,11:15,2015-08-24,13:00,"Nytun, Jan Pettersen","CG D3 052 sem"
"IKT436-G/Øving/01",2015-08-24,11:15,2015-08-24,14:00,"Jiao, Lei","CG C3 094"
"ORG453-G/Forelesning/01",2015-08-25,10:15,2015-08-25,14:00,"Bergdal, Inge","CG x Seminarrom D2 04-05 Ericsson-bygget"
"IKT440-G/IKT507Forel",2015-08-26,08:15,2015-08-26,11:00,"Granmo, Ole-Christoffer","CG F 204 sem"
"IKT440-G/IKT507øv",2015-08-26,11:15,2015-08-26,15:00,"Granmo, Ole-Christoffer","CG D3 052 sem"
"IKT440-G/Forelesning/øving/01",2015-08-27,08:15,2015-08-27,11:00,"Cenkeramaddi, Linga Reddy, Goodwin, Morten, Jevne, Geir","CG C3 094"
"MA-429-G/Forelesning/01",2015-08-27,12:15,2015-08-27,15:00,"Oleshchuk, Vladimir A.","CG C4 093 sem"
"MA-429-G/Øving/01",2015-08-27,15:15,2015-08-27,16:00,"Oleshchuk, Vladimir A.","CG C4 093 sem"
