Subject,Start Date,Start Time,End Date,End Time,Description,Location
".IS-420 sem",2015-08-14,09:15,2015-08-14,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-500-1 for",2015-08-20,09:15,2015-08-20,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-08-21,09:15,2015-08-21,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-08-25,09:15,2015-08-25,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-08-27,09:15,2015-08-27,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-08-28,09:15,2015-08-28,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-09-01,09:15,2015-09-01,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-09-03,09:15,2015-09-03,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-09-04,09:15,2015-09-04,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-09-08,09:15,2015-09-08,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-09-10,09:15,2015-09-10,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-09-11,09:15,2015-09-11,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-09-15,09:15,2015-09-15,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-09-17,09:15,2015-09-17,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-09-18,09:15,2015-09-18,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-09-22,09:15,2015-09-22,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-09-24,09:15,2015-09-24,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-09-25,09:15,2015-09-25,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-09-29,09:15,2015-09-29,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-10-01,09:15,2015-10-01,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-10-02,09:15,2015-10-02,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-10-06,09:15,2015-10-06,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-10-08,09:15,2015-10-08,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-10-09,09:15,2015-10-09,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-500-1 for",2015-10-15,09:15,2015-10-15,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-404 for/gr/sem",2015-10-20,09:15,2015-10-20,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-10-22,09:15,2015-10-22,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-10-23,09:15,2015-10-23,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-10-27,09:15,2015-10-27,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-10-29,09:15,2015-10-29,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-10-30,09:15,2015-10-30,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-500-1 for",2015-11-05,09:15,2015-11-05,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-11-06,09:15,2015-11-06,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-404 for/gr/sem",2015-11-10,09:15,2015-11-10,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK 51 134 sem"
".IS-500-1 for",2015-11-12,09:15,2015-11-12,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-420 sem",2015-11-13,09:15,2015-11-13,16:00,"Hustad Eli, Sæbø Øystein","CK 51 134 sem"
".IS-500-1 for",2015-11-19,09:15,2015-11-19,16:00,"Moe Carl Erik, Sein Maung Kyaw","CK 48 117 sem"
".IS-404 present.",2015-11-26,09:15,2015-11-26,12:00,"Eikebrokk Tom Roar, Munkvold Bjørn Erik, Sein Maung Kyaw","CK IU 069 aud"
