Subject,Start Date,Start Time,End Date,End Time,Description,Location
"BYG212-G/Forel/01Streaming",2015-08-12,08:15,2015-08-12,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 041 aud, CG A2 027 sem"
"BYG212-G/Øv/01",2015-08-12,10:15,2015-08-12,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 023 sem, CG A2 021 sem"
"BYG212-G/Forel/02",2015-08-14,08:15,2015-08-14,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 042 aud"
"BYG212-G/Øv/02",2015-08-14,10:15,2015-08-14,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"BYG211-G/Forel/01 Landmåling",2015-08-17,12:15,2015-08-17,14:00,"Tadesse, Ephrem","CG C2 042 aud"
"BYG211-G/Øv/01 Landmåling",2015-08-17,14:15,2015-08-17,16:00,"Tadesse, Ephrem","CG A2 084 aud, CG A2 027 sem"
"BYG212-G/Forel/01Streaming",2015-08-19,08:15,2015-08-19,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 041 aud, CG A2 027 sem"
"BYG212-G/Øv/01",2015-08-19,10:15,2015-08-19,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 023 sem, CG A2 021 sem"
"BYG210-G/Forel/01",2015-08-19,12:15,2015-08-19,14:00,"Nilsen, Tom V.","CG x Auditorium FoU-bygget *"
"BYG210-G/Øv/01",2015-08-19,14:15,2015-08-19,16:00,"Nilsen, Tom V.","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem"
"BYG210-G/Forel/02",2015-08-20,12:15,2015-08-20,14:00,"Nilsen, Tom V.","CG x Auditorium FoU-bygget *"
"BYG210-G/Øv/02",2015-08-20,14:15,2015-08-20,16:00,"Nilsen, Tom V.","CG A2 084 aud, CG A2 047 sem, CG A2 046 sem"
"BYG212-G/Forel/02",2015-08-21,08:15,2015-08-21,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 042 aud"
"BYG212-G/Øv/02",2015-08-21,10:15,2015-08-21,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"BYG211-G/Forel/Lab/01 SAP (Bygg 2.år)",2015-08-24,08:15,2015-08-24,12:00,"Ding, Songxiong","CG A3 120 pclab BYG"
"BYG211-G/Forel/01 Landmåling",2015-08-24,12:15,2015-08-24,14:00,"Tadesse, Ephrem","CG C2 042 aud"
"BYG211-G/Øv/01 Landmåling",2015-08-24,14:15,2015-08-24,16:00,"Tadesse, Ephrem","CG A2 084 aud, CG A2 027 sem"
"BYG211-G/Forel/Lab/02 SAP (Bygg 2.år) ",2015-08-25,08:15,2015-08-25,12:00,"Ding, Songxiong","CG A3 120 pclab BYG"
"BYG212-G/Forel/01Streaming",2015-08-26,08:15,2015-08-26,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 041 aud, CG A2 027 sem"
"BYG212-G/Øv/01",2015-08-26,10:15,2015-08-26,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 023 sem, CG A2 021 sem"
"BYG210-G/Forel/01",2015-08-26,12:15,2015-08-26,14:00,"Nilsen, Tom V.","CG x Auditorium FoU-bygget *"
"BYG210-G/Øv/01",2015-08-26,14:15,2015-08-26,16:00,"Nilsen, Tom V.","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem"
"BYG210-G/Forel/02",2015-08-27,12:15,2015-08-27,14:00,"Nilsen, Tom V.","CG x Auditorium FoU-bygget *"
"BYG210-G/Øv/02",2015-08-27,14:15,2015-08-27,16:00,"Nilsen, Tom V.","CG A2 084 aud, CG A2 047 sem, CG A2 046 sem"
"BYG212-G/Forel/02",2015-08-28,08:15,2015-08-28,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 042 aud"
"BYG212-G/Øv/02",2015-08-28,10:15,2015-08-28,12:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"BYG211-G/Forel/Lab/01 SAP (Bygg 2.år)",2015-08-31,08:15,2015-08-31,12:00,"Ding, Songxiong","CG A3 120 pclab BYG"
"BYG211-G/Forel/01 Landmåling",2015-08-31,12:15,2015-08-31,14:00,"Tadesse, Ephrem","CG C2 042 aud"
"BYG211-G/Øv/01 Landmåling",2015-08-31,14:15,2015-08-31,16:00,"Tadesse, Ephrem","CG A2 084 aud, CG A2 027 sem"
"BYG211-G/Forel/Lab/02 SAP (Bygg 2.år) ",2015-09-01,08:15,2015-09-01,12:00,"Ding, Songxiong","CG A3 120 pclab BYG"
"BYG212-G/Forel/01Streaming",2015-09-02,08:15,2015-09-02,10:00,"Arentzen, Paul, Nielsen, Henrik Kofoed","CG C2 041 aud, CG A2 027 sem"
