Subject,Start Date,Start Time,End Date,End Time,Description,Location
"B CG/2015/08/12 Studiestart ingeniører ",2015-08-12,09:15,2015-08-12,16:00,"","CG C2 036 aud"
"B CG/2015/08/13 Studiestart ingeniører ",2015-08-13,09:15,2015-08-13,16:00,"","CG C2 036 aud"
"B CG/2015/08/14 Studiestart ingeniører ",2015-08-14,09:15,2015-08-14,16:00,"","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-17,08:15,2015-08-17,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-08-17,10:15,2015-08-17,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-08-17,15:15,2015-08-17,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-08-18,10:15,2015-08-18,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-08-18,14:15,2015-08-18,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-08-18,16:15,2015-08-18,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-08-19,08:15,2015-08-19,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-08-19,10:15,2015-08-19,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-08-19,12:15,2015-08-19,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-19,16:15,2015-08-19,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-08-20,08:15,2015-08-20,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-08-20,10:15,2015-08-20,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-08-20,12:15,2015-08-20,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-08-21,10:15,2015-08-21,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-08-21,12:15,2015-08-21,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-24,08:15,2015-08-24,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-08-24,10:15,2015-08-24,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-08-24,15:15,2015-08-24,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-08-25,10:15,2015-08-25,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-08-25,14:15,2015-08-25,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-08-25,16:15,2015-08-25,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-08-26,08:15,2015-08-26,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-08-26,10:15,2015-08-26,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-08-26,12:15,2015-08-26,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-26,16:15,2015-08-26,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-08-27,08:15,2015-08-27,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-08-27,10:15,2015-08-27,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-08-27,12:15,2015-08-27,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-08-28,10:15,2015-08-28,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-08-28,12:15,2015-08-28,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-31,08:15,2015-08-31,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-08-31,10:15,2015-08-31,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-08-31,15:15,2015-08-31,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-09-01,10:15,2015-09-01,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-01,14:15,2015-09-01,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-01,16:15,2015-09-01,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-02,08:15,2015-09-02,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-09-02,10:15,2015-09-02,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-09-02,12:15,2015-09-02,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-09-02,16:15,2015-09-02,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-03,08:15,2015-09-03,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-09-03,10:15,2015-09-03,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-09-03,12:15,2015-09-03,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-09-04,10:15,2015-09-04,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-09-04,12:15,2015-09-04,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-07,08:15,2015-09-07,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-09-07,10:15,2015-09-07,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-09-07,15:15,2015-09-07,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-09-08,10:15,2015-09-08,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-08,14:15,2015-09-08,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-08,16:15,2015-09-08,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-09,08:15,2015-09-09,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-09-09,10:15,2015-09-09,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-09-09,12:15,2015-09-09,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-10,08:15,2015-09-10,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-09-10,10:15,2015-09-10,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-09-10,12:15,2015-09-10,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-09-11,10:15,2015-09-11,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-09-11,12:15,2015-09-11,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-14,08:15,2015-09-14,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-09-14,10:15,2015-09-14,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-09-14,15:15,2015-09-14,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-09-15,10:15,2015-09-15,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-15,14:15,2015-09-15,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-15,16:15,2015-09-15,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-16,08:15,2015-09-16,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-09-16,10:15,2015-09-16,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-09-16,12:15,2015-09-16,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-17,08:15,2015-09-17,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-09-17,10:15,2015-09-17,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-09-17,12:15,2015-09-17,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-09-18,10:15,2015-09-18,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-09-18,12:15,2015-09-18,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-21,08:15,2015-09-21,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Data (TG)",2015-09-21,10:15,2015-09-21,12:00,"Gjestland, Thomas","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem"
"MA-007-G/Forel/01",2015-09-21,15:15,2015-09-21,17:00,"Søyland, Terje","CG C2 036 aud"
"DAT101-G/Forel/01",2015-09-22,10:15,2015-09-22,12:00,"Goodwin, Morten, Nytun, Jan Pettersen","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-22,14:15,2015-09-22,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-22,16:15,2015-09-22,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-23,08:15,2015-09-23,10:00,"Gjestland, Thomas","CG C2 042 aud"
"DAT101-G/Labøv/01",2015-09-23,10:15,2015-09-23,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT103-G/Forel/01",2015-09-23,12:15,2015-09-23,14:00,"Jevne, Geir, Simonsen, Øyvin","CG C2 040 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-24,08:15,2015-09-24,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Data/Elektronikk linjedelt",2015-09-24,10:15,2015-09-24,12:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
"DAT103-G/Lab/02",2015-09-24,12:15,2015-09-24,16:00,"Jevne, Geir, Simonsen, Øyvin","CG A2 055 pclab"
"DAT101-G/Labøv/03",2015-09-25,10:15,2015-09-25,12:00,"Goodwin, Morten","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"TFL115-G/Forel/02 Data/Elektronikk linjedelt",2015-09-25,12:15,2015-09-25,14:00,"Haugland, Folke, Larsen, Ragnhild T. Veimo","CG C2 042 aud"
