Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DAT215-G/Forel/01",2015-08-12,08:15,2015-08-12,10:00,"Simonsen, Christian","CG A2 021 sem"
"DAT220-G/Forel/øv/02",2015-08-13,08:15,2015-08-13,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT215-G/Labøv/01",2015-08-13,12:15,2015-08-13,16:00,"Simonsen, Christian","CG A2 021 sem"
"DAT233-G/Forel/øv/01",2015-08-14,12:15,2015-08-14,16:00,"Prinz, Andreas","CG C3 094"
"DAT220-G/Forel/øv/01",2015-08-17,12:15,2015-08-17,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MA-209-G/Forel/01",2015-08-18,08:15,2015-08-18,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Grimstad",2015-08-18,08:15,2015-08-18,10:00,"Folkman, Anders (tl)","CG A2 025 sem"
"DAT215-G/Forel/01",2015-08-19,08:15,2015-08-19,10:00,"Simonsen, Christian","CG A2 021 sem"
"MA-209-G/Forel/02",2015-08-19,12:15,2015-08-19,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/02 Grimstad",2015-08-19,12:15,2015-08-19,14:00,"Folkman, Anders (tl)","CG A3 041 sem"
"MA-209-G/Forel/Øv/01",2015-08-19,14:15,2015-08-19,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/03 Grimstad",2015-08-19,14:15,2015-08-19,16:00,"Folkman, Anders (tl)","CG A3 041 sem"
"DAT220-G/Forel/øv/02",2015-08-20,08:15,2015-08-20,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT215-G/Labøv/01",2015-08-20,12:15,2015-08-20,16:00,"Simonsen, Christian","CG A2 021 sem"
"DAT233-G/Forel/øv/01",2015-08-21,12:15,2015-08-21,16:00,"Prinz, Andreas","CG C3 094"
"DAT220-G/Forel/øv/01",2015-08-24,12:15,2015-08-24,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MA-209-G/Forel/01",2015-08-25,08:15,2015-08-25,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Grimstad",2015-08-25,08:15,2015-08-25,10:00,"Folkman, Anders (tl)","CG A2 025 sem"
"DAT215-G/Forel/01",2015-08-26,08:15,2015-08-26,10:00,"Simonsen, Christian","CG A2 021 sem"
"MA-209-G/Forel/02",2015-08-26,12:15,2015-08-26,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/02 Grimstad",2015-08-26,12:15,2015-08-26,14:00,"Folkman, Anders (tl)","CG A3 041 sem"
"MA-209-G/Forel/Øv/01",2015-08-26,14:15,2015-08-26,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/03 Grimstad",2015-08-26,14:15,2015-08-26,16:00,"Folkman, Anders (tl)","CG A3 041 sem"
"DAT220-G/Forel/øv/02",2015-08-27,08:15,2015-08-27,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT215-G/Labøv/01",2015-08-27,12:15,2015-08-27,16:00,"Simonsen, Christian","CG A2 021 sem"
"DAT233-G/Forel/øv/01",2015-08-28,12:15,2015-08-28,16:00,"Prinz, Andreas","CG C3 094"
"DAT220-G/Forel/øv/01",2015-08-31,12:15,2015-08-31,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MA-209-G/Forel/01",2015-09-01,08:15,2015-09-01,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Grimstad",2015-09-01,08:15,2015-09-01,10:00,"Folkman, Anders (tl)","CG A2 025 sem"
"DAT215-G/Forel/01",2015-09-02,08:15,2015-09-02,10:00,"Simonsen, Christian","CG A2 021 sem"
"MA-209-G/Forel/02",2015-09-02,12:15,2015-09-02,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/02 Grimstad",2015-09-02,12:15,2015-09-02,14:00,"Folkman, Anders (tl)","CG A3 041 sem"
"MA-209-G/Forel/Øv/01",2015-09-02,14:15,2015-09-02,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/03 Grimstad",2015-09-02,14:15,2015-09-02,16:00,"Folkman, Anders (tl)","CG A3 041 sem"
"DAT220-G/Forel/øv/02",2015-09-03,08:15,2015-09-03,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT215-G/Labøv/01",2015-09-03,12:15,2015-09-03,16:00,"Simonsen, Christian","CG A2 021 sem"
"DAT233-G/Forel/øv/01",2015-09-04,12:15,2015-09-04,16:00,"Prinz, Andreas","CG C3 094"
"DAT220-G/Forel/øv/01",2015-09-07,12:15,2015-09-07,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MA-209-G/Forel/01",2015-09-08,08:15,2015-09-08,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Grimstad",2015-09-08,08:15,2015-09-08,10:00,"Folkman, Anders (tl)","CG A2 025 sem"
"DAT215-G/Forel/01",2015-09-09,08:15,2015-09-09,10:00,"Simonsen, Christian","CG A2 021 sem"
