Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DAT220-G/Forel/øv/01",2015-08-10,12:15,2015-08-10,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-11,08:15,2015-08-11,15:00,"",""
"DAT220-G/Forel/øv/02",2015-08-13,08:15,2015-08-13,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ELE212-G/Forel/Labøv/01",2015-08-17,08:15,2015-08-17,10:00,"Køien, Geir, Lynghaug, Trond-Ivar","CG A2 055 pclab"
"DAT220-G/Forel/øv/01",2015-08-17,12:15,2015-08-17,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ELE212-G/Labøv/02",2015-08-17,16:15,2015-08-17,20:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/01",2015-08-18,08:15,2015-08-18,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-18,08:15,2015-08-18,15:00,"",""
"ELE215-G/Forel/01 MAH uke 34-36",2015-08-18,12:15,2015-08-18,14:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE215-G/Øv/01 MAH uke 34-36",2015-08-18,14:15,2015-08-18,16:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE212-G/Labøv/01",2015-08-19,08:15,2015-08-19,12:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/02",2015-08-19,12:15,2015-08-19,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-19,14:15,2015-08-19,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"DAT220-G/Forel/øv/02",2015-08-20,08:15,2015-08-20,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MAS107-G/Forel/02",2015-08-20,12:15,2015-08-20,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-08-20,14:15,2015-08-20,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-08-21,08:15,2015-08-21,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-08-21,10:15,2015-08-21,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ELE215-G/Forel/02 MAH uke 34-36",2015-08-21,12:15,2015-08-21,14:00,"Haglund, Magne Arild","CG C4 092 sem"
"ELE212-G/Forel/Labøv/01",2015-08-24,08:15,2015-08-24,10:00,"Køien, Geir, Lynghaug, Trond-Ivar","CG A2 055 pclab"
"DAT220-G/Forel/øv/01",2015-08-24,12:15,2015-08-24,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ELE212-G/Labøv/02",2015-08-24,16:15,2015-08-24,20:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/01",2015-08-25,08:15,2015-08-25,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-25,08:15,2015-08-25,15:00,"",""
"ELE215-G/Forel/01 MAH uke 34-36",2015-08-25,12:15,2015-08-25,14:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE215-G/Øv/01 MAH uke 34-36",2015-08-25,14:15,2015-08-25,16:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE212-G/Labøv/01",2015-08-26,08:15,2015-08-26,12:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/02",2015-08-26,12:15,2015-08-26,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-26,14:15,2015-08-26,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"DAT220-G/Forel/øv/02",2015-08-27,08:15,2015-08-27,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MAS107-G/Forel/02",2015-08-27,12:15,2015-08-27,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-08-27,14:15,2015-08-27,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-08-28,08:15,2015-08-28,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-08-28,10:15,2015-08-28,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ELE215-G/Forel/02 MAH uke 34-36",2015-08-28,12:15,2015-08-28,14:00,"Haglund, Magne Arild","CG C4 092 sem"
"ELE212-G/Forel/Labøv/01",2015-08-31,08:15,2015-08-31,10:00,"Køien, Geir, Lynghaug, Trond-Ivar","CG A2 055 pclab"
"DAT220-G/Forel/øv/01",2015-08-31,12:15,2015-08-31,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ELE212-G/Labøv/02",2015-08-31,16:15,2015-08-31,20:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/01",2015-09-01,08:15,2015-09-01,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-09-01,08:15,2015-09-01,15:00,"",""
"ELE215-G/Forel/01 MAH uke 34-36",2015-09-01,12:15,2015-09-01,14:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE215-G/Øv/01 MAH uke 34-36",2015-09-01,14:15,2015-09-01,16:00,"Haglund, Magne Arild","CG A3 023 sem"
"ELE212-G/Labøv/01",2015-09-02,08:15,2015-09-02,12:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/02",2015-09-02,12:15,2015-09-02,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-02,14:15,2015-09-02,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"DAT220-G/Forel/øv/02",2015-09-03,08:15,2015-09-03,12:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"MAS107-G/Forel/02",2015-09-03,12:15,2015-09-03,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-09-03,14:15,2015-09-03,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-09-04,08:15,2015-09-04,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-09-04,10:15,2015-09-04,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ELE215-G/Forel/02 MAH uke 34-36",2015-09-04,12:15,2015-09-04,14:00,"Haglund, Magne Arild","CG C4 092 sem"
"ELE212-G/Forel/Labøv/01",2015-09-07,08:15,2015-09-07,10:00,"Køien, Geir, Lynghaug, Trond-Ivar","CG A2 055 pclab"
"DAT220-G/Forel/øv/01",2015-09-07,12:15,2015-09-07,16:00,"Auby, Christian","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"ELE212-G/Labøv/02",2015-09-07,16:15,2015-09-07,20:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/01",2015-09-08,08:15,2015-09-08,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ELE215-G/Forel/01 RJ uke 37-39",2015-09-08,12:15,2015-09-08,14:00,"Johnsen, Ragnar","CG A3 023 sem"
"ELE215-G/Øv/01 RJ uke 37-39",2015-09-08,14:15,2015-09-08,16:00,"Johnsen, Ragnar","CG A3 023 sem"
"ELE212-G/Labøv/01",2015-09-09,08:15,2015-09-09,12:00,"Cenkeramaddi, Linga Reddy, Jevne, Geir, Jiao, Lei, Køien, Geir, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"MA-209-G/Forel/02",2015-09-09,12:15,2015-09-09,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-09,14:15,2015-09-09,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
