Subject,Start Date,Start Time,End Date,End Time,Description,Location
"B CG/2015/08/12 Studiestart ingeniører ",2015-08-12,09:15,2015-08-12,16:00,"","CG C2 036 aud"
"B CG/2015/08/13 Studiestart ingeniører ",2015-08-13,09:15,2015-08-13,16:00,"","CG C2 036 aud"
"B CG/2015/08/14 Studiestart ingeniører ",2015-08-14,09:15,2015-08-14,16:00,"","CG C2 036 aud"
"MA-007-G/Forel/01",2015-08-17,15:15,2015-08-17,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-08-18,14:15,2015-08-18,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-08-18,16:15,2015-08-18,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-19,16:15,2015-08-19,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-007-G/Forel/01",2015-08-24,15:15,2015-08-24,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-08-25,14:15,2015-08-25,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-08-25,16:15,2015-08-25,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-26,16:15,2015-08-26,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-007-G/Forel/01",2015-08-31,15:15,2015-08-31,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-01,14:15,2015-09-01,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-01,16:15,2015-09-01,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-09-02,16:15,2015-09-02,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-007-G/Forel/01",2015-09-07,15:15,2015-09-07,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-08,14:15,2015-09-08,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-08,16:15,2015-09-08,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-007-G/Forel/01",2015-09-14,15:15,2015-09-14,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-15,14:15,2015-09-15,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-15,16:15,2015-09-15,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-007-G/Forel/01",2015-09-21,15:15,2015-09-21,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-22,14:15,2015-09-22,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-22,16:15,2015-09-22,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"MA-007-G/Forel/01",2015-09-28,15:15,2015-09-28,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-09-29,14:15,2015-09-29,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-09-29,16:15,2015-09-29,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Akademisk skriving (streaming)",2015-10-01,08:15,2015-10-01,10:00,"Stifoss-Hanssen, Astrid","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming)",2015-10-01,10:15,2015-10-01,12:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Kjemi. miljø. bærekraft (streaming)",2015-10-02,12:15,2015-10-02,14:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-10-02,14:15,2015-10-02,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-10-02,14:15,2015-10-02,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"MA-007-G/Forel/01",2015-10-05,15:15,2015-10-05,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-10-06,14:15,2015-10-06,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-10-06,16:15,2015-10-06,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming) uke 41*",2015-10-07,16:15,2015-10-07,18:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Teknologihistorie (streaming)",2015-10-08,10:15,2015-10-08,12:00,"Nilsen, Tom V.","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Teknologihistorie (streaming)",2015-10-09,12:15,2015-10-09,14:00,"Nilsen, Tom V.","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-10-09,14:15,2015-10-09,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-10-09,14:15,2015-10-09,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"MA-007-G/Forel/01",2015-10-12,15:15,2015-10-12,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-10-13,14:15,2015-10-13,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-10-13,16:15,2015-10-13,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Teknologihistorie (streaming)",2015-10-15,10:15,2015-10-15,12:00,"Nilsen, Tom V.","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Teknologihistorie (streaming)",2015-10-16,12:15,2015-10-16,14:00,"Nilsen, Tom V.","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-10-16,14:15,2015-10-16,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-10-16,14:15,2015-10-16,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"MA-007-G/Forel/01",2015-10-19,15:15,2015-10-19,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-10-20,14:15,2015-10-20,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-10-20,16:15,2015-10-20,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming)",2015-10-22,10:15,2015-10-22,12:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Kjemi. miljø. bærekraft (streaming)",2015-10-23,12:15,2015-10-23,14:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-10-23,14:15,2015-10-23,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-10-23,14:15,2015-10-23,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"MA-007-G/Forel/01",2015-10-26,15:15,2015-10-26,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-10-27,14:15,2015-10-27,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-10-27,16:15,2015-10-27,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming)",2015-10-29,10:15,2015-10-29,12:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Kjemi. miljø. bærekraft (streaming)",2015-10-30,12:15,2015-10-30,14:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-10-30,14:15,2015-10-30,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-10-30,14:15,2015-10-30,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"MA-007-G/Forel/01",2015-11-02,15:15,2015-11-02,17:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Forel/02",2015-11-03,14:15,2015-11-03,16:00,"Søyland, Terje","CG C2 036 aud"
"MA-007-G/Øving/01",2015-11-03,16:15,2015-11-03,18:00,"Søyland, Terje","CG A2 047 sem, CG A2 046 sem, CG A2 027 sem, CG A2 025 sem"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming)",2015-11-05,10:15,2015-11-05,12:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Kjemi. miljø. bærekraft (streaming)",2015-11-06,12:15,2015-11-06,14:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-11-06,14:15,2015-11-06,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-11-06,14:15,2015-11-06,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
"TFL115-G/Forel/01 Kjemi. miljø. bærekraft (streaming)",2015-11-12,10:15,2015-11-12,12:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/02 Kjemi. miljø. bærekraft (streaming)",2015-11-13,12:15,2015-11-13,14:00,"Liltved, Helge","CG C2 036 aud, CG C2 042 aud"
"TFL115-G/Forel/01 Engelsk veiledning",2015-11-13,14:15,2015-11-13,16:00,"Almlie, Gunvor Sofia","CG C2 042 aud"
"TFL115-G/Forel/01 Faglig veiledning gruppeprosjekt*",2015-11-13,14:15,2015-11-13,16:00,"Liltved, Helge, Nilsen, Tom V.","CG C2 036 aud"
