Subject,Start Date,Start Time,End Date,End Time,Description,Location
"ENE232-G/Forel/01 Wind",2015-08-13,08:15,2015-08-13,10:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/01 Wind",2015-08-13,10:15,2015-08-13,12:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Forel/02 Hydro",2015-08-14,12:15,2015-08-14,14:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/02 Hydro ",2015-08-14,14:15,2015-08-14,16:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE231-G/Forelesning/Øving/01",2015-08-17,08:15,2015-08-17,16:00,"Khang, Huynh Van","CG F 202 sem"
"MA-209-G/Forel/01",2015-08-18,08:15,2015-08-18,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/02",2015-08-19,12:15,2015-08-19,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-19,14:15,2015-08-19,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ENE232-G/Forel/01 Wind",2015-08-20,08:15,2015-08-20,10:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/01 Wind",2015-08-20,10:15,2015-08-20,12:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"MAS107-G/Forel/02",2015-08-20,12:15,2015-08-20,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-08-20,14:15,2015-08-20,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-08-21,08:15,2015-08-21,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-08-21,10:15,2015-08-21,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ENE232-G/Forel/02 Hydro",2015-08-21,12:15,2015-08-21,14:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/02 Hydro ",2015-08-21,14:15,2015-08-21,16:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE231-G/Forelesning/Øving/01",2015-08-24,08:15,2015-08-24,16:00,"Khang, Huynh Van","CG F 202 sem"
"MA-209-G/Forel/01",2015-08-25,08:15,2015-08-25,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/02",2015-08-26,12:15,2015-08-26,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-26,14:15,2015-08-26,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ENE232-G/Forel/01 Wind",2015-08-27,08:15,2015-08-27,10:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/01 Wind",2015-08-27,10:15,2015-08-27,12:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"MAS107-G/Forel/02",2015-08-27,12:15,2015-08-27,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-08-27,14:15,2015-08-27,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-08-28,08:15,2015-08-28,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-08-28,10:15,2015-08-28,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ENE232-G/Forel/02 Hydro",2015-08-28,12:15,2015-08-28,14:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/02 Hydro ",2015-08-28,14:15,2015-08-28,16:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE231-G/Forelesning/Øving/01",2015-08-31,08:15,2015-08-31,16:00,"Khang, Huynh Van","CG F 202 sem"
"MA-209-G/Forel/01",2015-09-01,08:15,2015-09-01,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/02",2015-09-02,12:15,2015-09-02,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-02,14:15,2015-09-02,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ENE232-G/Forel/01 Wind",2015-09-03,08:15,2015-09-03,10:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/01 Wind",2015-09-03,10:15,2015-09-03,12:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"MAS107-G/Forel/02",2015-09-03,12:15,2015-09-03,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-09-03,14:15,2015-09-03,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-09-04,08:15,2015-09-04,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01",2015-09-04,10:15,2015-09-04,12:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"ENE232-G/Forel/02 Hydro",2015-09-04,12:15,2015-09-04,14:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/02 Hydro ",2015-09-04,14:15,2015-09-04,16:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE231-G/Forelesning/Øving/01",2015-09-07,08:15,2015-09-07,16:00,"Khang, Huynh Van","CG F 202 sem"
"MA-209-G/Forel/01",2015-09-08,08:15,2015-09-08,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/02",2015-09-09,12:15,2015-09-09,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-09,14:15,2015-09-09,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ENE232-G/Forel/01 Wind",2015-09-10,08:15,2015-09-10,10:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/01 Wind",2015-09-10,10:15,2015-09-10,12:00,"Beyer, Hans Georg, Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"MAS107-G/Forel/02",2015-09-10,12:15,2015-09-10,14:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/02",2015-09-10,14:15,2015-09-10,16:00,"Andersen, Torben Ole","CG C2 036 aud, CG B1 023 amfi"
"MAS107-G/Forel/01",2015-09-11,08:15,2015-09-11,10:00,"Andersen, Torben Ole","CG C2 036 aud"
"MAS107-G/Forel/øv/01 Kun C2 036",2015-09-11,10:15,2015-09-11,12:00,"Andersen, Torben Ole","CG C2 036 aud"
"ENE232-G/Forel/02 Hydro",2015-09-11,12:15,2015-09-11,14:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE232-G/Øving/02 Hydro ",2015-09-11,14:15,2015-09-11,16:00,"Gouveia, Aparicio B. L. Joao","CG C4 055 aud"
"ENE231-G/Forelesning/Øving/01",2015-09-14,08:15,2015-09-14,16:00,"Khang, Huynh Van","CG F 202 sem"
"MA-209-G/Forel/01",2015-09-15,08:15,2015-09-15,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/02",2015-09-16,12:15,2015-09-16,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-16,14:15,2015-09-16,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
