Subject,Start Date,Start Time,End Date,End Time,Description,Location
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-11,08:15,2015-08-11,15:00,"",""
"MA-209-G/Forel/01",2015-08-18,08:15,2015-08-18,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-18,08:15,2015-08-18,15:00,"",""
"MA-209-G/Forel/02",2015-08-19,12:15,2015-08-19,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-19,14:15,2015-08-19,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/01",2015-08-25,08:15,2015-08-25,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-08-25,08:15,2015-08-25,15:00,"",""
"MA-209-G/Forel/02",2015-08-26,12:15,2015-08-26,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-08-26,14:15,2015-08-26,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS213-G/Forel/01 JS uke 36 man",2015-08-31,08:15,2015-08-31,16:00,"Steinschaden, Johannes","CG A2 021 sem"
"MA-209-G/Forel/01",2015-09-01,08:15,2015-09-01,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-09-01,08:15,2015-09-01,15:00,"",""
"MAS213-G/Forel/01 JS uke 36 tirs 10-12",2015-09-01,10:15,2015-09-01,12:00,"Steinschaden, Johannes","CG A2 027 sem"
"MAS213-G/Forel/01 JS uke 36 tirs 12-16",2015-09-01,12:15,2015-09-01,16:00,"Steinschaden, Johannes","CG A2 021 sem"
"MA-209-G/Forel/02",2015-09-02,12:15,2015-09-02,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-02,14:15,2015-09-02,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-09-03,12:15,2015-09-03,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS115-G/MAS213/Forel/01 CML uke 37 man",2015-09-07,08:15,2015-09-07,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 37 man",2015-09-07,08:15,2015-09-07,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MA-209-G/Forel/01",2015-09-08,08:15,2015-09-08,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/MAS213/Forel/01 CML uke 37 tirs 10-12",2015-09-08,10:15,2015-09-08,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS213-G/MAS115/Forel/01 CML uke 37 tirs 10-12",2015-09-08,10:15,2015-09-08,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS115-G/MAS213/Forel/01 CML uke 37 tirs 12-16",2015-09-08,12:15,2015-09-08,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 37 tirs 12-16",2015-09-08,12:15,2015-09-08,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS115-G/MAS213/Forel/01 CML uke 37 ons",2015-09-09,08:15,2015-09-09,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MAS213-G/MAS115/Forel/01 CML uke 37 ons",2015-09-09,08:15,2015-09-09,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MA-209-G/Forel/02",2015-09-09,12:15,2015-09-09,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-09,14:15,2015-09-09,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-09-10,12:15,2015-09-10,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MA-209-G/Forel/01",2015-09-15,08:15,2015-09-15,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-09-15,08:15,2015-09-15,15:00,"",""
"MA-209-G/Forel/02",2015-09-16,12:15,2015-09-16,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-16,14:15,2015-09-16,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-09-17,12:15,2015-09-17,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS213-G/Forel/01 JS uke 39 man",2015-09-21,08:15,2015-09-21,16:00,"Steinschaden, Johannes","CG A2 021 sem"
"MA-209-G/Forel/01",2015-09-22,08:15,2015-09-22,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-09-22,08:15,2015-09-22,15:00,"",""
"MAS213-G/Forel/01 JS uke 39 tirs",2015-09-22,10:15,2015-09-22,16:00,"Steinschaden, Johannes","CG C4 090 sem, CG C4 091 sem"
"MA-209-G/Forel/02",2015-09-23,12:15,2015-09-23,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-23,14:15,2015-09-23,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-09-24,12:15,2015-09-24,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MA-209-G/Forel/01",2015-09-29,08:15,2015-09-29,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-09-29,08:15,2015-09-29,15:00,"",""
"MA-209-G/Forel/02",2015-09-30,12:15,2015-09-30,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-09-30,14:15,2015-09-30,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-10-01,12:15,2015-10-01,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS115-G/MAS213/Forel/01 CML uke 41 man",2015-10-05,08:15,2015-10-05,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 41 man",2015-10-05,08:15,2015-10-05,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MA-209-G/Forel/01",2015-10-06,08:15,2015-10-06,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-10-06,08:15,2015-10-06,15:00,"",""
"MAS115-G/MAS213/Forel/01 CML uke 41 tirs 10-12",2015-10-06,10:15,2015-10-06,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS213-G/MAS115/Forel/01 CML uke 41 tirs 10-12",2015-10-06,10:15,2015-10-06,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS115-G/MAS213/Forel/01 CML uke 41 tirs 12-16",2015-10-06,12:15,2015-10-06,16:00,"Larsen, Carl Martin (tl)","CG C4 093 sem"
"MAS213-G/MAS115/Forel/01 CML uke 41 tirs 12-16",2015-10-06,12:15,2015-10-06,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS115-G/MAS213/Forel/01 CML uke 41 ons",2015-10-07,08:15,2015-10-07,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MAS213-G/MAS115/Forel/01 CML uke 41 ons",2015-10-07,08:15,2015-10-07,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MA-209-G/Forel/02",2015-10-07,12:15,2015-10-07,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-10-07,14:15,2015-10-07,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-10-08,12:15,2015-10-08,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS213-G/Forel/01 JS uke 42 man",2015-10-12,08:15,2015-10-12,16:00,"Steinschaden, Johannes","CG A2 021 sem"
"MA-209-G/Forel/01",2015-10-13,08:15,2015-10-13,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-10-13,08:15,2015-10-13,15:00,"",""
"MAS213-G/Forel/01 JS uke 42 tirs",2015-10-13,10:15,2015-10-13,16:00,"Steinschaden, Johannes","CG A3 027 sem (VER)"
"MA-209-G/Forel/02",2015-10-14,12:15,2015-10-14,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-10-14,14:15,2015-10-14,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-10-15,12:15,2015-10-15,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS115-G/MAS213/Forel/01 CML uke 43 man",2015-10-19,08:15,2015-10-19,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 43 man",2015-10-19,08:15,2015-10-19,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MA-209-G/Forel/01",2015-10-20,08:15,2015-10-20,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/MAS213/Forel/01 CML uke 43 tirs 10-12",2015-10-20,10:15,2015-10-20,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS213-G/MAS115/Forel/01 CML uke 43 tirs 10-12",2015-10-20,10:15,2015-10-20,12:00,"Larsen, Carl Martin (tl)","CG A2 027 sem"
"MAS115-G/MAS213/Forel/01 CML uke 43 tirs 12-16",2015-10-20,12:15,2015-10-20,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 43 tirs 12-16",2015-10-20,12:15,2015-10-20,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS115-G/MAS213/Forel/01 CML uke 43 ons",2015-10-21,08:15,2015-10-21,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MAS213-G/MAS115/Forel/01 CML uke 43 ons",2015-10-21,08:15,2015-10-21,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MA-209-G/Forel/02",2015-10-21,12:15,2015-10-21,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-10-21,14:15,2015-10-21,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-10-22,12:15,2015-10-22,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS213-G/Forel/01 JS uke 44 man",2015-10-26,08:15,2015-10-26,16:00,"Steinschaden, Johannes","CG A2 021 sem"
"MA-209-G/Forel/01",2015-10-27,08:15,2015-10-27,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS213-G/Forel/01 JS uke 44 tirs",2015-10-27,10:15,2015-10-27,16:00,"Steinschaden, Johannes","CG A3 025 sem (VER)"
"MA-209-G/Forel/02",2015-10-28,12:15,2015-10-28,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-10-28,14:15,2015-10-28,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-10-29,12:15,2015-10-29,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MAS115-G/MAS213/Forel/01 CML uke 45 man",2015-11-02,08:15,2015-11-02,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 45 man",2015-11-02,08:15,2015-11-02,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MA-209-G/Forel/01",2015-11-03,08:15,2015-11-03,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-11-03,08:15,2015-11-03,15:00,"",""
"MAS115-G/MAS213/Forel/01 CML uke 45 tirs",2015-11-03,10:15,2015-11-03,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS213-G/MAS115/Forel/01 CML uke 45 tirs",2015-11-03,10:15,2015-11-03,16:00,"Larsen, Carl Martin (tl)","CG A2 021 sem"
"MAS115-G/MAS213/Forel/01 CML uke 45 ons",2015-11-04,08:15,2015-11-04,12:00,"Larsen, Carl Martin (tl)","CG A2 123 sem"
"MAS213-G/MAS115/Forel/01 CML uke 45 ons",2015-11-04,08:15,2015-11-04,12:00,"Larsen, Carl Martin (tl)","CG A2 025 sem"
"MA-209-G/Forel/02",2015-11-04,12:15,2015-11-04,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-11-04,14:15,2015-11-04,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MAS115-G/Forel/01 SE FRONTER AM uke xx tors",2015-11-05,12:15,2015-11-05,16:00,"Mueller, Anne (tl)","CG A3 023 sem"
"MA-209-G/Forel/01",2015-11-10,08:15,2015-11-10,10:00,"Hogstad, Per Henrik","CG C2 036 aud"
"ORG215-G/Forel/øv/01 Kristiansand",2015-11-10,08:15,2015-11-10,15:00,"",""
"MA-209-G/Forel/02",2015-11-11,12:15,2015-11-11,14:00,"Hogstad, Per Henrik","CG C2 036 aud"
"MA-209-G/Forel/Øv/01",2015-11-11,14:15,2015-11-11,16:00,"Hogstad, Per Henrik","CG C2 036 aud"
