Subject,Start Date,Start Time,End Date,End Time,Description,Location
"B CG/2015/08/12 Studiestart ingeniører ",2015-08-12,09:15,2015-08-12,16:00,"","CG C2 036 aud"
"B CG/2015/08/13 Studiestart ingeniører ",2015-08-13,09:15,2015-08-13,16:00,"","CG C2 036 aud"
"B CG/2015/08/14 Studiestart ingeniører ",2015-08-14,09:15,2015-08-14,16:00,"","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-17,08:15,2015-08-17,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-08-17,10:15,2015-08-17,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-08-17,12:15,2015-08-17,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-08-18,08:15,2015-08-18,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-08-18,12:15,2015-08-18,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-08-19,08:15,2015-08-19,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Fornybar (TG)",2015-08-19,10:15,2015-08-19,12:00,"Gjestland, Thomas","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem, CG C4 093 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-19,16:15,2015-08-19,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-08-20,08:15,2015-08-20,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Bygg/Fornybar linjedelt",2015-08-20,10:15,2015-08-20,12:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr D",2015-08-20,12:15,2015-08-20,16:00,"Haglund, Magne Arild, Kohle, Sunita M., Larsen, Ragnhild T. Veimo, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Forel/01 uke 34",2015-08-20,14:15,2015-08-20,16:00,"Schading, Steve, Strandberg, Rune","CG C2 042 aud"
"ENE100-G/Labøv/01",2015-08-21,08:15,2015-08-21,12:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"TFL115-G/Forel/02 Bygg/Fornybar linjedelt",2015-08-21,12:15,2015-08-21,14:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"TFL115-G/Forel/øv/01 Bygg/Fornybar linjedelt ØVING",2015-08-21,14:15,2015-08-21,16:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-24,08:15,2015-08-24,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-08-24,10:15,2015-08-24,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-08-24,12:15,2015-08-24,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-08-25,08:15,2015-08-25,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-08-25,12:15,2015-08-25,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-08-26,08:15,2015-08-26,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Fornybar (TG)",2015-08-26,10:15,2015-08-26,12:00,"Gjestland, Thomas","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem, CG C4 093 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-08-26,16:15,2015-08-26,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-08-27,08:15,2015-08-27,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Bygg/Fornybar linjedelt",2015-08-27,10:15,2015-08-27,12:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr D",2015-08-27,12:15,2015-08-27,16:00,"Haglund, Magne Arild, Kohle, Sunita M., Larsen, Ragnhild T. Veimo, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/01",2015-08-28,08:15,2015-08-28,12:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"TFL115-G/Forel/02 Bygg/Fornybar linjedelt",2015-08-28,12:15,2015-08-28,14:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"TFL115-G/Forel/øv/01 Bygg/Fornybar linjedelt ØVING",2015-08-28,14:15,2015-08-28,16:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-08-31,08:15,2015-08-31,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-08-31,10:15,2015-08-31,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-08-31,12:15,2015-08-31,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-09-01,08:15,2015-09-01,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-09-01,12:15,2015-09-01,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-02,08:15,2015-09-02,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Fornybar (TG)",2015-09-02,10:15,2015-09-02,12:00,"Gjestland, Thomas","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem, CG C4 093 sem"
"TFL115-G/Forel/01 Studiestrategi (streaming) *",2015-09-02,16:15,2015-09-02,18:00,"Øysæd, Halvard","CG C2 036 aud, CG C2 042 aud"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-03,08:15,2015-09-03,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Bygg/Fornybar linjedelt",2015-09-03,10:15,2015-09-03,12:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr D",2015-09-03,12:15,2015-09-03,16:00,"Haglund, Magne Arild, Kohle, Sunita M., Larsen, Ragnhild T. Veimo, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/01",2015-09-04,08:15,2015-09-04,12:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"TFL115-G/Forel/02 Bygg/Fornybar linjedelt",2015-09-04,12:15,2015-09-04,14:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"TFL115-G/Forel/øv/01 Bygg/Fornybar linjedelt ØVING",2015-09-04,14:15,2015-09-04,16:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-07,08:15,2015-09-07,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-09-07,10:15,2015-09-07,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-09-07,12:15,2015-09-07,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-09-08,08:15,2015-09-08,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-09-08,12:15,2015-09-08,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-09,08:15,2015-09-09,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Fornybar (TG)",2015-09-09,10:15,2015-09-09,12:00,"Gjestland, Thomas","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem, CG C4 093 sem"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-10,08:15,2015-09-10,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Bygg/Fornybar linjedelt",2015-09-10,10:15,2015-09-10,12:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr D",2015-09-10,12:15,2015-09-10,16:00,"Haglund, Magne Arild, Kohle, Sunita M., Larsen, Ragnhild T. Veimo, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/01",2015-09-11,08:15,2015-09-11,12:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"TFL115-G/Forel/02 Bygg/Fornybar linjedelt",2015-09-11,12:15,2015-09-11,14:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"TFL115-G/Forel/øv/01 Bygg/Fornybar linjedelt ØVING",2015-09-11,14:15,2015-09-11,16:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-14,08:15,2015-09-14,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-09-14,10:15,2015-09-14,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-09-14,12:15,2015-09-14,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-09-15,08:15,2015-09-15,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-09-15,12:15,2015-09-15,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-16,08:15,2015-09-16,10:00,"Gjestland, Thomas","CG C2 042 aud"
"MA-154-G/Øv/*Gruppe Fornybar (TG)",2015-09-16,10:15,2015-09-16,12:00,"Gjestland, Thomas","CG C4 090 sem, CG C4 091 sem, CG C4 092 sem, CG C4 093 sem"
"MA-154-G/Forel/*03 Data/Fornybar (TG)",2015-09-17,08:15,2015-09-17,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/01 Bygg/Fornybar linjedelt",2015-09-17,10:15,2015-09-17,12:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr D",2015-09-17,12:15,2015-09-17,16:00,"Haglund, Magne Arild, Kohle, Sunita M., Larsen, Ragnhild T. Veimo, Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/01",2015-09-18,08:15,2015-09-18,12:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"TFL115-G/Forel/02 Bygg/Fornybar linjedelt",2015-09-18,12:15,2015-09-18,14:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"TFL115-G/Forel/øv/01 Bygg/Fornybar linjedelt ØVING",2015-09-18,14:15,2015-09-18,16:00,"Major, Jonas Høgli, Svennevig, Paul","CG C2 036 aud"
"MA-154-G/Forel/*01 Data/Fornybar (TG)",2015-09-21,08:15,2015-09-21,10:00,"Gjestland, Thomas","CG C2 042 aud"
"TFL115-G/Forel/øv/02 Fornybar linjedelt ØVING",2015-09-21,10:15,2015-09-21,12:00,"Major, Jonas Høgli, Stud.ass TFL115 Fonybar linjedelt, Svennevig, Paul","CG A2 025 sem"
"ELE100-G/Forel/uke 34-47 MAH",2015-09-21,12:15,2015-09-21,15:00,"Haglund, Magne Arild","CG C2 036 aud"
"ELE100-G/Lab/Øving/gr E",2015-09-22,08:15,2015-09-22,12:00,"Haglund, Magne Arild, Kohle, Sunita M., Lynghaug, Trond-Ivar","CG A2 152 labELE"
"ENE100-G/Labøv/04*",2015-09-22,12:15,2015-09-22,16:00,"Schading, Steve, Strandberg, Rune","CG D2 030 lab NAT, CG D2 020 lab ELK"
"MA-154-G/Forel/*02 Data/Fornybar (TG)",2015-09-23,08:15,2015-09-23,10:00,"Gjestland, Thomas","CG C2 042 aud"
