Subject,Start Date,Start Time,End Date,End Time,Description,Location
"ME-512-G/Forel/man",2015-08-17,12:15,2015-08-17,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"SE-505-G/Forel/tirs",2015-08-18,13:15,2015-08-18,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-08-19,09:15,2015-08-19,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"ME-512-G/Forel/tors",2015-08-20,12:15,2015-08-20,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ME-512-G/Forel/man",2015-08-24,12:15,2015-08-24,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"SE-505-G/Forel/tirs",2015-08-25,13:15,2015-08-25,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-08-26,09:15,2015-08-26,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"ME-512-G/Forel/tors",2015-08-27,12:15,2015-08-27,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ME-512-G/Forel/man",2015-08-31,12:15,2015-08-31,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"ORG501-G/Forel/uke 36-38. ",2015-09-02,09:15,2015-09-02,12:00,"Johnsen, Hans Chr G.","CG A3 023 sem"
"ME-512-G/Forel/tors",2015-09-03,12:15,2015-09-03,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ME-512-G/Forel/man",2015-09-07,12:15,2015-09-07,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"ORG501-G/Forel/uke 36-38. ",2015-09-09,09:15,2015-09-09,12:00,"Johnsen, Hans Chr G.","CG A3 023 sem"
"ME-512-G/Forel/tors",2015-09-10,12:15,2015-09-10,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ME-512-G/Forel/man",2015-09-14,12:15,2015-09-14,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"ORG501-G/Forel/uke 36-38. ",2015-09-16,09:15,2015-09-16,12:00,"Johnsen, Hans Chr G.","CG A3 023 sem"
"ME-512-G/Forel/tors",2015-09-17,12:15,2015-09-17,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ME-512-G/Forel/man",2015-09-21,12:15,2015-09-21,15:00,"Karlsen, James T., Knudsen, Jon P.","CG A2 023 sem"
"ORG501-G/Forel/uke 39",2015-09-23,09:15,2015-09-23,12:00,"Johnsen, Hans Chr G.","CG A2 135 aud"
"ME-512-G/Forel/tors",2015-09-24,12:15,2015-09-24,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-09-30,09:15,2015-09-30,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"SE-505-G/Forel/tirs uke 41",2015-10-06,13:15,2015-10-06,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 41",2015-10-07,09:15,2015-10-07,12:00,"Johnsen, Hans Chr G.","CG A3 027 sem (VER)"
"SE-505-G/Forel/tors",2015-10-08,13:15,2015-10-08,16:00,"Normann, Roger","CG A2 123 sem"
"SE-505-G/Forel/tirs",2015-10-20,13:15,2015-10-20,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 43",2015-10-21,09:15,2015-10-21,12:00,"Johnsen, Hans Chr G.","CG A3 025 sem (VER)"
"SE-505-G/Forel/tors",2015-10-22,13:15,2015-10-22,16:00,"Normann, Roger","CG A2 123 sem"
"SE-505-G/Forel/tirs",2015-10-27,13:15,2015-10-27,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-10-28,09:15,2015-10-28,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"SE-505-G/Forel/tors",2015-10-29,13:15,2015-10-29,16:00,"Normann, Roger","CG A2 123 sem"
"SE-505-G/Forel/tirs",2015-11-03,13:15,2015-11-03,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-11-04,09:15,2015-11-04,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"SE-505-G/Forel/tors",2015-11-05,13:15,2015-11-05,16:00,"Normann, Roger","CG A2 123 sem"
"SE-505-G/Forel/tirs",2015-11-10,13:15,2015-11-10,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-11-11,09:15,2015-11-11,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"ME-512-G/Forel/tors",2015-11-12,12:15,2015-11-12,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
"SE-505-G/Forel/tirs",2015-11-17,13:15,2015-11-17,16:00,"Normann, Roger","CG F 203 sem"
"ORG501-G/Forel/uke 34-35. 40. 44-47",2015-11-18,09:15,2015-11-18,12:00,"Johnsen, Hans Chr G.","CG A3 041 sem"
"ME-512-G/Forel/tors",2015-11-19,12:15,2015-11-19,15:00,"Karlsen, James T., Knudsen, Jon P.","CG C4 092 sem"
