Subject,Start Date,Start Time,End Date,End Time,Description,Location
"ME-418-G 31.08",2015-08-31,09:15,2015-08-31,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 01.09",2015-09-01,09:15,2015-09-01,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 02.09 kl. 0915-1215",2015-09-02,09:15,2015-09-02,12:00,"Larsen, Inger Beate","CG C3 072 aud"
"ME-418-G 02.09 kl. 1215-1415",2015-09-02,12:15,2015-09-02,14:00,"Larsen, Inger Beate","CG A2 085 aud"
"ME-418-G 04.09 ?",2015-09-04,09:15,2015-09-04,14:00,"Larsen, Inger Beate","CG C3 072 aud"
"ME-418-G 28.09",2015-09-28,09:15,2015-09-28,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 30.09",2015-09-30,09:15,2015-09-30,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 01.10",2015-10-01,09:15,2015-10-01,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 26.10",2015-10-26,09:15,2015-10-26,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 27.10",2015-10-27,09:15,2015-10-27,14:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 29.10 kl. 0915-1215",2015-10-29,09:15,2015-10-29,12:00,"Larsen, Inger Beate","CG x Auditorium FoU-bygget *"
"ME-418-G 30.10",2015-10-30,09:15,2015-10-30,14:00,"Larsen, Inger Beate","CG C3 072 aud"
