Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-KOM114 for uke 33",2015-08-12,11:15,2015-08-12,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B2 003 aud"
"-KOM114 for uke 33",2015-08-12,14:15,2015-08-12,17:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 for uke 33",2015-08-13,13:15,2015-08-13,17:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 17.08 Fotosafari til Lista hele dagen",2015-08-17,08:15,2015-08-17,16:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil",""
"-KOM114 18.08 Fotosafari til Lista hele dagen",2015-08-18,08:15,2015-08-18,16:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil",""
"-KOM114 for uke 34",2015-08-19,12:15,2015-08-19,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B3 007 aud"
"-KOM114 lab uke 34",2015-08-19,14:15,2015-08-19,17:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK x D4 007 medierom-, CK F1 021 lab-"
"-KOM114 for uke 34",2015-08-20,10:15,2015-08-20,12:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 lab uke 34",2015-08-20,12:15,2015-08-20,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK x D4 007 medierom-, CK F1 021 lab-"
"-KOM114 for",2015-08-24,09:15,2015-08-24,11:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 gr",2015-08-24,11:15,2015-08-24,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 114c "
"-KOM114 oppsummering uke 35.36",2015-08-24,13:15,2015-08-24,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 001 aud"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-08-25,10:15,2015-08-25,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 NB Kfr.egen semesterplan for KOM110",2015-08-26,10:15,2015-08-26,14:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-08-27,10:15,2015-08-27,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM114 for ",2015-08-27,13:15,2015-08-27,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 for",2015-08-31,09:15,2015-08-31,11:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 gr",2015-08-31,11:15,2015-08-31,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 114c "
"-KOM114 oppsummering uke 35.36",2015-08-31,13:15,2015-08-31,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 001 aud"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-01,10:15,2015-09-01,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 NB Kfr.egen semesterplan for KOM110",2015-09-02,10:15,2015-09-02,14:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-03,10:15,2015-09-03,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM114 for ",2015-09-03,13:15,2015-09-03,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 for",2015-09-07,09:15,2015-09-07,11:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 gr",2015-09-07,11:15,2015-09-07,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 114c "
"-KOM114 oppsummering uke 37.39-42",2015-09-07,13:15,2015-09-07,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 007 aud"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-08,10:15,2015-09-08,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 NB Kfr.egen semesterplan for KOM110",2015-09-09,10:15,2015-09-09,14:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-10,10:15,2015-09-10,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM114 for ",2015-09-10,13:15,2015-09-10,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 for",2015-09-14,09:15,2015-09-14,11:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 gr",2015-09-14,11:15,2015-09-14,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 114c "
"-KOM114 oppsummering uke 38",2015-09-14,13:15,2015-09-14,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-15,10:15,2015-09-15,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 NB Kfr.egen semesterplan for KOM110",2015-09-16,10:15,2015-09-16,14:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-17,10:15,2015-09-17,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM114 for ",2015-09-17,13:15,2015-09-17,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 for",2015-09-21,09:15,2015-09-21,11:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
"-KOM114 gr",2015-09-21,11:15,2015-09-21,13:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116b, CK 50 116c, CK 50 116d, CK 50 114c "
"-KOM114 oppsummering uke 37.39-42",2015-09-21,13:15,2015-09-21,14:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 007 aud"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-22,10:15,2015-09-22,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 NB Kfr.egen semesterplan for KOM110",2015-09-23,10:15,2015-09-23,14:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM110 for NB Kfr.egen semesterplan for KOM110",2015-09-24,10:15,2015-09-24,12:00,"Lindøe Siri Hempel","CK x D4 007 medierom-"
"-KOM114 for ",2015-09-24,13:15,2015-09-24,15:00,"Engebretsen Martin, Hermansen Roald, Hodøl Hans-Olav, Sæbø Egil","CK B1 006 aud"
