Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KH-127 tors",2015-08-13,10:15,2015-08-13,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-08-13,12:15,2015-08-13,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-08-14,09:15,2015-08-14,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-08-17,09:15,2015-08-17,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-08-18,12:15,2015-08-18,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-08-20,10:15,2015-08-20,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-08-20,12:15,2015-08-20,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-08-21,09:15,2015-08-21,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-08-24,09:15,2015-08-24,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-08-25,12:15,2015-08-25,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-08-27,10:15,2015-08-27,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-08-27,12:15,2015-08-27,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-08-28,09:15,2015-08-28,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-08-31,09:15,2015-08-31,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-09-01,12:15,2015-09-01,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-09-03,10:15,2015-09-03,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-09-03,12:15,2015-09-03,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-09-04,09:15,2015-09-04,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-09-07,09:15,2015-09-07,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-09-08,12:15,2015-09-08,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-09-10,10:15,2015-09-10,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-09-10,12:15,2015-09-10,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-09-11,09:15,2015-09-11,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-09-14,09:15,2015-09-14,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-09-15,12:15,2015-09-15,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-09-17,10:15,2015-09-17,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-09-17,12:15,2015-09-17,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-09-18,09:15,2015-09-18,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-09-21,09:15,2015-09-21,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-09-22,12:15,2015-09-22,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-09-24,10:15,2015-09-24,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-09-24,12:15,2015-09-24,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-09-25,09:15,2015-09-25,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-09-28,09:15,2015-09-28,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-09-29,12:15,2015-09-29,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-10-01,10:15,2015-10-01,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-10-01,12:15,2015-10-01,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-10-02,09:15,2015-10-02,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-10-05,09:15,2015-10-05,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-10-06,12:15,2015-10-06,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-10-08,10:15,2015-10-08,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-10-08,12:15,2015-10-08,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-10-09,09:15,2015-10-09,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-10-12,09:15,2015-10-12,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-10-13,12:15,2015-10-13,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-10-15,10:15,2015-10-15,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-10-15,12:15,2015-10-15,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-10-16,09:15,2015-10-16,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-10-19,09:15,2015-10-19,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-10-20,12:15,2015-10-20,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-10-22,10:15,2015-10-22,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-10-22,12:15,2015-10-22,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-10-23,09:15,2015-10-23,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-10-26,09:15,2015-10-26,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-10-27,12:15,2015-10-27,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-10-29,10:15,2015-10-29,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-10-29,12:15,2015-10-29,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-10-30,09:15,2015-10-30,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-11-02,09:15,2015-11-02,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-11-03,12:15,2015-11-03,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-11-05,10:15,2015-11-05,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-11-05,12:15,2015-11-05,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-11-06,09:15,2015-11-06,15:00,"","CK GU XXX verksted"
"KH-126/KH-127 man verks.",2015-11-09,09:15,2015-11-09,15:00,"","CK GU XXX verksted"
"KH-127 tirs",2015-11-10,12:15,2015-11-10,14:00,"","CK G1 051 aud (fg)"
"KH-127 tors",2015-11-12,10:15,2015-11-12,12:00,"","CK G1 051 aud (fg)"
"KH-126/KH-127 tor verks.",2015-11-12,12:15,2015-11-12,16:00,"","CK GU XXX verksted"
"KH-126/KH-127 fre verks.",2015-11-13,09:15,2015-11-13,15:00,"","CK GU XXX verksted"
