Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-218 forel ons",2015-08-12,08:15,2015-08-12,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-218 ekstra forel uke 33",2015-08-12,10:15,2015-08-12,12:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-08-12,12:15,2015-08-12,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-419 forel tors",2015-08-13,09:15,2015-08-13,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-08-13,10:15,2015-08-13,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-08-14,08:15,2015-08-14,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-08-14,11:15,2015-08-14,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-08-17,08:15,2015-08-17,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-08-18,08:15,2015-08-18,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-08-18,10:15,2015-08-18,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-08-18,14:15,2015-08-18,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-08-19,08:15,2015-08-19,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-08-19,12:15,2015-08-19,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-08-19,14:15,2015-08-19,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-08-20,09:15,2015-08-20,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-08-20,10:15,2015-08-20,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-08-21,08:15,2015-08-21,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-08-21,11:15,2015-08-21,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-08-24,08:15,2015-08-24,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-08-25,08:15,2015-08-25,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-08-25,10:15,2015-08-25,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-08-25,14:15,2015-08-25,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-08-26,08:15,2015-08-26,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-08-26,12:15,2015-08-26,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-08-26,14:15,2015-08-26,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-08-27,09:15,2015-08-27,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-08-27,10:15,2015-08-27,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-08-28,08:15,2015-08-28,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-08-28,11:15,2015-08-28,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-08-31,08:15,2015-08-31,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-09-01,08:15,2015-09-01,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-09-01,10:15,2015-09-01,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-09-01,14:15,2015-09-01,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-09-02,08:15,2015-09-02,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-09-02,12:15,2015-09-02,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-09-02,14:15,2015-09-02,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-09-03,09:15,2015-09-03,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-09-03,10:15,2015-09-03,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-09-04,08:15,2015-09-04,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-09-04,11:15,2015-09-04,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-09-07,08:15,2015-09-07,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-09-08,08:15,2015-09-08,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-09-08,10:15,2015-09-08,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-09-08,14:15,2015-09-08,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-09-09,08:15,2015-09-09,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-09-09,12:15,2015-09-09,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-09-09,14:15,2015-09-09,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-09-10,09:15,2015-09-10,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-09-10,10:15,2015-09-10,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-09-11,08:15,2015-09-11,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-09-11,11:15,2015-09-11,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-09-14,08:15,2015-09-14,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-09-15,08:15,2015-09-15,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-09-15,10:15,2015-09-15,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-09-15,14:15,2015-09-15,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-09-16,08:15,2015-09-16,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-09-16,12:15,2015-09-16,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-09-16,14:15,2015-09-16,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-09-17,09:15,2015-09-17,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-09-17,10:15,2015-09-17,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-09-18,08:15,2015-09-18,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-09-18,11:15,2015-09-18,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-09-21,08:15,2015-09-21,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-09-22,08:15,2015-09-22,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-09-22,10:15,2015-09-22,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-09-22,14:15,2015-09-22,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-09-23,08:15,2015-09-23,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-217 forel ons",2015-09-23,14:15,2015-09-23,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-421 forel fre",2015-09-25,08:15,2015-09-25,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-09-25,11:15,2015-09-25,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-09-28,08:15,2015-09-28,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-29,14:15,2015-09-29,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-419 forel ons",2015-09-30,12:15,2015-09-30,14:00,"Knutson Inger J Håland","CK F2 001 sem"
"MA-217 forel ons",2015-09-30,14:15,2015-09-30,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-419 forel tors",2015-10-01,09:15,2015-10-01,10:00,"Knutson Inger J Håland","CK 51 131 sem"
"MA-419 gr tors",2015-10-01,10:15,2015-10-01,12:00,"Knutson Inger J Håland","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-421 forel fre",2015-10-02,08:15,2015-10-02,11:00,"Hadjerrouit Said","CK 46 207 sem"
"MA-421 pc-lab fre",2015-10-02,11:15,2015-10-02,13:00,"Hadjerrouit Said","CK JK 007 lab"
"MA-217 forel man",2015-10-05,08:15,2015-10-05,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-218 forel tirs",2015-10-06,08:15,2015-10-06,10:00,"Abrahamsen Trond A","CK F2 007 sem"
"MA-218 gr",2015-10-06,10:15,2015-10-06,12:00,"Abrahamsen Trond A","CK 50 114a, CK 50 114b , CK 50 115a, CK 50 115c, CK 50 115e"
"MA-217 lab/gr",2015-10-06,14:15,2015-10-06,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-218 forel ons",2015-10-07,08:15,2015-10-07,10:00,"Abrahamsen Trond A","CK 48 115 sem"
"MA-419 forel ons",2015-10-07,12:15,2015-10-07,14:00,"Knutson Inger J Håland","CK F2 001 sem"
