Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-163 forel ons",2015-08-12,08:15,2015-08-12,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163 uke 33 ons",2015-08-12,10:15,2015-08-12,12:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-08-17,12:15,2015-08-17,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-08-17,14:15,2015-08-17,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-08-18,15:15,2015-08-18,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-08-19,08:15,2015-08-19,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-08-24,12:15,2015-08-24,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-08-24,14:15,2015-08-24,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-08-25,15:15,2015-08-25,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-08-26,08:15,2015-08-26,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-08-31,12:15,2015-08-31,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-08-31,14:15,2015-08-31,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-09-01,15:15,2015-09-01,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163-1 for fre uke 36. 38",2015-09-04,12:15,2015-09-04,14:00,"Dovland G. Olav Kristian","CK B3 007 aud"
"MA-163-1 for man",2015-09-07,12:15,2015-09-07,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-09-07,14:15,2015-09-07,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-09-08,15:15,2015-09-08,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-09-09,08:15,2015-09-09,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-09-14,12:15,2015-09-14,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-09-14,14:15,2015-09-14,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-09-15,15:15,2015-09-15,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163-1 for fre uke 36. 38",2015-09-18,12:15,2015-09-18,14:00,"Dovland G. Olav Kristian","CK B3 007 aud"
"MA-163-1 for man",2015-09-21,12:15,2015-09-21,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-09-21,14:15,2015-09-21,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-09-22,15:15,2015-09-22,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-09-23,08:15,2015-09-23,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-09-28,12:15,2015-09-28,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-09-28,14:15,2015-09-28,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-09-29,15:15,2015-09-29,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-09-30,08:15,2015-09-30,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-10-05,12:15,2015-10-05,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-10-05,14:15,2015-10-05,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-10-06,15:15,2015-10-06,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-10-07,08:15,2015-10-07,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-10-12,12:15,2015-10-12,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-10-12,14:15,2015-10-12,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-10-13,15:15,2015-10-13,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-10-14,08:15,2015-10-14,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-10-19,12:15,2015-10-19,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-10-19,14:15,2015-10-19,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-10-20,15:15,2015-10-20,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-10-21,08:15,2015-10-21,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 for man",2015-10-26,12:15,2015-10-26,14:00,"Dovland G. Olav Kristian","CK B2 003 aud"
"MA-163-1 gr man",2015-10-26,14:15,2015-10-26,16:00,"Dovland G. Olav Kristian","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005"
"MA-163-1 for tirs",2015-10-27,15:15,2015-10-27,17:00,"Dovland G. Olav Kristian","CK B1 001 aud"
"MA-163 forel ons",2015-10-28,08:15,2015-10-28,10:00,"Dovland G. Olav Kristian","CK B1 006 aud"
"MA-163-1 forel uke 50/51",2015-12-07,10:15,2015-12-07,12:00,"Dovland G. Olav Kristian","CK B3 007 aud"
"MA-163-1 forel uke 50/51",2015-12-14,10:15,2015-12-14,12:00,"Dovland G. Olav Kristian","CK B3 007 aud"
