Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-KR-102 for",2015-08-13,12:15,2015-08-13,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-08-14,09:15,2015-08-14,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-08-17,12:15,2015-08-17,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-08-18,11:15,2015-08-18,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-08-18,14:15,2015-08-18,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-08-20,12:15,2015-08-20,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-08-21,09:15,2015-08-21,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-08-24,12:15,2015-08-24,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-08-25,11:15,2015-08-25,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-08-25,14:15,2015-08-25,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-08-27,12:15,2015-08-27,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-08-28,09:15,2015-08-28,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-08-31,12:15,2015-08-31,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-09-01,11:15,2015-09-01,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-09-01,14:15,2015-09-01,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-09-03,12:15,2015-09-03,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-09-04,09:15,2015-09-04,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-KR-103 for",2015-09-11,09:15,2015-09-11,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-09-14,12:15,2015-09-14,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-09-15,11:15,2015-09-15,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-09-15,14:15,2015-09-15,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-09-17,12:15,2015-09-17,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-09-18,09:15,2015-09-18,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-09-21,12:15,2015-09-21,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-09-22,11:15,2015-09-22,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-09-22,14:15,2015-09-22,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-09-24,12:15,2015-09-24,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-09-25,09:15,2015-09-25,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-KR-102 for",2015-09-29,11:15,2015-09-29,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-102 for",2015-10-01,12:15,2015-10-01,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-10-02,09:15,2015-10-02,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-10-05,12:15,2015-10-05,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-10-06,11:15,2015-10-06,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-10-06,14:15,2015-10-06,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-10-08,12:15,2015-10-08,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-10-09,09:15,2015-10-09,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-10-12,12:15,2015-10-12,14:00,"Vegge Tor","CK B2 004 aud"
"-REL101 for",2015-10-13,14:15,2015-10-13,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-103 for ons uke 42",2015-10-14,12:15,2015-10-14,15:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-KR-102 for",2015-10-15,12:15,2015-10-15,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 sem uke 43.44",2015-10-23,09:15,2015-10-23,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-KR-103 sem uke 43.44",2015-10-30,09:15,2015-10-30,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-11-02,12:15,2015-11-02,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-11-03,11:15,2015-11-03,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-11-03,14:15,2015-11-03,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-11-05,12:15,2015-11-05,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-11-06,09:15,2015-11-06,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-11-09,12:15,2015-11-09,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-11-10,11:15,2015-11-10,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-11-10,14:15,2015-11-10,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-11-12,12:15,2015-11-12,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-11-13,09:15,2015-11-13,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
"-REL101 for",2015-11-16,12:15,2015-11-16,14:00,"Vegge Tor","CK B2 004 aud"
"-KR-102 for",2015-11-17,11:15,2015-11-17,13:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-REL101 for",2015-11-17,14:15,2015-11-17,16:00,"Vegge Tor","CK B3 001 aud"
"-KR-102 for",2015-11-19,12:15,2015-11-19,14:00,"Hägg Henny Solfrid F., Sødal Helje Kringlebotn","CK B2 004 aud"
"-KR-103 for",2015-11-20,09:15,2015-11-20,12:00,"Eidhamar Levi Geir, Haakedal Elisabet","CK B2 004 aud"
