Subject,Start Date,Start Time,End Date,End Time,Description,Location
".IS-108-1 for Wed ",2015-08-12,11:15,2015-08-12,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".EN-139 for 1 S.E. ",2015-08-14,12:15,2015-08-14,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-14,14:15,2015-08-14,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-14,15:15,2015-08-14,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-08-18,08:15,2015-08-18,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-08-19,09:15,2015-08-19,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-08-19,11:15,2015-08-19,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-08-20,09:15,2015-08-20,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-08-20,12:15,2015-08-20,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-08-21,09:15,2015-08-21,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-08-21,12:15,2015-08-21,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-21,14:15,2015-08-21,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-21,15:15,2015-08-21,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-08-25,08:15,2015-08-25,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-08-26,09:15,2015-08-26,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-08-26,11:15,2015-08-26,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-08-27,09:15,2015-08-27,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-08-27,12:15,2015-08-27,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-08-28,09:15,2015-08-28,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-08-28,12:15,2015-08-28,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-08-28,14:15,2015-08-28,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-08-28,15:15,2015-08-28,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-09-01,08:15,2015-09-01,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-09-01,08:15,2015-09-01,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-09-01,08:15,2015-09-01,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-09-02,09:15,2015-09-02,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-02,11:15,2015-09-02,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-09-03,09:15,2015-09-03,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-09-03,12:15,2015-09-03,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-09-04,09:15,2015-09-04,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-09-04,12:15,2015-09-04,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-09-04,14:15,2015-09-04,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-09-04,15:15,2015-09-04,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".IS-108-1 for Mon",2015-09-07,14:15,2015-09-07,18:00,"Henriksen Helle Zinner","CK D3 018 sem"
".TFL117 (TFL114) for",2015-09-09,09:15,2015-09-09,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-09,11:15,2015-09-09,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".IS-108-1 for Wed ",2015-09-09,11:15,2015-09-09,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".JU-207/JU-300 for ",2015-09-10,09:15,2015-09-10,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-09-10,12:15,2015-09-10,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-09-11,09:15,2015-09-11,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-09-11,12:15,2015-09-11,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-09-11,14:15,2015-09-11,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-09-11,15:15,2015-09-11,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-09-15,08:15,2015-09-15,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-09-15,08:15,2015-09-15,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-09-15,08:15,2015-09-15,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-09-16,09:15,2015-09-16,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-16,11:15,2015-09-16,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-09-17,09:15,2015-09-17,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-09-17,12:15,2015-09-17,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 38 (B1 006)",2015-09-18,09:15,2015-09-18,12:00,"Whitehead Lisa Marie","CK B1 006 aud"
".EN-139 for 1 S.E. ",2015-09-18,12:15,2015-09-18,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-09-18,14:15,2015-09-18,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-09-18,15:15,2015-09-18,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".IS-108-1 for Mon",2015-09-21,14:15,2015-09-21,18:00,"Henriksen Helle Zinner","CK D3 018 sem"
".ORG313/ORG105 sem",2015-09-22,08:15,2015-09-22,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-09-22,08:15,2015-09-22,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-09-22,08:15,2015-09-22,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-09-23,09:15,2015-09-23,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-23,11:15,2015-09-23,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".IS-108-1 for Wed ",2015-09-23,11:15,2015-09-23,15:00,"Henriksen Helle Zinner","CK D3 018 sem"
".JU-207/JU-300 for ",2015-09-24,09:15,2015-09-24,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-09-24,12:15,2015-09-24,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 39 (B3 007)",2015-09-25,09:15,2015-09-25,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-09-29,08:15,2015-09-29,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-09-29,08:15,2015-09-29,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-09-29,08:15,2015-09-29,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-09-30,09:15,2015-09-30,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-09-30,11:15,2015-09-30,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".ORG313/ORG105 sem",2015-10-06,08:15,2015-10-06,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
".ORG313/ORG105 gr",2015-10-06,08:15,2015-10-06,15:00,"Arntsen Erik, Shneor Rotem","CK 15 101, CK 15 102, CK 15 104, CK 15 103, CK 15 105, CK 15 106, CK 15 107, CK 15 108, CK 15 109, CK 15 114"
".ORG313/ORG105 (I1 066)",2015-10-06,08:15,2015-10-06,15:00,"Arntsen Erik, Shneor Rotem","CK I1 066 aud"
".TFL117 (TFL114) for",2015-10-07,09:15,2015-10-07,11:00,"Aronsen Mats","CK HK 007 sem"
".TFL117 (TFL114) gr",2015-10-07,11:15,2015-10-07,13:00,"Aronsen Mats","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041, CK 47 101, CK 47 102, CK 47 103, CK 47 104"
".JU-207/JU-300 for ",2015-10-08,09:15,2015-10-08,12:00,"Lunøe-Nielsen Kari","CK H1 058 aud"
".JU-207/JU-300 gr ",2015-10-08,12:15,2015-10-08,14:00,"Lunøe-Nielsen Kari","CK 47 101, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 116, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-206-1 for wk 34.35.36.37.41.43.44",2015-10-09,09:15,2015-10-09,12:00,"Whitehead Lisa Marie","CK B3 007 aud"
".EN-139 for 1 S.E. ",2015-10-09,12:15,2015-10-09,14:00,"Erdmann Susan","CK B2 003 aud"
".EN-139 sem L.M.W. (gr 1)",2015-10-09,14:15,2015-10-09,15:00,"Erdmann Susan, Whitehead Lisa Marie","CK B2 014 sem"
".EN-139 sem L.M.W. (gr 2)",2015-10-09,15:15,2015-10-09,16:00,"Erdmann Susan, Whitehead Lisa Marie","CK B3 007 aud"
".ORG313/ORG105 sem",2015-10-13,08:15,2015-10-13,15:00,"Arntsen Erik, Shneor Rotem","CK 15 110 sem (ikke PC)"
