Subject,Start Date,Start Time,End Date,End Time,Description,Location
"FYS104 forel tors",2015-08-13,08:15,2015-08-13,12:00,"Renstrøm Reidun","CK HK 007 sem"
"FYS124 forel man",2015-08-17,12:15,2015-08-17,15:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tirs",2015-08-18,12:15,2015-08-18,16:00,"Renstrøm Reidun","CK 48 013 sem"
"FYS124 forel ons",2015-08-19,10:15,2015-08-19,13:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 lab ons",2015-08-19,13:15,2015-08-19,16:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tors",2015-08-20,08:15,2015-08-20,12:00,"Renstrøm Reidun","CK HK 007 sem"
"FYS124 forel tors/fre",2015-08-20,14:15,2015-08-20,17:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 forel tors/fre",2015-08-21,14:15,2015-08-21,17:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 forel man",2015-08-24,12:15,2015-08-24,15:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tirs",2015-08-25,12:15,2015-08-25,16:00,"Renstrøm Reidun","CK 48 013 sem"
"FYS124 forel ons",2015-08-26,10:15,2015-08-26,13:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 lab ons",2015-08-26,13:15,2015-08-26,16:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tors",2015-08-27,08:15,2015-08-27,12:00,"Renstrøm Reidun","CK HK 007 sem"
"FYS124 forel tors/fre",2015-08-27,14:15,2015-08-27,17:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 forel tors/fre",2015-08-28,14:15,2015-08-28,17:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 forel man",2015-08-31,12:15,2015-08-31,15:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tirs",2015-09-01,12:15,2015-09-01,16:00,"Renstrøm Reidun","CK 48 013 sem"
"FYS124 forel ons",2015-09-02,10:15,2015-09-02,13:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS124 lab ons",2015-09-02,13:15,2015-09-02,16:00,"Renstrøm Reidun","CK J1 007 fys"
"FYS104 forel tors",2015-09-03,08:15,2015-09-03,12:00,"Renstrøm Reidun","CK HK 007 sem"
"FYS124 forel tors/fre",2015-09-03,14:15,2015-09-03,17:00,"Renstrøm Reidun","CK J1 007 fys"
