Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-217 forel man",2015-08-10,08:15,2015-08-10,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-08-11,14:15,2015-08-11,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons uke 33 NB! Tid",2015-08-12,10:15,2015-08-12,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-08-12,14:15,2015-08-12,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-08-13,08:15,2015-08-13,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-08-13,10:15,2015-08-13,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-08-13,12:15,2015-08-13,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-08-16,19:15,2015-08-16,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-08-17,08:15,2015-08-17,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-08-18,14:15,2015-08-18,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-08-19,08:15,2015-08-19,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-08-19,14:15,2015-08-19,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-08-20,08:15,2015-08-20,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-08-20,10:15,2015-08-20,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-08-20,12:15,2015-08-20,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-08-23,19:15,2015-08-23,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-08-24,08:15,2015-08-24,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-08-25,14:15,2015-08-25,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-08-26,08:15,2015-08-26,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-08-26,14:15,2015-08-26,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-08-27,08:15,2015-08-27,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-08-27,10:15,2015-08-27,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-08-27,12:15,2015-08-27,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-08-30,19:15,2015-08-30,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-08-31,08:15,2015-08-31,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-01,14:15,2015-09-01,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-09-02,08:15,2015-09-02,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-09-02,14:15,2015-09-02,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-09-03,08:15,2015-09-03,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-09-03,10:15,2015-09-03,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-09-03,12:15,2015-09-03,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-09-06,19:15,2015-09-06,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-09-07,08:15,2015-09-07,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-08,14:15,2015-09-08,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-09-09,08:15,2015-09-09,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-09-09,14:15,2015-09-09,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-09-10,08:15,2015-09-10,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-09-10,10:15,2015-09-10,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-09-10,12:15,2015-09-10,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-09-13,19:15,2015-09-13,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-09-14,08:15,2015-09-14,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-15,14:15,2015-09-15,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 seminar uke 38.39",2015-09-16,08:15,2015-09-16,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-09-16,14:15,2015-09-16,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-09-17,08:15,2015-09-17,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-09-17,10:15,2015-09-17,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-09-17,12:15,2015-09-17,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-09-20,19:15,2015-09-20,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-09-21,08:15,2015-09-21,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-22,14:15,2015-09-22,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 seminar uke 38.39",2015-09-23,08:15,2015-09-23,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-09-23,14:15,2015-09-23,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-09-24,08:15,2015-09-24,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-09-24,10:15,2015-09-24,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-09-24,12:15,2015-09-24,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-09-27,19:15,2015-09-27,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-09-28,08:15,2015-09-28,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-09-29,14:15,2015-09-29,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-09-30,08:15,2015-09-30,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-09-30,14:15,2015-09-30,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-424-1/01 test",2015-10-04,19:15,2015-10-04,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-10-05,08:15,2015-10-05,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-10-06,14:15,2015-10-06,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-10-07,08:15,2015-10-07,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-10-07,14:15,2015-10-07,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-10-08,08:15,2015-10-08,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-10-08,10:15,2015-10-08,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-10-08,12:15,2015-10-08,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-10-11,19:15,2015-10-11,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-10-12,08:15,2015-10-12,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-10-13,14:15,2015-10-13,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-10-14,08:15,2015-10-14,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-10-14,14:15,2015-10-14,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-10-15,08:15,2015-10-15,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-10-15,10:15,2015-10-15,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-10-15,12:15,2015-10-15,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-10-18,19:15,2015-10-18,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-10-19,08:15,2015-10-19,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-10-20,14:15,2015-10-20,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons uke 43.47 NB! Rom",2015-10-21,08:15,2015-10-21,13:00,"Carlsen Martin","CK HU 023 sem"
"MA-217 forel ons",2015-10-21,14:15,2015-10-21,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-10-22,08:15,2015-10-22,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-10-22,10:15,2015-10-22,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-10-22,12:15,2015-10-22,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-10-25,19:15,2015-10-25,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-10-26,08:15,2015-10-26,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-10-27,14:15,2015-10-27,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-10-28,08:15,2015-10-28,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-10-28,14:15,2015-10-28,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-10-29,08:15,2015-10-29,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-10-29,10:15,2015-10-29,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-10-29,12:15,2015-10-29,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-11-01,19:15,2015-11-01,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-11-02,08:15,2015-11-02,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-11-03,14:15,2015-11-03,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-11-04,08:15,2015-11-04,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-11-04,14:15,2015-11-04,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-11-05,08:15,2015-11-05,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-11-05,10:15,2015-11-05,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-11-05,12:15,2015-11-05,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-11-08,19:15,2015-11-08,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-11-09,08:15,2015-11-09,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-11-10,14:15,2015-11-10,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons",2015-11-11,08:15,2015-11-11,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-217 forel ons",2015-11-11,14:15,2015-11-11,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-11-12,08:15,2015-11-12,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-11-12,10:15,2015-11-12,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-11-12,12:15,2015-11-12,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-11-15,19:15,2015-11-15,00:00,"Carlsen Martin",""
"MA-217 forel man",2015-11-16,08:15,2015-11-16,10:00,"Bjørkestøl Kirsten","CK 48 108 sem"
"MA-217 lab/gr",2015-11-17,14:15,2015-11-17,16:00,"Bjørkestøl Kirsten","CK JK 007 lab, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"MA-424 forel ons uke 43.47 NB! Rom",2015-11-18,08:15,2015-11-18,13:00,"Carlsen Martin","CK HU 023 sem"
"MA-217 forel ons",2015-11-18,14:15,2015-11-18,16:00,"Bjørkestøl Kirsten","CK F2 001 sem"
"MA-215 forel tors",2015-11-19,08:15,2015-11-19,10:00,"Nossum Rolf T","CK J2 009 sem"
"MA-215 gr",2015-11-19,10:15,2015-11-19,12:00,"Nossum Rolf T","CK JK 032, CK JK 033"
"MA-215 forel tors",2015-11-19,12:15,2015-11-19,14:00,"Nossum Rolf T","CK J2 009 sem"
"MA-424-1/01 test",2015-11-22,19:15,2015-11-22,00:00,"Carlsen Martin",""
