Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-424 forel ons uke 33 NB! Tid",2015-08-12,10:15,2015-08-12,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-08-16,19:15,2015-08-16,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-08-19,08:15,2015-08-19,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-08-23,19:15,2015-08-23,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-08-26,08:15,2015-08-26,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-08-30,19:15,2015-08-30,00:00,"Carlsen Martin",""
"MA-424 forel uke 36 NB! Dag/tid",2015-09-03,14:15,2015-09-03,16:00,"Carlsen Martin","CK F2 007 sem"
"MA-424 forel uke 36 NB! Dag/tid",2015-09-04,13:15,2015-09-04,16:00,"Carlsen Martin","CK F2 007 sem"
"MA-424-1/01 test",2015-09-06,19:15,2015-09-06,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-09-09,08:15,2015-09-09,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-09-13,19:15,2015-09-13,00:00,"Carlsen Martin",""
"MA-424 seminar uke 38. 39",2015-09-16,08:15,2015-09-16,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-09-20,19:15,2015-09-20,00:00,"Carlsen Martin",""
"MA-424 seminar uke 38. 39",2015-09-23,08:15,2015-09-23,14:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-09-27,19:15,2015-09-27,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-09-30,08:15,2015-09-30,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-10-04,19:15,2015-10-04,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-10-07,08:15,2015-10-07,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-10-11,19:15,2015-10-11,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-10-14,08:15,2015-10-14,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-10-18,19:15,2015-10-18,00:00,"Carlsen Martin",""
"MA-424 forel ons uke 43.47 NB! Rom",2015-10-21,08:15,2015-10-21,13:00,"Carlsen Martin","CK HU 023 sem"
"MA-424-1/01 test",2015-10-25,19:15,2015-10-25,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-10-28,08:15,2015-10-28,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-11-01,19:15,2015-11-01,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-11-04,08:15,2015-11-04,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-11-08,19:15,2015-11-08,00:00,"Carlsen Martin",""
"MA-424 forel ons",2015-11-11,08:15,2015-11-11,13:00,"Carlsen Martin","CK 48 007B sem"
"MA-424-1/01 test",2015-11-15,19:15,2015-11-15,00:00,"Carlsen Martin",""
"MA-424 forel ons uke 43.47 NB! Rom",2015-11-18,08:15,2015-11-18,13:00,"Carlsen Martin","CK HU 023 sem"
"MA-424-1/01 test",2015-11-22,19:15,2015-11-22,00:00,"Carlsen Martin",""
