Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-602 forel/seminar man",2015-09-07,13:15,2015-09-07,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar tirs",2015-09-08,08:15,2015-09-08,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar ons",2015-09-09,08:15,2015-09-09,17:00,"Hadjerrouit Said","CK 46 210 sem"
"MA-601 forel",2015-09-10,08:15,2015-09-10,14:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
"MA-601 seminar",2015-09-11,08:15,2015-09-11,12:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
"MA-602 forel/seminar man",2015-10-19,13:15,2015-10-19,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar tirs",2015-10-20,08:15,2015-10-20,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar ons",2015-10-21,08:15,2015-10-21,17:00,"Hadjerrouit Said","CK 46 210 sem"
"MA-601 forel",2015-10-22,08:15,2015-10-22,14:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
"MA-601 seminar",2015-10-23,08:15,2015-10-23,12:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
"MA-602 forel/seminar man",2015-11-16,13:15,2015-11-16,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar tirs",2015-11-17,08:15,2015-11-17,17:00,"Hadjerrouit Said","CK 50 138 sem"
"MA-602 forel/seminar ons",2015-11-18,08:15,2015-11-18,17:00,"Hadjerrouit Said","CK 46 210 sem"
"MA-601 forel",2015-11-19,08:15,2015-11-19,14:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
"MA-601 seminar",2015-11-20,08:15,2015-11-20,12:00,"Siegmund-Schultze Reinhard","CK 46 135 sem"
