Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MA-212-1 gr",2015-08-10,11:15,2015-08-10,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-08-10,13:15,2015-08-10,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-08-11,09:15,2015-08-11,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 for ons",2015-08-12,09:15,2015-08-12,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-08-13,08:15,2015-08-13,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-08-17,09:15,2015-08-17,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-08-17,11:15,2015-08-17,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-08-17,13:15,2015-08-17,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-08-18,09:15,2015-08-18,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-08-18,14:15,2015-08-18,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-08-18,16:15,2015-08-18,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-08-19,09:15,2015-08-19,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-08-20,08:15,2015-08-20,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-08-24,09:15,2015-08-24,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-08-24,11:15,2015-08-24,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-08-24,13:15,2015-08-24,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-08-25,09:15,2015-08-25,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-08-25,14:15,2015-08-25,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-08-25,16:15,2015-08-25,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-08-26,09:15,2015-08-26,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-08-27,08:15,2015-08-27,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-08-31,09:15,2015-08-31,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-08-31,11:15,2015-08-31,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-08-31,13:15,2015-08-31,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-09-01,09:15,2015-09-01,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-09-01,14:15,2015-09-01,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-09-01,16:15,2015-09-01,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-09-02,09:15,2015-09-02,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-09-03,08:15,2015-09-03,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-09-07,09:15,2015-09-07,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-09-07,11:15,2015-09-07,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-09-07,13:15,2015-09-07,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-09-08,09:15,2015-09-08,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-09-08,14:15,2015-09-08,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-09-08,16:15,2015-09-08,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-09-09,09:15,2015-09-09,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-09-10,08:15,2015-09-10,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-09-14,09:15,2015-09-14,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-09-14,11:15,2015-09-14,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-09-14,13:15,2015-09-14,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-09-15,09:15,2015-09-15,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-09-15,14:15,2015-09-15,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-09-15,16:15,2015-09-15,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-09-16,09:15,2015-09-16,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-09-17,08:15,2015-09-17,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-09-21,09:15,2015-09-21,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-09-21,11:15,2015-09-21,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-09-21,13:15,2015-09-21,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-09-22,09:15,2015-09-22,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-09-22,14:15,2015-09-22,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-09-22,16:15,2015-09-22,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-09-23,09:15,2015-09-23,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-09-24,08:15,2015-09-24,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-303-1 for tir",2015-09-29,09:15,2015-09-29,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 for ons",2015-09-30,09:15,2015-09-30,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-10-01,08:15,2015-10-01,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-10-05,09:15,2015-10-05,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-10-05,11:15,2015-10-05,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-10-05,13:15,2015-10-05,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-10-06,09:15,2015-10-06,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-10-06,14:15,2015-10-06,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-10-06,16:15,2015-10-06,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-10-07,09:15,2015-10-07,11:00,"Signal N Mikael","CK J2 009 sem"
"MA-303-1 gr",2015-10-08,08:15,2015-10-08,10:00,"Signal N Mikael","CK J1 031, CK J1 032, CK J1 056"
"MA-212-1 for 1",2015-10-12,09:15,2015-10-12,11:00,"Nossum Rolf T","CK 51 131 sem"
"MA-212-1 gr",2015-10-12,11:15,2015-10-12,13:00,"Nossum Rolf T","CK 51 122a, CK 51 122b, CK 51 122c, CK 51 122d"
"MA-212-1 for 2",2015-10-12,13:15,2015-10-12,15:00,"Nossum Rolf T","CK 51 131 sem"
"MA-303-1 for tir",2015-10-13,09:15,2015-10-13,11:00,"Signal N Mikael","CK J2 009 sem"
".BE-209-1 for ",2015-10-13,14:15,2015-10-13,16:00,"Tofteland Andre","CK B1 018 aud"
".BE-209-1 gr ",2015-10-13,16:15,2015-10-13,18:00,"Tofteland Andre","CK B3 019, CK B3 021, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029, CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018"
"MA-303-1 for ons",2015-10-14,09:15,2015-10-14,11:00,"Signal N Mikael","CK J2 009 sem"
