Subject,Start Date,Start Time,End Date,End Time,Description,Location
"EX-109-G/Forel/01",2015-08-12,10:15,2015-08-12,12:00,"Grelland, Hans Herlof","CG C4 055 aud"
"DAT200-G/Forel/01",2015-08-12,12:15,2015-08-12,14:00,"Konnestad, Morgan","CG C2 041 aud"
"DAT200-G/Labøv/02 ",2015-08-12,14:15,2015-08-12,16:00,"Konnestad, Morgan, Nordengen, Jostein","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"EX-109-G/Forel/02",2015-08-13,10:15,2015-08-13,12:00,"Grelland, Hans Herlof","CG C2 040 aud"
"DAT200-G/Forel/02",2015-08-13,12:15,2015-08-13,14:00,"Konnestad, Morgan","CG C2 040 aud"
"DAT228-G/Lab/02",2015-08-13,14:15,2015-08-13,16:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT229-G/Forel/01",2015-08-17,10:15,2015-08-17,13:00,"Konnestad, Morgan, Næss, Tore H., Somdal, Åsmund","CG A3 042 pclab /aud"
"DAT229-G/Forel/øv/01",2015-08-17,13:15,2015-08-17,17:00,"Konnestad, Morgan, Næss, Tore H., Somdal, Åsmund","CG A3 101 pc-lab MM"
"DAT228-G/Forel/01",2015-08-18,10:15,2015-08-18,12:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT228-G/Lab/01",2015-08-18,12:15,2015-08-18,14:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT200-G/Labøv/01",2015-08-18,14:15,2015-08-18,16:00,"Konnestad, Morgan, Nordengen, Jostein","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"EX-109-G/Forel/01",2015-08-19,10:15,2015-08-19,12:00,"Grelland, Hans Herlof","CG C4 055 aud"
"DAT200-G/Forel/01",2015-08-19,12:15,2015-08-19,14:00,"Konnestad, Morgan","CG C2 041 aud"
"DAT200-G/Labøv/02 ",2015-08-19,14:15,2015-08-19,16:00,"Konnestad, Morgan, Nordengen, Jostein","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"EX-109-G/Forel/02",2015-08-20,10:15,2015-08-20,12:00,"Grelland, Hans Herlof","CG C2 040 aud"
"DAT200-G/Forel/02",2015-08-20,12:15,2015-08-20,14:00,"Konnestad, Morgan","CG C2 040 aud"
"DAT228-G/Lab/02",2015-08-20,14:15,2015-08-20,16:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT229-G/Forel/01",2015-08-24,10:15,2015-08-24,13:00,"Konnestad, Morgan, Næss, Tore H., Somdal, Åsmund","CG A3 042 pclab /aud"
"DAT229-G/Forel/øv/01",2015-08-24,13:15,2015-08-24,17:00,"Konnestad, Morgan, Næss, Tore H., Somdal, Åsmund","CG A3 101 pc-lab MM"
"DAT228-G/Forel/01",2015-08-25,10:15,2015-08-25,12:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT228-G/Lab/01",2015-08-25,12:15,2015-08-25,14:00,"Mosgren, Kåre","CG A3 042 pclab /aud"
"DAT200-G/Labøv/01",2015-08-25,14:15,2015-08-25,16:00,"Konnestad, Morgan, Nordengen, Jostein","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
