Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-08-12,09:15,2015-08-12,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-08-19,09:15,2015-08-19,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"MU-400 forel uke 35",2015-08-26,09:15,2015-08-26,15:00,"Hofseth Bendik, Nordgård Daniel","CK 50 138 sem"
"ME-406 1mr/1mum tirs",2015-09-01,10:15,2015-09-01,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-09-02,09:15,2015-09-02,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-09-08,10:15,2015-09-08,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-09-09,09:15,2015-09-09,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-09-15,10:15,2015-09-15,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-09-16,09:15,2015-09-16,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-09-22,10:15,2015-09-22,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-09-23,09:15,2015-09-23,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-09-29,10:15,2015-09-29,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-09-30,09:15,2015-09-30,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-10-06,10:15,2015-10-06,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-10-07,09:15,2015-10-07,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-10-13,10:15,2015-10-13,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-10-14,09:15,2015-10-14,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-10-20,10:15,2015-10-20,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 43",2015-10-21,09:15,2015-10-21,15:00,"Hofseth Bendik, Nordgård Daniel","CK 48 108 sem"
"ME-406 1mr/1mum tirs",2015-10-27,10:15,2015-10-27,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-10-28,09:15,2015-10-28,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-11-03,10:15,2015-11-03,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-11-04,09:15,2015-11-04,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-11-10,10:15,2015-11-10,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 33-46 (untatt 35. 43.47)",2015-11-11,09:15,2015-11-11,15:00,"Hofseth Bendik, Jenner Peter, Nordgård Daniel, Wallis Roger","CK 48 002 sem"
"ME-406 1mr/1mum tirs",2015-11-17,10:15,2015-11-17,12:00,"Drabløs Per Elias","CK G1 051 aud (fg)"
"MU-400 forel uke 35",2015-11-18,09:15,2015-11-18,15:00,"Hofseth Bendik, Nordgård Daniel","CK 50 138 sem"
